"lovely length, squares Khawaja up as he defends from the crease"
"full and swinging across, left alone"
rooted to the crease as he negotiates this full delivery on leg stump
whips this wide of the diving Vijay Shankar at square leg. Delightful balance and wrist work. Bhuvi punished for going too short.
"touch fuller, just around off stump, defended"
gets right on top of the bounce and turns this short of length delivery into the leg side. Decent first over to begin with.
<strong>beauty!</strong> Drew him forward with a full length delivery and got it to move away off the seam. Moved a long way away after it passed the bat. That should wake up Finch
<b> nearly chopped on! </b> Looks to force this length ball on the up but he's cramped for room. Manages to scamper a run and get off the mark. Rolled just wide of leg stump.
"slants one nice and full across the left-hander, defended"
"works this full-length delivery towards mid-on. Nice, tight line from Shami"
<strong>crunching cover drive!</strong> Errs in length by a very small margin and gets spanked. Juicy half-volley
whips this from length on middle to midwicket
"plants forward, uses the width and flays this on the up through extra cover. Driving without a trace of worry that time. Lovely execution"
"full outside off, defends towards Jadeja at point as they scamper a quick single"
"huge appeal, huge appeal but Joel Wilson says not out immediately. Kohli straightaway went up to his bowler to ask if he wanted to go upstairs. <b> They decide against DRS </B>. This was definitely sliding down leg, but worth an appeal? Could've come back as umpire's call"
"the whip of the wrists! Magnificent. Too short from Bhuvi, Khawaja stands tall and wrists this behind square on the leg side to pepper the short boundary."
"stopped well on the followthrough! This was hit back hard, Bhuvi put his left hand out to half-stop."
"still finds the leg side gap, but hits this straight to fine leg."
"balance and timing absolutely impeccable as he puts this juicy half-volley on the pads to the midwicket boundary. Poor from Shami, no batsman worth his salt will miss out on a gift like this."
"beauty! Good comeback. Gets one to angle in and nip away off the deck, Khawaja has a poke but misses."
we're seeing wrist work of the highest quality here! Khawaja plays a magical on-drive to this incoming length ball. The non-striker had to just get his bat out of the way to see this scream away to the boundary.
"goes for a big drive, but this swerves in a long way, gets a thick inside edge to mid-on where Bumrah misfields"
driven on the up but straight to extra cover
"excellent delivery. Angles one back in off a length, Finch plays outside the line to get an inside edge onto the pad."
gets a thickish edge down to square third man
"nice and full on the stumps from wide of the crease, defended towards mid-on"
shows the full face of the bat as he bunts this length ball back down the pitch
gets a good stride forward as he authoritatively defends this length delivery to cover.
"hint of width outside off, eased to third man"
driven down the ground but straight to Vijay at mid-off
"<strong>cracker-jack!</strong> Finch feels for one that leaves him ever-so-slightly off the seam as the ball whizzes past the outside edge. Magic, pure magic"
thuds into the pad as it slants back in off a length. Finch beten for pace
<strong>delightful square drive!</strong> You know it's well timed when Ravindra Jadeja gives up chase from backward point.
stands tall and bunts this length delivery back down the pitch
"beats mid-off. Delightful punch on the up through the gap. Too short from Shami, excellent hand-eye coordination from Finch."
shows the full face of the bat to defend this back
<strong>and beats the bat immediately!</strong> Khawaja feels for this length ball outside off with an angled bat
"looks to cut, this one stays low to beat the underedge."
"<b> tumbling stop by Gabbar Dhawan at long leg! </b> This one was nicely whipped off is hip, saved a couple of runs for the side"
"<b> direct hit from Kohli </b> running in from cover point but Finch seems in. Khawaja walked into the drive but was cramped for room and got it off a thick inside edge onto the pad. Fortunately for Australia, there was no hesitation between the pair."
"slants one back in, defended."
goes right back and across to punch this back
"nearly chopped onto the stumps as he looks to run it down towards third man, Pant hares in to prevent a run"
works this length ball on off to midwicket
"mix-up, mix-up, but no damage done. Khawaja whips to Shami at mid-on, takes a few steps across, but fortunately turns back in the nick of time."
"<strong>lovely off-drive, no one moved.</strong> This is superb, not a bad ball by any means but he just leans into the drive and times it magnificently"
driven but straight to mid-off
gets across and whips this uppishly to Vijay at deep square leg
driven firmly but straight to cover point
bunts this straight to short cover
toe-ends a drive to third man. Late on the stroke
bunts this incoming length ball towards mid-off
skids back in to hit him high on the thigh pad. Going down leg as Finch is late on the shot.
punched on the up but can't pierce the packed off-side ring as Kohli stops at cover point
tucks this down to fine leg
"full and straight on the stumps, defended to mid-on"
"too straight, too much leg side and Finch whips this into the acres of open space towards deep midwicket. Jadhav had to run around from deep square. <b> Third half-century stand for the pair this series </b>"
punched on the up to mid-off
works this off his hip to deep square
"this length ball keeps a touch low on middle, Finch right behind it in defence."
steered down to square third man for an easy single
"slants in, keeps a touch low but Finch defends"
squirts one off a thickish inside edge to midwicket.
allows the ball to slide in as he steers this length all to point
flicks imperiously to Vijay at deep square leg. This was a juicy half-volley on the pads
"gets on top of the bounce and cuts, <strong>excellent stop by Jadeja</strong> moving low to his right at point"
"starts with a googly that pitches outside leg, Finch struck on the body as he plays all around it."
"steps out, doesn't quite get to the pitch but ends up hitting it off a thick inside edge towards long-on"
"drifts into middle and leg, he steps out and works this low full toss wide of mid-on"
"wrong'un on a length, Finch goes back and across as he tucks it to deep square leg."
solid hit! Excellent use of the feet to get to the pitch as he wallops it over long-on. Short straight boundaries but that would've cleared the biggest of them all. Clean hit
"rocks back and plays this very late to beat short third man, Bhuvi in pursuit but manages to pull it back in"
"length ball angling in, kept out."
tucks this incoming delivery to midwicket
right back into the crease as he defends back
solidly behind the line of this incoming length ball as he keeps it out
"punched into the gap, Jadhav comes around at sweeper cover to cut it off"
driven firmly but straight to mid-off
"drifting down leg, Pant can't get across and collect cleanly, but no extra runs outside the wide"
steps out and drives inside-out to wide long-off
<strong>steps out and bang! </strong> Kuldeep didn't even try to put hit hand out on the followthrough.
"belted back, somehow Kuldeep half-stops and parries it towards midwicket. He really gave this a whack"
lunges forward and smothers this wrong'un with soft hands
steps out and negotiates this shortish delivery into the leg side.
"nice flight and dip, defended back"
"paddled down to fine leg. Predetermined paddle, gets away. Got well outside the line to try and execute that"
tucks this wide of square leg. Got well forward and then brought his wrists into play
"<strong>ripper of a delivery!</strong> When he starts like this, he's a different bowler. It's the fizz off the pitch that does the trick. Fires this in towards length on middle, Finch is drawn forward by the angle but then sees this ball spin away just about enough to beat the straight bat to smash into the stumps. What a ball, what a bowler."
"drifting into the pads, worked positively to mid-on"
lunges forward and smothers this.
tucks this wide of square leg to get off the mark
"makes room and cuts to deep point, hint of confusion. Handscomb wanted the second, Khawaja didn't"
"draws him into a drive with tossed up delivery, Khawaja tempted to drive but lets go"
steps out and turns this full and flat delivery wide of midwicket
"swept from a long way outside off, the timing and placement is magnificent! Cracking stroke, best part is that is risk-free. Rolled his wrists over the delivery to keep it all along the ground. No chance for deep square."
"through with the sweep even before the ball arrived, may have got a thin edge onto it as this lobs over the keeper's head off the top-edge. Races away, lucky runs but he'll take them."
steps out and drives this full toss to extra cover.
"tosses it up outside off, he guides it to point"
"<b>there's fifty</b> and it comes off a well judged sweep shot, getting down low, picking the length ball well outside off - which puts lbw out of play - and rolling his wrists on top of the ball to prevent the top edge"
"excellent batting! He spots the short ball early, leaps back in his crease and using the full face of the bat, punches it through cover"
waits on the flatter delivery outside off and dinks it around the corner behind square leg
"good bowling. He tosses it up onto middle stump, and with Handscomb's fondness for staying back in the crease, he needs to be extra careful putting bat to the ball. And he is, with a flick behind square leg"
"the wrists save Khawaja there as he rolls them on top of a rapidly dipping delivery, and even though he is nowhere near the pitch of it outside off, he is able to keep it down to midwicket. Good end to the over from Jadeja. He looks India's most threatening bowler right now"
leans forward onto leg stump and turns the left-arm legbreak to square leg
"rocks back against a ball that is only slightly short in length, making room to take it off the stumps, but can't find the gap at cover point"
"shimmies down a little bit, but Kuldeep pulls his length back just enough that Handscomb is happy to nudge it to square leg"
"goes for the sweep, taking a tossed up delivery outside off and directing it to fine leg. Might have been risky on other pitches, but here, where there is low bounce, batsmen don't have to fear the top-edge"
"there we go again. <b>That's Handscomb's whole plan against Kuldeep</b>. Whenever he pitches it up, he gets down low and plays a very <b>measured sweep</b>. Head still, fully balanced and such lovely hands to keep it down"
defends the tossed up ball outside off with an open face
"hangs back against a length ball angling into him, making room to punch it through the covers"
"premeditates the sweep, which allows Jadeja to toss the ball up well outside off and beat the left-hander. Or beat him enough that the bottom edge pings onto his own pad"
this time the sweep works as Jadeja goes faster and flatter outside off. Single behind square leg
stays inside the line - which seems to be his plan against Jadeja - and drives the tossed pu ball on leg stump back at the bowler. Good dive from Jadeja to stop it
pushes back to defend a flatter delivery on leg stump
goes a little wide of the crease to spear the ball on leg stump but Handscomb's footwork and balance is so good that he has absolutely no trouble driving inside-out to long-off
"steps out and lifts the part-timer to the wide long-on boundary. Welcome back Kedar. I've missed you, says Handscomb"
poor shot selection - Handscomb goes to sweep Jadhav but this ball is basically a yorker on middle stump and his inside edge basically saves him from an early walk back
"shimmies down the track and drives a tossed up delivery, drifting away from the right-hander, to long-off"
loops it up from round the wicket and Khawaja taps it down to long-on
stays beside the line of the ball outside off and dabs it to short third man
"good length outside off, Khawaja knocks it down to the right of Jadhav, who tries to stop if himself, but his dive doesn't quite work"
pulls off the <b>reverse sweep</b> and Shami has a race on his hands. Does well to stop it on the edge of the boundary. Good length ball outside off was basically inviting the shot and the field was placed in expectation of a top edge
"full on off stump, he presses forward to block"
"stays back, opens up his body so he can whip a good length ball from outside off away through midwicket. Excellent batting against spin"
"defends the tossed up delivery, dipping at the last, on him with a perfectly straight bat. Good spot from Khawaja"
"loads up the reverse sweep, and even though the flatter, quicker delivery is cramping him on leg stump, he's able to find a single to deep square leg"
angles the full delivery into the pads and Handscomb deftly turns it behind square leg
"<b>oooh, is that reverse<b/>? Shami is able to get a fuller delivery to curl into the right-hander, but not so dangerously that Handscomb isn't able to pick it away through midwicket"
"tries to tie him down on leg stump again, but Handscomb whips it behind square leg"
"<b>that is glorious</b>! Gets up to his full height and swivels on the back foot, totally in control of the pull shot, and the ball just disappears like it finds a pocket dimension that leads to the midwicket boundary"
"fullish and outside off, he drives to mid-off"
"<b>beats him</b> outside off! This is sexy old-ball bowling. Hits the deck, gets it to respond and Khawaja's hopeful glide to third man comes off second best"
"another short ball, this time though he targets Khawaja's right armpit, refusing him the room that was given earlier in the over. The pull shot comes out again but only for a single through square leg"
"flicks a tossed up ball outside off towards long-on, but Jadeja puts in the dive"
"with the ball pitching outside off, he's happy to go for the reverse sweep. No chance of lbw. No chance of runs either on this occasion as it finds point"
whips the quicker delivery on leg stump to long-on
"waits nicely on middle and leg, allowing the flighted ball to come to him, and then rolls his wrists on it, directing it to midwicket"
lunges forward trying to get to the pitch of the ball outside off and drives along the ground towards long-off. Jadeja won't allow that
"wanders outside leg, picking the length as short, and slices the ball on off stump behind point. Serene batting against spin"
walks down the pitch and hacks the back of a length ball straight of midwicket for a quick single.
"the short ball isn't working on this pitch. There just isn't enough bounce for that to be a reasonably tactic. Shami bangs it into the deck as well as he could, but it just sits up for Khawaja to hammer it over midwicket. Straight of midwicket even"
goes round the wicket - because that last ball had soooooo much room - and he <B>beats him immediately</b>. The length is a lot better - trapping the batsman in his crease - and Khawaja's slice behind point makes him look less than the most in-form batsman of the series
waits on the back of a length delivery to come onto him and the deflects it to long leg
steps forward to the shortish delivery outside off and steers it to point
cramps him with a quick and short delivery on off stump and Khawaja has to jump off his crease to get on top of the ball and knock it down
"his back foot play is always top-class. Judges the ball to be short and on off stump, so he makes a little room and gently steers the bal lthrough point"
gets down low to reverse sweep the tossed up ball outside off. Finds short third man
a little more power in the shot - thanks to the width on offer - and the reverse sweep flies away to the right of short third man
tons of power on this reverse sweep too - which is surprising since Jadeja spots the batsman's premeditated movement and fires it into the leg side. Single to deep point
drills the tossed up delivery on off stump to short cover. Rohit misfields
goes back and flicks a shortish delivery outside off through square leg
sees Khawaja's intentions to dance down the track and so drags the ball well wide of off stump. The left-hander has to reach out - looking uncharacteristically ungainly - to cut the ball through point
rocks back against the short ball outside off and taps it with practically the full face of the bat to long-off.
"this is beautiful batting! He sees the flight on this so early. He charges out to meet it. And he unfurls a full swing of that straight bat. <b>High, handsome, straight, ridiculously cool six</b>! Anmd that prompts a chat between Kuldeep and Kohli"
changes his line wide outside off and pulls the length back a bit. Khawaja likes the room and goes for the sweep but he misses altogether
"good length ball on off stump, defends"
"he's already shifting outside off as Kuldeep is walking in to bowl, expecting the legspinner to bowl outside off, and when that happens, he nails the sweep well in front of midwicket."
"goes round the wicket, targeting Khawaja's pads, he works it through square leg"
"loops it up on off stump, Khawaja hammers it down to long-on"
"gets inside the line of a loopy delivery outside off but in perhaps trying to hit it too hard, he mistimes it back at the bowler. Or maybe he was checking his shot considering Jadeja's dip"
