"a juicy half-volley outside off, Rohit just leans into it and creams it through covers, off the mark with a boundary"
"pitched up again, Rohit comes forward and pushes it gently towards mid-off"
"length, but way too outside off, left alone"
"<b>a direct hit and Rohit would have been out.</b> Was fuller again, Rohit nudges it to the left of Warner at mid-off and sets off. Dhawan sends him back but Warner has a shy at the striker's end. Rohit is well short but Warner fails to nail it"
Starc goes full once again but no swing on offer so far. Caressed through extra cover on this occasion for the second boundary of the over
"shortens his length a touch this time, Rohit was looking to push it towards covers, gets an inside edge towards backward square leg"
"length ball around middle and off, Dhawan looks to drive but gets an <b>inside edge onto the pads</b>"
"length ball slanting across the left-hander, Dhawan comes forward and opens the face of the bat to guide it towards third man"
"length ball on middle and leg, tucked away towards square leg"
"beauty! Cummins shows why he is the best bowler in the world right now. Comes in with the angle, pitching on a length around off and then moving away off the seam to beat the bat. Rohit was left pushing at it"
"length ball again but down the leg side this time, a wide"
"length on middle and leg, flicked towards fine leg"
"length, in the corridor, left alone"
"fuller around off, comes forward and presents the full face, rolls towards mid-off"
"length ball on the leg stump, tucked away behind square leg"
"fuller around off, pushes with hard hands, the ball hits the inner half and goes towards square leg"
"length outside off, comes forward and taps it towards point"
"length ball straying down the leg side, Dhawan misses the flick. The ball hits the thigh pad and goes towards square leg"
"short of length outside off, good bounces for Starc. Rohit gets on his toes and drops it on the off side"
"length, angling across, Dhawan goes for a drive on the up, looking to hit squarer, misses"
"short of length around fifth stump, left alone"
"length ball in the channel once again, shouldered arms"
"length, just around off, a big front-foot stride and a solid defence"
"bangs it short this time, just outside off and angling away, Dhawan stays away from it"
"and that's a maiden. A testing over. This was on a length around fourth stump, Dhawan watches it closely before shouldering arms"
"length ball down the leg side, Rohit misses out on the flick, off the thigh pad and into the mitts of Carey"
"length ball around middle, 138kph, defended on the leg side"
"<b>Warner takes a low catch at mid-off</b>. Cross seam and not that full, was angling away from the batsman. Rohit looks to hit it down the ground but it comes slower off the surface. The bat faces closes a touch too early as well. As a result it goes tamely towards Warner, just carrying to him. Think Rohit was looking to go over extra cover"
"length ball around off, comes forward and blocks"
"length ball around fifth stump, left alone"
"goes for the yorker, 143.1kph, but doesn't get the line right. Down the leg side and Rahul just clips it towards the fine leg boundary"
"<b>just short of an incoming Zampa from third man</b>. Was banged in short, Dhawan arches back and ramps it over. Zampa moves forward and to his right but it falls just in front of him"
"length ball on middle and leg, flicked towards fine leg, more work for Zampa"
"short of length around off, stays back and punches it towards point"
"length around off, comes forward and drives it towards mid-off, a good-looking short for no runs"
"length again, Dhawan looks to flick it on the leg side, misses and is hit on the pads. An appeal for lbw but looked like  it pitched outside leg, <b>Australia want to review</b>. Front foot is fine, no bat involved but as expected, it <b>had landed outside leg </B>. Australia lose their review"
"length around leg stump once again, this one just holds it line to hit Dhawan in the abdomen"
"length ball around off, looks to punch through covers, gets an inside edge onto the pads that ricochets on the leg side"
"length ball around off, pushes it towards cover"
"short of length at the batsman, Dhawan goes back and whips it towards short midwicket"
"a touch fuller around off, drives it to the right of Warner at mid-off, a direct hit would have been interesting"
"length ball on middle and leg, flicked towards square leg"
"length ball around off, stays back and defends with a straight bat"
"a searing yorker, just outside off, Dhawan stays inside the line and looks to get his bat down. Beaten as the ball just shapes away"
"yorker again, this time at the stumps, Dhawan manages to get his bat on it, squeezes it out towards covers"
"pitched up once more, Dhawan takes a couple of steps towards the bowler and drives it between the non-striker and mid-on"
"fuller and flicked this time, was <b>in the air and not far away from a flying Labuschagne</b> at short midwicket, might have got his fingertips as well but Dhawan had got enough on it to carry it to the fence. Yes, Labuschagne got some hand to it"
"fuller outside off, goes for the drive but fails to middle, gets a single to mid-off"
"length ball angling away from Rahul, shouldered arms"
"short of length, Dhawan goes back and pulls it wide of long-on, three fours for him in last four balls"
"length ball around off, hops back and defends"
"length ball around off, pushes it towards covers"
this is poor from Richardson. Short and down the leg side with third man in the ring. Dhawan happily pulls it past that fielder and picks up another boundary
"much better, short of length around off, stays back and chops it towards point"
"length ball around middle, comes forward and defends it towards the bowler"
"short of length around off, gets on his toes and defends"
"short of length outside off, looked like Rahul was in two minds for a moment, whether to play or leave. Dabs it past slip in the end"
"fuller around off, and Dhawan is looking imperious now. Drives it to the right of the diving Warner at mid-off"
"length but way outside off, left alone"
"short of length on the pads, tucked away towards fine leg"
"fuller on the pads, flicked towards short midwicket, Labuschagne makes a partial stop and deflects it towards the mid-on but the fielder there was already moving to his right to cover Labuschagne. The batsmen eventually take a single"
"fuller around off, just short of a yorker, punches it towards mid-on"
"fuller outside off, goes for the drive but cannot beat the extra cover fielder"
"fuller on the pads, flicked to the left of fine leg, Cummins moves across swiftly to keep it to one"
"length ball around off, stays in his crease and defends it towards mid-off"
"slower one, 117kph, fuller on the stumps, flicks it towards fine leg"
"length ball around off, punches towards mid-off"
"length ball around off, dabs it on the off side and looks to sneak in but both the point and the cover fielders were quick to the ball"
"extra bounce for Cummins to beat Dhawan's attempted cut. Was a length ball around off, Dhawan went for it but no connection. There was an appeal for caught-behind from Cummins but no bat there"
"short of length around off, once again rising towards the batsman, stays back and defends it on the off side"
"fuller around off, punched firmly but cannot beat mid-off"
"short of length outside off, Dhawan takes half a step towards the leg side and ramps it over. Made sure he hit it away from the third man fielder this time"
"this time to the left of the third man. Short of length outside off, steered it behind point to finsih the over with back-to-back four"
"tossed up around off, comes forward and drives it towards sweeper cover"
"fuller and on the pads, flicked towards deep-backward square leg"
"fuller on the leg stump, driven towards long-on for another easy single"
"fuller on middle and leg, Dhawan pushes it towards deep midwicket"
