bouncer first ball. Dug in short at a leg stump line and has Lewis avoiding this hurriedly
"short and wide this time, and it's all hands from Lewis. Lifts his front leg slightly as he reaches out and cuts this over point"
"good length, leg stump, punched from the crease to mid-on"
"draws the outside edge, but it's gone through where fourth slip would have been. No feet again as he tries to drive on the up to a length ball at off stump, Jadhav cleans up at third man"
"full at leg stump, pushed to mid-on on the up"
"nice line. Just wide of the corridor at a good length, left alone"
and he starts with a wide down leg side today as well. This one went with the angle
"good length outside off stump, nips back in after pitching but the off stump is well covered as he lets it go. The ball lands in front of Dhoni who stops with his pads"
beats the outside edge. Gets this to straighten from back of a length and has him poke outside off stump
"back of a length, angling in from outside off, left alone"
"goes for the full one, but it's misfired. Exercise for Dhoni down the leg side"
"floats this outside off stump, bends it in from the wide marker, but it's still too wide for Lewis to hit"
"better line, much better. Curves it in towards the corridor this time, hits a good length. Lewis wary of the one that straightens is fending anxiously with a big gap. Inside edge onto pad"
shot. Takes a step down the pitch and drives this firmly from outside off stump. Can't meat mid-off to his right
"good length at off stump, solidly defended with a full face"
"nice and juicy, short and wide, but he can't time the cut. Chops it into the turf, It dribbles to Jadeja at backward point"
"back of a length outside off, slight movement in off the pitch. He pushes at it in front of his body and gets an inside edge onto his mid-riff"
"back of a length in the corridor, shuffles across, closes the face too late on the attempted glance. Square leg speeds in to field it"
"back of a length in the corridor, punched on the up, but not enough timing to get it past extra cover"
"back of a length, corridor, pushed to mid-off on the up and that's a maiden"
"back of a length and wide outside off, leans back as he looks to cut this, under-edged into the off side"
"good length, swinging in from outside off. Not as much as Lewis expects though. He prods inside the line and is well beaten on the outside edge"
"133kph, full and wide outside off stump. Asks him to chase and he does, but he's beaten once again. Wouldn't want to get in a street fight today..."
"short ball at the rib cage, defended comfortably"
"bangs it in behind a length, up in the corridor, bunted into the off side on the up"
"shuffles across now, looks to whip this length ball through the leg side. Inside edge onto the boot"
"good length outside off stump, defended off the back foot"
"back of a length, angled into the corridor, shuffles to tuck it to square leg"
"off the mark, finally. Shami misses his length slightly, and this is short enough for the pull, even with the persistent off stump line. Swung away behind square"
"short and wide outside off, skids low and takes the inside edge as he goes for the cut. Dhoni gets low very quickly, to his left, stops the boundary"
"good length ball at off stump, poked to mid-off...where Kedar Jadhav runs in and puts in a throw that defies cricketing angles. Mid-on is running in the opposite direction and can't back up with the dive backwards and midwicket is too far away to cut this off"
"back of a length at middle stump, defended off the back foot"
"swing away from the corridor, good length, left alone"
"looks to swing it away from a middle stump line this time, it goes down leg with the angle"
"ooooh close to the off stump. Nice length delivery in the channel, and Hope is brave to shoulder arms. Safe in the end"
"good length, off stump, pushed on the up to mid-off"
"short ball at middle stump, gets on his toes and covers the bounce nicely. Drops it pitchside on the leg side and Lewis calls confidently for the run"
"short and wide outside off stump, subdued cut shot, tapped gently to point"
"full outside off stump, he's playing inside the line over and over again and keeps getting beaten. Goes for the drive this time but is nowhere near it"
"back of a length in the corridor, defended into the off side"
"back of a length outside off. Some width there, but the ball climbs above the outside edge as he cuts"
"back of a length, corridor, defended into the off side. Wants a quick single, but short point is lurking"
"back of a length, corridor, back foot defence. Memorise it"
"Metronome Shami. Length, corridor, back foot bunt into the off side"
"back of a length, slight bait with the width, batsman happy to let it go and it's another maiden"
"back of a length, angled in at off stump, pushed to mid-off on the up"
"short and down the leg side, Lewis tears up at this generous offering. Perhaps why he can't connect on the expansive pull"
"<b>connects this time!</b> And it's sailed over the square leg boundary. Short and into the hips again, he swivels, gets under it and doesn't even look in the direction of the ball after he has dismissed it"
"back of a length outside off stump, a tentative push at it, thick outside edge to third man"
"yorker aimed for leg stump, slides through from under the bat as he looks to jam it out, cops it on the pad...apologies, there was an inside edge"
"good length, angled into the pads, tucked away to fine leg"
"good length, angled in, defended back down the pitch after a quick shuffle towards the off side"
"back of a length in the corridor, squeezed out to cover point"
"shuffles across. No secret where this ball is going to be. But he can't steal the single on the leg side, closes the face too late on this length ball in the corridor"
"back of a length outside off, slashes at this on the up, beaten by slight movement away off the pitch"
"good length, just outside off stump. Punched back straight off the back foot, Shami gets his left hand to it and makes mid-off's job easier"
"good length outside off stump, shuffles across, lets it go"
"back of a length, corridor, shovelled wide of mid-on off the back foot"
"full and down leg, clipped off the pads to fine leg"
"good shot. Not middled though, this punch on the up. Good length ball outside off, and Kohli runs to his right at mid-off. First confident drive from Lewis."
"short and wide, left alone, lands in front of Dhoni who has had to use his pads a couple of times today"
"back of a length at off stump, pushed to midwicket on the up"
"back of a length outside off stump, looks to slash through the off side, gets it back down the pitch off the inside half"
"back of a length in the corridor, driven on the up, straight to extra cover"
"good length outside off stump, pushed on the up to extra cover"
"drifted in, good length, off stump, driven to extra cover"
"full at middle stump, driven past the non-striker and they push long-on on his throw"
"good length at off stump, defended off the back foot"
"good length, drifts in viciously towards the pads, pushed to midwicket off the front foot"
"back of a length, angled into the pads, tickled to short fine's left. Lewis loud with the call again. Hope makes it at the other end with some struggle"
"back of a length, angled into the hips, whipped to deep square"
"offcutter, floated full at leg stump, flicked off the toes to deep square...and then he wants to hare back for the second. Hope is as stationary as the stumps at his end. Lewis has to hurry but there's no danger in the end"
"good length at off stump, defended back down the pitch off the front foot"
"offcutter again, good length, off stump, forward defence back to the bowler"
"offcutter, good length, turns it into the leg side on the up"
"offcutter, full outside off stump. Picked up like an offspinner and thumped hard after reaching the pitch. Mid-on dives to his left to stop it"
"overpitched outside off stump, sweetly timed cover drive is half-stopped by a diving extra cover"
"full at off stump, pushed back towards long-off, Jadeja fields. Obviously."
"good shot. Steps down the track, meets this at the pitch after it drifts, and calmly lifts it wide of long-on"
"good length, flat at off stump, poked off the front foot to extra cover"
"full at leg stump, driven to long-on"
"back of a length at leg stump, can't get this glance away, thigh guard comes into use"
"offcutter...short. Outside off stump, Hope ducks it nice and early and this lands in front of Dhoni"
"another slower bouncer, again left well alone. This one carries"
"offcutter, good length, off stump, whipped. Straight to midwicket"
"back of a length, middle stump. Whipped to deep square leg. Oh and it was another offcutter"
"offcutter, dropped short and angled away from the left-hander. Punched off the toe-end to extra cover"
"channelling his inner Rajat Bhatia today. Another offcutter, good length, mistimed back foot punch to extra cover"
"good length outside off stump, pushed with the turn to extra cover"
"plays this well. Quickly down the track, reaches the pitch, negates the spin and clips yet another boundary wide of long-on"
"full at middle stump, dug out with a drive to long-on"
"good length, pushed through at middle stump, poked to midwicket"
"full ball, floated up at middle stump, driven back to the bowler"
