"full ball, strayng down the pads, and he looks to flick. Gets it down to fine leg"
"length ball, angles across him, and <em>just</em> about goes past the outside edge as Khawaja looks to defend from the crease"
"length, straight, and he can tuck it away off his pads towards square leg"
"length, wide of off-stump, and he leaves. Dhoni collects it diving away in front of first slip. Lucky to get away without that being called wide"
"length, angles across him, and he defends from the crease"
"wide, and well wide of the tramlines this time. Doesn't get away with this one"
"length, outside off, and he leaves"
"length, outside off, and it keeps a touch low, as Finch presses forward to defend"
"length, outside off, and he gets up on his toes and punches this through covers. <strong>Top shot</strong>!"
"length, jagging back in with the seam, and he allows it to come into him and defends close to his body"
"length, wider, bowled at <strong>138.6kph</strong>, and he plays it square of the wicket. <strong>A bit airy</strong>, but gets it to the left of point"
"length ball, has <strong>jagged back in at 141.8kph</strong>, and rapped him on the pads. Loud appeal, and they finally review it after it was turned down initially. The front foot is fine, gets back in appreciably, and also misses the bat. Finch was high up off the ground as he looked to defend, so <b>height</b> could be the only question. <strong>And it is</strong>! Goes over the stumps, and so India <strong>lose their review early</strong>!"
"fuller. faster, and goes down leg as it hits him on the pads again. Bumrah building up a head of steam with a ball at <strong>144kph</strong>"
"length, angles in, and he can glance it down towards fine leg"
"full, down leg perhaps, as it raps him on the pads. Good pace too, and as ever, the ball nipping back in is causing problems to Finch"
"length ball, angles in from outside off at <strong>141.6kph</strong>, and he presses forward to defend this time"
"shorter, comes back into him, and he defends this towards short midwicket"
"length, angles into him, and he plays it towards short midwicket"
"length ball, comes back in and he defends"
"length ball, angles across him at 139.5ks, and he defends"
"length, and he comes forward to unleash a handsome drive. Cannot beat short cover though"
"short of a length, and he goes back and pulls this in front of square on the on side. The ball just stopped a bit and sat up and begged to be punished...and he did"
"length, angles across him, and he maneouvres himself across the crease in trying to flick it. Gets it to short midwicket"
"fuller, and beats the outside edge, as he looks to launch into a cover drive. <strong>Bowled at 145.2kph</strong>"
"length, angles away from him, and he tries to run it down towards third man. Luckily for Khawaja, he was far away from making any contact"
"length ball, comes back into him at <strong>141.6kph</strong>, and he presses forward to defend"
"length ball, comes back into him, and he presses forward to defend this"
"length, and he gets on top of it and runs it down towards short midwicket"
"fuller, outside off, and he drives it. Straight back at the bowler, whose foot it hits and pops up towards Virat Kohli, who has a <strong>shy at the stumps</strong>! Finch just about makes his ground, scrambling away. Shami walks away with a hobble. That had hit him <b>flush on the shin. OW!</b>"
"length, and he goes back and tries to play this away towards square leg. There's a fielder stationed there, alongside short midwicket"
fuller. and he drives this handsomely...but <strong>Kuldeep Yadav dives away to his left</strong> at mid on and stops it. Saves three for India
"full, and straight back towards the bowler. Good shot, but no runs as it ricochets off towards mid on"
"short, and he goes up on his toes to defend an incoming ball"
"short, and he goes back to drive it straight down towards silly mid on"
"full, wide, and he launches into a drive. Takes the outer edge and flies away towards third man. <strong>Bowled at 140.5kph</strong>"
"length, angles across him at <strong>140.5kph</strong>, and he drives it towards short cover"
