"a gentle outswinger first up, no pace off the pitch, Shaw waits for it, drops it at his toes and takes off for an easy single even though the ball goes as far as where forward short leg would have been"
"full now, just outside off, Agarwal gets a small stride in and then leaves it alone"
"shorter, hardly carries to Watling as Agarwal resists the temptation to cut. This is quite an ordinary delivery, though. You can get away with it in Tests when the batsmen are just trying to get their eye in"
"was that the scrambled-seam inswinger? It starts straight and angles down, flicking the pad on its way to the keeper"
"finally gets the length right to draw Agarwal forward. The batsman gets the stride in, plays for outswing, but the ball carries straight on and hits the inside half of the bat"
"straighter, on a length, Agarwal has to defend, which he does"
<strong>swing first up</strong>. Shaw not as watchful as Agarwal and looks for a bit of a drive just outside off. It shapes back in to hit the inside edge onto the pad
"looks to go really full. In fact it is a full toss. Shaw looks to drive, gets a thick inside edge for a couple past short leg"
<strong>the other one this time</strong>. Looks like angled away on purpose. Shaw defends and is beaten
Shaw right on the back foot to defend this length ball. More watchful now
"that is what he looks for when he wants an lbw. Swinging delivery, starting just outside off, and shaping back in to middle and leg. Shaw is equal to it, even closes the face, places this past midwicket for a couple"
"<b>mix-up</b>. Pushed past point for what looks like an easy two, but Shaw makes a late call to send Agarwal back, who stumbles while turning. No further drama, though, as he makes it back in time"
"Shaw is not watching looseners sail past. Short, slightly wide, and Shaw climbs into it. Doesn't bother with keeping it down. Past point it goes"
"on a length, straight, and he is right behind it in defence"
"full, wide, awayswinger. A teaser, and Shaw doesn't get tempted"
"wide on the crease, makes him play at a wide outswinger, but Shaw has defended this solidly"
"wide on the crease again, and with no swing this time, he gets clipped away for an easy single off the toes"
"wide length ball, Agarwal has left it alone without fuss"
"good ball. On a length, middle and leg, shapes to swing, but pitches and seams away. Shaw is squared up in defence"
"<strong>edged away</strong>. That is another good ball from Boult. Pitched up, inviting a drive, Shaw goes after it, playing for the swing, but the ball seams away a touch after pitching. The edge is placed perfectly between the slips and the gully, though"
"slightly shorter, and Shaw drops back to defend it with an open face"
"<strong>oh the lbw ball</strong>. Perfect line, perfect length. everyone gets excited as Shaw's back lift goes up. The ball doesn't swing enough, though, to miss the inside edge. Shaw gets a single with it"
"<strong>beauty</strong>. Boult finally hitting his stride. Inswinger as it leaves his hand, Agarwal has to defend this around off, but after pitching it goes the other way. Just misses the outside edge"
"this one does swing back in, and Agarwal plays it watchfully back to Boult"
"short of a length, really slow off the surface, Shaw aborts any plans he might have to punch this through cover. Defended"
"and just like that, Southee brings out the perfect delivery. Half-volley outswinger, asking for a drive, but Shaw does it without moving his front foot. He is in no position to cover any swing there might be. And there is swing here. In a rare case, a half-volley has left the batsman squared up. Past the outside edge it goes to disturb his off stump. A fairly ordinary shot in the end, playing far in front of his body and searching for the ball with his hands. He is looking at the pitch suspiciously, but the pitch has done nothing untoward here"
sighter for Pujara as this heads down the leg side
"tries the scrambled-seam inswinger first up for Pujara, but he is good enough to cover it on a slow surface. Gets off the mark with a couple"
"wide length ball, left alone"
"short of a length, straight, Pujara defends from the crease"
uppishly clipped away as it swings back in. Wide of short leg so he gets an easy couple
bouncer just to keep him honest. Agarwal ducks it. Just a reminder you can't keep plonking your front foot down
"really full, but too wide to engage Agarwal"
"full, swinging in, pushed to cover"
"short of a length, outside off, Agarwal shoulders arms"
"goes wider on the crease, pitches this short of a length, the ball angles away, squaring up Agarwal, who manages to keep it down"
"wide outsiwnger, Pujara, not yet out of box-cricket mode, lets it be"
"gets closer to off with his line, but still not full enough to make Pujara consider a drive"
"fulller, straighter, but too straight, and it angles down the leg side. Pujara watches it all the way into Watling's gloves"
"wide on the crease, but the line is wide too, and left alone again"
and now Southee tries that straight ball that Pujara is sometimes susceptible to. It hits the inside half of the bat but the surface is not fast enough to trouble him with this line
"wide on the crease, really full, and straight. Pujara defends solidly"
"on a length, around off, good busy cricket from India as Agarwal tiups and runs even though the ball has not gone too far wide of cover"
"full and wide, not much swing, left alone by Pujara"
"wide full toss, Pujara is too watchful to take full toll. He opens the face on it, but can't beat the man at point"
"on a length, middle and leg, could go either way. That is where you want to be more often than not. This one goes with the angle, and Pujara is forward to defend it"
