"full ball, outside off, driven to deep cover for a single"
"good length ball, on off stump, pushes to point"
"full ball, yorker length, digs out back to bowler"
"fuller in length, on off stump, comes well forward and defends to cover"
"full ball, on off stump, pushes to cover for single"
"tossed up, outside off, punches to long-off"
"tossed up, on off stump, worked away to leg side for a single"
"tossed up, just ouside off, went for the sweep and missed it"
"arm ball, on middle stump, stretched forward and defended"
"arm ball, on off stump, tries to defend, inside edge onto pad and falls just short of Rizwan"
"tossed up, on off stump, pushed back to bowler"
""
""
""
""
""
""
"good length ball, on leg stump, turned to midwicket"
"tossed up, on off stump, defended to off side"
"tossed up, on off stump, driven to long-off"
"tossed up, on off stump, defended on the front foot"
"tossed up, on off stump, went back and defended"
"tossed up, on off stump, came well forward and defended"
"arm ball, on off stump, angles it to gully for a single"
"full ball, on target, tries to defend, hits the bat first, shout for lbw, turned down by umpire"
"short in length, on wrong line, clips the pad and goes to fine leg fence for four legbyes"
"Taylor brings up his 39th ODI fifty! short and wide outside off, cuts it away to wide of third man fielder for four"
"good length ball, on off stump, pushes to off side for a single"
"short in length, outside off, punches to point"
"good length ball, outside off, pushes to deep point"
"arm ball, on off stump, defended to cover"
"short in length, on leg stump, turned to deep midwicket"
"again tossed up, Taylor came down the wicket, checked his shot and worked away to leg side for a single"
"on middle and leg stump, worked away to wide of Imam at midwicket"
"tossed up, outside off, went back and across, turned to short fine leg"
"arm ball, on off stump, pushes to cover"
"Gone! good length ball, just outside off, Taylor tries to drive on the up, gets beaten by pace, bat was turned in his hand and Khushdil at extra cover took a good catch"
"good length ball, on middle and leg stump, turned to leg side"
"short ball, goes for the pull and misses it"
"full ball, on off stump, pushes to off side"
"full ball, outside off, driven to deep cover"
"back of length, on off stump, punches to point"
"tossed up, on target, pushed to cover and diving save by fielder"
"arm ball, on off stump, defended on the front foot"
"again faster ball, on off stump, went back and punched to off side"
"tossed up, on off stump, defended on the front foot"
"arm ball, on middle stump, pushed back to bowler"
"short in length, outside off, driven to long-off"
"full ball, on target, comes well forward and defends to off side"
"full ball outside off, driven to deep cover for a single"
"short in length outside off, angles it down to third man"
"good short ball, from round the wicket, Williams ducks underneath it"
"short ball, outside off, angles it down to third man for a single"
"another short ball, well over batsman head and Aleem Dar signals for a wide"
