"124kph, swinging way down the leg side and called wide"
"129kph, back of a length on off, he tries to work to midwicket off the back foot but Faulkner fields in his follow through"
"125kph, back of a length on off, he works again to midwicket and again the bowler cuts it off"
"127kph, full into leg stump, he clips this neatly square of midwicket and the sweeper works hard to his left"
full on middle and he clips this behind square! he was able to work this well away from the sweeper who is a long way infront of square
"short on the hip, he glances wide of short fine leg, the man moves to his left and knocks it down but they get one"
"<strong>nearly a run out!</strong> Dunk knocks it short cover, Bailey races in, gathers and fires at the striker's, Dean is forced to dive, the throw missed, he might have got home anyway"
"shorter outside off, he punches off the back foot to cover-point"
"shorter on off, he gives room and forces off the back foot to cover"
"looped up outside off, he lofts this high inside out over mid off, didn't overhit, doesn't go all the way but they get a couple"
"94kph, darted in to leg stump, length ball, he's back and punching to long on"
"99kph, pushed through on middle, he sits back and tucks it to midwicket"
"83kph, shorter outside off, he goes back and whips through the big gap at midwicket and immediately calls two, it's well placed"
"138kph, good length, leg stump, he tucks this nicely behind square and works the sweeper a long way to his right"
"140kph, shorter length outside off, he's back and working this close to midwicket and pinching a single"
"141kph, shorter length, fifth stump line, he cuts to backward point and Milenko makes a good save on the ring"
"139kph, short lifting ball down the leg side, he withdrew his gloves inside the line"
"140kph, short into the ribs, he's back and he turns this around to fine leg"
"<strong>caught and bowled!</strong> This climbs off a good length outside off, it was a leg cutter, he tried to work to leg off the back foot, it catches the shoulder of the bat and balloons up in the air and Archer strolls through in follow through and takes an easy catch."
"146kph, short into the ribs, he's hurried working this to square leg and almost slips over as they consider a single. Lucky they said no. Short hit the stumps at the striker's as Larkin got back in time"
"into leg stump, he works this off the front foot to forward square"
"shorter into the leg stump, he's back and working this nicely to deep backward square"
"90kph, tossed up on middle, he drives to long on"
"shorter into the hip, 95kph, he tries to whip but it hits the thigh guard"
"shorter into leg, he glances this straight to short fine leg"
"84kph, slower on leg stump, he works off the front foot to deep forward square"
"98kph, darted into leg stump, he gives room and punches hard to cover-point"
"98kph, darted into leg stump, he clips this with the angled to deep forward square"
"98kph, full outside off, he he drives hard straight of mid off, long on needs to run around to cut it off"
"75kph, slower outside off, he tries to square drive a length ball, gets a thick edge that goes to short third man"
"97kph, fired into leg stump, takes him on the pad but it's going down"
"99kph, arm ball, driven straight to mid off on the circle but hit too well to get one"
"123kph, punched off the back foot to cover, they take a single, Faulkner fires at the non-striker's and it beats two men backing up! Four overthrows! No need to throw that. But the backing up wasn't flash either"
"<strong>caught at midwicket!</strong> Back of a length, angled in and cramping Dunk for room, he tried to force a pull shot over midwicket but just hit it straight up in the air. Faulkner barely had to move in the ring at midwicket, he stays calm and takes the catch."
"143kph, good length on off, he works this square of midwicket"
"143kph, back of a length outside off, he's back and across, and opening the face to run this down to third man"
"120kph, slower ball, wide off, he tries to square drive and misses"
"123kph, slower ball, fuller angled into middle and off, he clips it square of midwicket"
"short and wide, 142kph, he thrashes a cut shot backward of point and it flies to the short boundary! No chance to stop it"
"143kph, shorter and wider, he cuts hard in front of point to the man in the deep"
"147kph, fuller outswinger, he square drives on the up to backward point"
"146kph, <strong>play and miss</strong> trying to open the face and run it down to third man"
"143kph, short into the hip, he tried to whip, gets an inside edge onto thigh pad and it balloons behind square"
"142kph, quality bouncer, well directed and he ducks underneath it"
"116kph, short and wide and he slaps this off the back foot straight to cover in the circle"
"118kph, full on off, he clips this hard to wide long on but he hit it so well that they couldn't push for two"
"118kph, wide half-volley he drives slowly out to deep cover and they run well to get back easily"
"11kph, slower ball out of the back of the hand, he mistimes a cut to point and they try for a tight one, Maxwell was in trouble but the throw was wide"
"full outside off, driven very hard straight of long on and Bailey is working hard to save it and they run well"
"124kph, full outside off, he plays a classical cover drive to deep cover for a single"
"short, dragged down, he pulls hard to deep midwicket"
"88kph, shorter outside off, he cuts to short third man"
"short outside off, he cuts again but straight to backward point"
"shorter outside off, he cuts hard to deep cover-point"
"89kph, good length leg break on off, he slaps this on the up to cover"
"looped to middle and off, he works with the turn to the long boundary at wide long on for an easy two"
"95kph, short and he cracks a pull shot hard to find the gap at deep midwicket! Well placed"
"82kph, tossed up on leg, he sweeps hard to deep backward sqaure"
