"full outswinger just outside off, driven off the toe-end, past the bowler"
"short of a length and wide outside off, slight shape in. But not enough to make him play"
"length ball wide outside off, left alone"
"<b>there's a sound</b> but no appeals. Full and just outside off. Looks like this goes straight on off the pitch after coming in. Gayle wants to drive for that trajectory and is beaten. Slammed the bat into the turf, it appears"
"<b>appeal</b> for lbw, turned down. Length ball swinging in from middle stump as he looks to defend. Slams him in front of leg"
"inswinger from a length, jabbed to mid-on with the angle"
short of a length and climbing away from off stump. Hangs the bat out and is beaten on the outside edge
"length ball wide outside off, zips past the outside edge as he swishes at this"
"short of a length in the corridor, 148kph, left alone for the angle"
<b>off the inside edge</B> but sprints to the square leg boundary. Length ball and he backs away and has a swing at this. Thick inside edge
"short and in the corridor, defended to point's right"
"length ball wide outside off, left alone"
"<b>middles this one.</b> Short of a length on middle stump, half a stride forward before swinging his arms across the line of this and getting it past midwicket"
"<b>clears the long-on boundary.</b> That looked like it was off the low part of the bat. Yes, it was. Length ball wide outside off and he dragged it across, but it went high and certainly had enough power"
"short of a length just outside off, opens the face and runs it to third man's left"
short and in at off stump. Allows it to come on and opens the face to get it to third man
"length ball just outside off, solidly behind the line to punch to extra cover"
<b>thick edge</b> safely down to third man. Looks to punch through cover off the back foot and is caught slightly inside the line
"length on off stump, punched on the rise to mid-off"
"length and in at off stump, sliced on the rise to point"
"length outside off, too early on the drive. Wants to go through cover on the rise, but this ends up at midwicket off the inside half"
"<b>did that carry?</b> No, falls short of Moeen at mid-off. Length outside off, tries to punch this over the infield on the up, but it's come off the toe-end and dipped as the fielder slides to his right to get his body behind it"
"bouncer across the corridor, 146kph. Backs away and shapes to pull. But decides to let it go"
"<b>lifts it over mid-on</b> to take four. This was short and at the body. Didn't have room, but the hands were sufficiently under this as he lifted it on the rise"
"full and down leg side, shifts his weight into the off side to make room and clips this behind square on the leg side. Fine leg is in, so no one stopping this"
"<b>checks his shot</B> but he's safe and this is past mid-on's dive. Overpitched on leg stump and he wanted to drive. Once again, he's through it early and withdraws the bottom hand so it doesn't chip up to that fielder. He succeeds"
"length on middle stump, driven on the up, off the toe-end, to mid-on"
short of a length and into the pads. Poked into the leg side with soft hands
"length on leg stump, tapped to midwicket off the back foot"
"<b>dropped</b> at extra cover by a diving AB de Villiers. Tough chance. Once again Rahul doesn't connect on the drive. Happened a few times that his attempts have come off the toe-end. Is this pitch slower than it looks? This is at a length outside off, he wants to drive wide of mid-off. It lobs gently in that direction and AB's dive to the right is in vain"
"short of a length just outside off, backs away and hammers it, flat-batted, over mid-off"
"<b>gets it over long-on.</b> There's a plan there, but Gayle has beaten it. Just. Short and into his body. He slices it with an attempted pull. Stoinis is back there, but he watches it clear the fence"
"<b>through the covers.</b> Oh boy, looks like another long night for Siraj. Looks nervous already - third type of ball already. This is a slower one. It's short of a length and gives him time to back away and slap it"
"<b>beats the edge.</B> Length ball across the corridor. Pokes at it, beaten"
<b>buh bye!</b> The plan is not working. Siraj is not getting the short balls to rise enough. Gayle picks this one from waist height and deposits it 94 metres into the leg side with a pull
"<b>past short fine.</b> Length on leg stump, step into the leg side and whipped between keeper and that fielder"
"<b>shot!</b> Sends the ball sailing straight to welcome RCB's best bowler. Full on off, gets the front leg out, holds his shape, launches it straight with the full face offered"
"<b>gets him!</b> Chahal, calm, calculated. Doesn't even celebrate the wicket beyond just pumping his fist. Length ball, dipping at an off stump line. Rahul steps out, is beaten in flight, and loses his shape this time. Spins past his edge and he's stumped"
"length on leg stump, looks to push at it, thick inside edge towards long leg"
"length on leg stump, pushes at it, deflected fine off the pad"
"length on middle stump, defended down the pitch"
"slider, short of a length at off stump. Defended off the back foot"
"<b>falls short of AB</b> who sprints in from deep midwicket, puts in a slide, and does superbly to push the ball back into play on the half-volley with his right. Dropped short from Moeen, an aerial pull from Mayank"
"short of a length in the corridor, sticks in the pitch a little and Gayle has to check his poke into the covers"
"length outside off, tapped on the rise to extra cover"
"length outside off, steps out and looks to drive straight. Comes off the toe-end, back down the pitch"
"<b>neatly tucked away.</b> Full on middle stump, gets low with the front foot across the stumps and paddles it to the fine leg boundary"
"<b>diving AB</B> again, pulls this back in for deep square. Short ball at middle stump, pulled between those two fielders. It's a big square boundary here"
"short of a length on leg stump, gets on the back foot and flicks to deep square to <b>bring up his fifty</b>"
"length on off stump, gets forward and pushes into the covers"
"length on leg stump, nudged to short fine's right off the front foot"
"<b>stunning shot over extra cover!</b> Tossed up wide outside off, reaches out and whips his wrists firmly at this to get it over extra cover - and a long way! I can only think of Kohli when I think of who else could have executed that"
"<b>and Chahal brings his own class in response!</b> Superb, superb ball. The batsman doesn't know what he's just been dealt. Length ball, dipping into a short of a length on a middle stump line, squares him up completely and takes the top of off stump. Mayank is on the back foot looking to close the face on this and he is dumbfounded. Superb, just superb from Chahal. Two wickets immediately after being hit for sixes. There's a reason he's the best legspinner in limited-overs cricket right now"
"length, flat and sliding into middle. Defended down the pitch on the front foot"
"length, off stump, pushed into the covers"
"length outside off, punched to extra cover off the back foot"
"length and in at middle, pushed down the pitch off the back foot"
length ball sliding past the pad on the leg side
"length at leg stump, tapped into the leg side"
"length on middle stump, punched to long-on off the back foot"
"length on off stump, driven on the front foot to long-off"
"length ball, strays towards the pads, and he flicks this away towards deep midwicket, and <em>pinches</em> two"
"flatter, towards the pads, and he flicks this, but gets it down to short fine leg"
"length, down the leg side, and will be called wide as it turns further down leg"
"length, on off stump, and he punches this down to long off"
"tossed up, down leg side, and he looks for the sweep. Given as runs as it goes down the leg side and runs away to fine leg"
"flighted, and he punches this down towards long on"
"length ball from around the stumps, comes back into him, and he defends this"
"length ball, he punches this to covers"
"pulls out the reverse sweep to a length ball outside off, but plays it straight to short third man"
"flatter, outside off, and he drives it back to the bowler"
"length, and he goes back and punches this away towards point to pick up a single"
"length, and he goes back and punches a straight ball towards long on"
"flighted, and he swings this across the line towards deep midwicket. Just a single off this"
"length ball, jags back into him, and he runs it down to third man"
"slower ball, on off stump, and he runs it towards point"
"length, angles across him, he clears his front leg out of the way and whacks this straight down towards long off"
"full ball, on off stump, and he punches this hard, but AB de Villiers dives away to his right at cover and stops this. <strong>Top effort</strong>"
"length ball, and he has ramped this down to fine leg. <strong>For six!</strong> It was delivered at 143kph, and he just uses the pace of the ball to turn it over where long stop might have been"
"<strong>GONE THIS TIME!</strong> Sharp, short ball in response, and Khan looks to swing this away, but nicks it on the way through to Patel. Catches a bit of glove, and Patel takes a good catch away to his left"
"length, and he goes back and punches this towards deep midwicket"
"fuller ball, and he presses forward and whips this away towards deep midwicket"
"length, towards the pads, and he punches this towards deep midwicket again"
"length, and he goes back to cut it. It's too close, and he drops it back towards the bowler"
"<strong>Moeen gets his man!</strong> The pressure builds on Curran, and he tries a reverse sweep to a straight ball, more or less. Misses completely, and is hit on his thigh pad in front of his stumps. Given out, and Gayle advises his young partner to keep walking"
"length, and he drives it down towards wide long on"
"length, and he plays an uppish drive, just past Kohli at cover"
"length, and he plays it away towards square leg"
"fuller ball, and he drives this off leg stump towards long on"
"length, down the leg side, and Gayle gets it down to fine leg with a glance. Would have been wide had he left this, but he'll take the four runs on offer"
"length, turns into him from outside off, and he punches this down to long off"
"fuller ball, towards leg stump, and he looks to drive this to long off, but Chahal fields"
"short ball, lifting into Gayle as he moves away and tries to create some room for himself. That was <em>brisk</em>, as it seems to brush a bit of his shirt and go through to Patel"
"short ball, and he scoops this one towards square leg. It evades the man at square leg, and also doesn't carry to long leg. Good bowling again"
"short, wide and he cuts this, but there's deep backward point in place for Mandeep"
"short, and he goes for a swing across the line. Misses it altogether. <strong>Good ball yet again!</strong>"
"short, and outside off, and he was looking to back away towards leg. In the end, he cracks it hard towards the ground and gets it down towards extra cover"
"short, wide, and he cuts this one. Negi at point makes a half-stop, but cannot prevent two runs"
"slower ball, pitched up, and he swings, and gets an inside edge that narrowly goes past the leg stump. Trickles down towards short fine leg"
"length, coming back into him, and he whips this towards midwicket"
"short, and he has had a go at this. Swung this over backward square leg, and it has <strong>travelled some 20 rows back!</strong>"
"yorker, and he digs it out and gets it towards wide long on"
"length, outside off, and he cracks a square drive, but gets it to backward point"
"full again, and he drills this back down the ground. Virat Kohli fields it well at long on and keeps the scoring down to just one"
"tries a slower ball, across the batsman, and it's called a wide. Seemed to stay within the tramlines, but called against him"
"slower ball, full and angles across Gayle again. He leaves this one, just like the previous one, but this time there's no wide called"
