"a little bit of shape away, full, and Warner defends this"
"full, outside off, and he leaves as it swings away"
"full, and he eases this towards cover. Wants a single, but it travels quickly to Williamson"
"length, angles in with the arm this time, and he defends"
"full, angles into him, and he looks to go towards midwicket. Takes the outer edge, but runs away along the ground towards point"
"<strong>leading edge, but short of third slip!</strong> Fuller ball, and Warner has a little nibble, but with soft hands. It runs along the ground and lands just short of Neesham"
"length, and he jams down on this as it moves away a touch. Defended towards short cover"
"little shorter, and wider, and he drives but cannot beat cover"
"fuller, and he drives, and Guptill <strong>cannot hang on to a tough chance</strong>! Fielding at short cover, he gets across to his right, and just fingertips it away. it was hit with some power, a length ball outside off"
"full ball, drives it to short cover"
"full, outside off, and he drives this towards short cover"
"full ball, and he drives this straight back down the pitch"
"angles into him, and he plays it with soft hands down towards short midwicket, and they set off for the <strong>first run in 13 balls</strong>!"
"length, shapes away from Finch with the natural angle and he shoulders arms"
"full, on the pads, and he whips it away down towards midwicket. Neesham does well to keep it from reaching the fence"
"full, on off stump, and he defends"
"length, angles away from him, and he runs this down to third man"
"full ball, on the pads, and he has whipped this off his pads, up the slope, through for four. Easy putaway in the end, because it didn't swing"
"wide outside off, and he throws his bat at this. Takes a bounce on its way down to third man"
"length, straighter, and tucks him up as he looks to play it on the onside, but misses out on contact"
"full, and he throws his bat at this. <strong>Hits it hard</strong>, but cover stops this"
"length, shapes into him, and he jams his bat down in time to play it away towards square leg"
"full, on the pads, and he looks to whip it away on the on side. Off his pads towards square leg"
"full, and he comes forward in trying to drive this past cover. Finds the player there"
"length, outside off, defended towards point"
"full, and he <strong>drives this straight back past Boult</strong>! Beats mid on with the placement, and the power on it has Boult dropping down to his right in a vain attempt at stopping that"
"<strong>length, and jags back into him and traps him in front!</strong> Just a bit of seam movement back into him, and Finch shakes his head as he walks off. The umpire was fairly easily convinced that this would have hit the top of off and middle, and the Australia captain agreed. <strong>What a start for New Zealand!</strong>"
"length, outside off, and he defends"
"<strong>DROPPED!</strong> Full ball outside off, and Khawaja goes with the flow and has a dab at it, taking one hand off. It goes through to Guptill at the second of three slips, but he spills it as he falls"
"thrown wide, and he cuts, but cannot beat point"
"full, outside off, and he drives this to mid off"
"length, outside off, and he drives to the left of mid off. Wants a single, but the fielder was quick to converge on this"
"full, slanting across him, and he drives it to mid off"
"looks to go full, but goes down the leg side"
"full, angles across him, and he again times a drive well, but cannot place it either side of mid off"
"length, angles away, and goes close to his gloves before nipping away through to Latham behind the wicket"
"full, but on the pads, and he can whip this off his legs towards deep midwicket. Ferguson does well to keep the scoring down to two"
"off-cutter, comes into him at <strong>143kph</strong> from a length, and he fends it towards square leg"
"short, angles away from him, and gets big as <strong>he looks to cut</strong>! Just clears point, and trundles away towards the point fence. They are able to come back for two, but that was not far from Nicholls"
"length, honing in on off stump, and he defends"
"short, and he picks it up from outside off and whips it towards deep square leg. Smart shot, as a little roll of the wrists kept it to the left of short midwicket"
"length, outside off, and he leaves"
"length, and he defends"
"length, angles across him, and he defends this towards point"
