"back of a length, and bounces across du Plessis as he leaves"
"outside off, and he defends a length ball moving a touch away from him"
"length, a hint of movement away from du Plessis, who defends this towards point"
"length, outside off, and he defends"
"length, just on off stump, and du Plessis defends this"
"length, slower outside off, and he punches this away a little wide of cover"
"length, and he punches this away towards cover"
"length, outside off, and he cuts this aerially, and it just eludes the man at short third man. Not far away from him, but ran away for four once it went over him"
"little shorter in length, and he cuts this towards point"
"short, and he goes back and punches this towards deep midwicket. There's a man stationed in the deep for that precise shot"
"flatter, straighter, and he defends this back to Pandya"
"length, just outside off, and he tentatively pokes at it, and it just beats his outside edge. Hands on head from Krunal Pandya and Rohit Sharma at first slip. Quinton de Kock whipped the bails off too, but he was always inside the crease"
"<strong>strikes immediately!</strong> Just on a length outside off, and he looks to cut this but gets it straight to point, and it wasn't the most difficult of catches for the man stationed there. Just needed to stay low and pick up the first wicket of this innings"
"length bal, straightens into him, and he looks to flick but is beaten by the turn into him. Hits him on the pad, but going down leg"
"sharp turn, from a good length, as he looks to play this off the crease towards midwicket. Beats the inside edge again"
"tossed up, a bit shorter in length, and he looks for a whip through the on side, and is able to place it to the right of square leg"
"length, turns away from him after pitching just outside off, and he lets this pass"
"tossed up, and he presses forward and defends this"
"oversteps with his first ball. on a length, and he defends, but this will be a free hit!"
"goes back to a length ball and drop-kicks this over square leg. Good shot. It was re-bowled as the first ball, also hit for four, was called a dead ball because the field had changed"
defends a length ball
"length ball, and he goes for a hoick across the line, and this ballooons in the air, and is an easy return catch for Yadav"
"length, and he flicks this away, and short midwicket dives away to his right to stop them from looking for runs"
"sharp turn from a length, pitching on middle, and he nearly runs it right into a leg slip in place for him"
"length, just outside off, and he dabs this towards point and sets off. They make it, even though there's a hit at the non-striker's end. Watson gets off the mark with that"
"length ball, and he looks to flick this. Seemed to stop a bit, as he played it towards short midwicket"
"length, but strays on to the pads, and he has flicked this one past short fine leg, and finds the long leg boundary"
"fuller, angles into him, and he plays this towards square leg with soft hands"
"length, and he presses forward to punch this towards mid off. Travels quick, and there's no chance of getting any runs"
"slower ball, outside off, and he dabs this towards point and gets a quick single. Good response from Watson, as there was a shy at the stumps on the striker's end"
"short, and he goes back and picks this up and sends it one-bounce over the midwicket fence. Good, controlled shot, as he was careful enough to place it wide of the man at deep backward square"
