"starts with a full toss! It's straight, pushed to the on side"
"short, some width outside off, he drives off the back foot and it flies in the air wide of backward point to third man"
"almost a run out! Was full and straight, off the pad into the leg side, Azam wanted the run and has to turn around quickly. The dive would have just saved him"
tucked off the pads to square leg
"back of a length outside off, angled wide of backward point to third man and there's good running to make the second"
"a strangled appeal for a catch down the leg side, was speared in at leg stump, just glances the pad through to Carey. Starc searching for early swing"
"lovely shot, full outside off, into position and drives elegantly wide of mid-off...perfect timing"
"that's even better! Richardson dragged the length back, Azam punches it through the covers off the back foot. The outfield is rapid!"
"banged in back of a length, nips back and takes an inside edge into the pads"
"short of a length, straight, whipped through midwicket"
"short outside off, he crunches a pull but picks out short midwicket who parries it away"
"full outside off, not much footwork as he drives square to point"
"and again! That's a cracker. Short of a length outside off, stand and deliver from Azam as he stands tall and drives through the covers"
"that's timed nicely as well, driven square but this time picks out cover"
"short outside off, driven from the back foot and finds short cover who has just been moved into position"
"that's another brilliant stroke, he's flying, as Starc drops short on his hip and it's a whip-pull to deep square leg"
"there's the yorker, at off stump, dug out to point and that just shaped back a fraction"
"short of a length outside off, square drives to point and Azam lets out a scream that he didn't find the gap. It's coming off the middle so far"
"over the wicket, full at the stumps, 137kph, defended to the bowler"
"<B>finds mid-off!</b> So another failure for Zaman as he tries to get going. Stayed leg-side of a full delivery, sliced across the delivery, sends a pretty straightforward catch to Warner"
"back of a length at off stump, 140kph, pushed to the covers"
"a bouncer over middle and off, he ducks underneath...terrific start from Cummins. Four dots and a wicket"
"slips on the pads this time, clipped in front of square which means there's a couple on offer"
"gets forward into a length ball and drives to mid-off, deep enough for the single as he has to move to his right"
"short of a length on leg stump, worked to deep square"
"back of a length outside off, opens the face and pushes into point"
"touch fuller, at off stump, 125kph, pushed to the covers"
"short of a length, slides off the face to backward point, touch slower at 120kph"
"full outside off, Sohail drives high over cover, not perfectly timed but it's wide of the sweeper"
"<b>he's done it again!</b> Another ugly swipe sees the downfall of Sohail. Back of a length, he swings to the leg side, takes a big top edge and Richardson settles under the simple catch"
"full at off stump, push and run towards mid-on...tight, but think he was safe. Takes him off strike again"
