"full on off, and he allows the ball to spin into his bat, before driving down to long on"
"full on off, and turning into Mominul. Defended away with the straight bat"
"full on middle, and he shuffles across to flick the ball towards the leg side"
"full just outside off, and defended back to the bowler"
"full outside off, and spinning inwards. Pushed towards the non striker"
"full on middle stump, and he leans forward to tap the ball back to Chase"
"full on off stump, and defended off the front foot"
"full just outside off, and defended away to Chase once more"
"full just outside off, and defended off the front foot"
"length ball skidding in, and he gets right back to defend off the back foot"
"length ball on off, and he allows the ball to come to him, before nudging it away - off his pads - to square leg for a run"
"length ball on middle, and punched off the back foot to cover"
"full on off, and worked off his toes to the leg side. Soft hands once again"
"full on middle, and shoveled down the ground to wide long on. They jog across for an easy single"
"full on his toes, and <b>whipped</b> off his boots to deep backward square. The single brings up <b>Bangladesh's fifty</b>"
"full on off, and turning into his body. Defended off the front foot"
"full just outside off, and defended back to the bowler"
"full on middle stump, and clipped away to square leg off the front foot. Stopped by the fielder"
"length ball on leg stump, and turning down the leg side. Rocks back to flick behind square, but it takes his pad and rolls towards the keeper. Front foot no ball though!"
"length ball on middle, and nudged off the back foot past the keeper. Fine leg running to intercept, and they manage to pull it back"
"back of a length on middle, and defended off the back foot towards Bishoo"
"full and wide outside off, forcing Shadman to reach at it. He gets to the pitch of the ball, and drills a drive to cover"
"length ball outside off, and cut off the back foot to the sweeper fielder on the off side. They jog across for a single"
"length ball on middle, and worked off his pads to deep backward square. Tidy over"
"length ball on middle, and punched off the back foot to long on"
"full on middle stump, and driven towards the off side. But it comes off the bat's toe end, and dribbles away to mid off"
"full on off, and turning into the batsman. He offers the bat's full face, and defends it back to Warrican"
"length ball on off, and spinning inwards once again. Shuffles onto the back foot to defend"
"full on middle, and clipped away off his pads to square leg. Fielder intercepts"
"length ball on off, and nudged off his front foot to square leg"
"overpitched on off, and it's the wrong'un from Bishoo. Turning away, as he crunches a drive to mid off"
"full outside off, and driven to mid off"
"conventional spin, length ball on middle and skidding back. Defended away"
"length ball on middle, and defended off the back foot to the off side"
"length ball on middle, and steered with the bat's angled face to point"
"length ball on middle stump, and punched back to the bowler"
"full on off, and defended off the front foot to square leg"
"full on middle stump, and flicked away off his pads to midwicket"
"full on off stump, and he walks down the ground to defend. Stopped by Warrican"
"full just outside off, and he thumps a straight drive past the bowler's right to long off"
"full just outside off, and defended down the ground to Warrican"
"full on middle, and turned away - off his toes - to square leg. Wants the single, but it's gone straight to midwicket"
"length ball on leg stump and skidding through. Rocks back, swivels, and pulls to deep midwicket"
"full on middle stump, and he takes a big stride forward to defend"
