"138kph, back of a length wide of off, he stands tall and opens the blade to guide it through gully to third man"
"<strong>caught at backward point!</strong> Some early shape forces a mistake! 144kph, full but it swung late away from the left hander, he only got half a stride in but lashed at a drive and sliced it off the outer half of the bat straight to Smith at backward point. Easy catch. Golden duck for Fakhar"
"138kph, <strong>beaten</strong> by a good length outswinger, he was caught on the crease and squared up as it zips past the edge"
<strong>beaten again</strong> by 144kph fuller outswinger. Just missed the edge as he was half forward on the drive
"<strong>crunched in the air straight at the umpire and he ducks out of the way!</strong> What a shot. Fuller on middle, 145kph, he thumps a drive hard and flat down the ground. No swing and it got met by Haris"
"good bouncer, accurate and quick, he ducks underneath"
"131kph, back of a length on off, he stands tall and defends with the full face"
"<b>edged through the slips!</b> Back of a length, he tried to punch off the back foot but got a thick edge that flew through where Finch was and races away!"
on the hip and flicked away neatly with control to deep backward square
"back of a length on middle, he tucks this off the pads to mid on"
"<strong>top edge straight up and Smith takes it at backward point!</strong> Crazy shot! It was back of a length, he tried a wild heave from the crease across the line on the front foot, got a top each that flew high to backward point and Smith camped under it and took his second simple catch"
"133kph, good length outside off, he pushes away from the body on the front foot to run it to third man"
"144.5kph, good length, fourth stump line, he pushes on the front foot to mid off"
"fuller length outside off, he drives on the up, not with fluent timing wide of mid off"
"143kph, back of a length wide of off, he tries to cut but misses"
"<strong>edged through a vacant second slip!</strong> 145kph rocket, good length angling across, gets the edge as he drives but there is only one slip in and he gets four more"
"142kph, shorter length outside off, he leans back and runs a late cut to third man"
"145kph, fuller on off, he pushes positively to mid off who is deep and immediately calls for one"
"89kph, shorter leg break on off, he's back and cutting to point"
"drifting into leg, he mistimes a sweep to short fine"
"flatter and fuller, drifting to middle, he pushes back to the bowler"
skips down the track and <strong>hammers a drive straight of mid off!</strong> Great footwork to get down and drive inside out
"<strong>even better over long off!</strong> He was down again to a wider ball, frees the arms and lofts it flat over long off"
"flatter on middle, he knocks it to midwicket which is vacant and calls two straight away, great placement and running"
"134kph, back of a length, he's back and punching off the back foot but gets a thick edge to third man"
"138kph, he drives on the up to mid on"
"136kph, back of a length on off, he defends towards backward point but can't steal one"
"137kph, angled into leg, he clips this neatly through square leg to the man in the deep"
"141kph, fuller into the pads, he clips this through midwicket forward of the sweeper and he gets a couple"
"138kph, good length, top of off, he defends with soft hands into the off side and pinches one"
"120kph, slower ball, Babar checks his cut shot, dragging it in the air but safely to wide mid off"
"120kph, slower ball short ball, he is deceived trying to pull but is through the shot too early"
"136kph, shorter length, he chops a cut shot to point but can't find the gap"
bizarre shot! Shaped to step inside the line and lap it but it was a slower ball bouncer outside off that he had to duck! Rizwan wanted a wide call but he was outside the guideline when it went over his head
"fuller on middle, he pushes to mid on and pinches a single"
"138kph, back of a length, punched square to backward point, Smith knocks it down but they run straight away to get there easily"
"94kph, darted into middle, he's pushing this toward long on and wants two but it's not there"
"looped up outside off, he drives easily to long off"
"slower at 85kph, he is forced to check the drive back to the bowler"
"drifting into leg, he skips out and whips this neatly to deep midwicket"
"shorter length, he's back and cutting past backward point, fine of the sweeper in the deep and they get two"
"he jumps out early, darted into leg, he clips this to square but can't pinch a second as McDermott races in from the deep"
"118kph, shorter slower off cutter, he pulls behind square into the gap for two"
"138kph, pace on, it climbs off a length, he <strong>jabs it off the gloves wide of the keeper</strong> fine of third man for two"
"shorter outside off, he pushes to point to pinch a single"
"118kph, short slower ball, he mistimes a pull behind square for a single"
"bouncer, 138kph, he leans back to try and uppercut but misses"
"this <strong>rears off a length</strong> it comes off the splice and Rizwan drops the bat, but Babar calls him through for a tight one, Rizwan has to stride out to get in without a bat in hand"
"skips down to a ball drifting in, he drags a drive hard down to long on"
"<strong>lofted just over Smith at long off!</strong> he didn't get all of it but  he just got enough of it! Went inside out over long off, Smith was jumping on the rope but it just cleared him!"
"shorter length, punched hard to deep cover"
"tossed up, he mistimes a drive to cover"
"darted to off, he steps down on one knee and late dabs fine of short third man"
"fuller on middle, he pushes towards long on but Agar cuts it off"
"wrong un first up, he is back and chopping a pull down to long on"
"90kph, shorter ball on middle, he's back and pulling wide of long on for an easy two"
"looped up leg break, he pushes this to the gap at cover"
"shorter outside off, he is back punching back straight to point"
"tossed up, fuller outside off, he whips against the spin to long on"
"quicker leg break, he skips out but doesn't get to the pitch and knocks it away with his pad"
"arm ball from Agar, the batsman backs away and hacks it to the right of the bowler"
"pushed through on middle and leg, Babar drops down to one knee and pings a slog-sweep between deep square and deep midwicket. Pakistan find some respite"
"shorter and breaks away outside off, lashed to point"
"<strong>Holes out to long-on</strong>! Rizwan steps away and shuffles down the track. Agar is wary of it as he tosses it wide of off, asking the advancing batsman to fetch the ball from there. Rizwan has a swat at it but does not connect well enough, finding Cummins at the edge of the boundary. Rizwan has been put out of his misery. He just couldn't get going today"
tip and run to cover as Babar turns the strike to new man Asif
"wide of the crease, sliding in at off, inside-edged to midwicket"
"short of a length and slanting in nat 139ks, forced away to the left of <strong>Finch under the helmet at short leg</strong>"
"lifter on middle, tennis-ball bounce for Cummins, flies over the helmet as Asif can't meet with a pull"
"hip-high short ball of the slower variety, pulled away to long leg"
"shorter and outside off, Babar rides the bounce and pulls with the wrists to deep square"
"length and angling in at off, whipped to long-on"
"short, slow, 119ks, pulled with control through midwicket"
"dropped short and spins away outside off, <strong>there's the release for Babar</strong>. He jumps back and middles a cut to the right of backward point"
"wrong'un, faster and flatter, nurdled away to the leg side"
"<strong>Asif tees off! Say hello to Pakistan's finisher.</strong> Tossed on off, not much turn either way, Asif, standing on leg stump, has a heave-ho at it. Slog-swept hiiiiiigh and over the wide long-on boundary"
"pushed through outside off, tapped through the covers to follow the mighty six with a single"
"Babar uses his feet, Zampa skids one in and hits the pads of the moving batsman"
"looped up on leg stump, slog-swept away to deep square leg on the fence"
"short and holds its line outside off, lashed to sweeper cover off the back foot"
"lifter on middle, flies through to the keeper after beating Asif's hook"
mid-off has just moved back and Asif finds that fielder with a swat off a slower variation
"full on the stumps, shovelled away to deep square leg"
"123ks slower ball outside off,<strong> Asif hauls it away to Agar in the outfield</strong>.  Asif clears his front leg and miscues it to deep midwicket. Agar runs in and completes a smart catch. The big hits aren't coming off for Pakistan"
