"movement straight away, seams away from outside off, left alone"
"good length on off, a bit of away movement, presses forward and blocks into the off side"
gets forward and pushes into point
"length ball on middle, blocked to midwicket"
"back of a length, can't get on top of it, rolls off the outside edge towards third man"
"length at 142kph and on leg stump, nudged into the on side"
"back of a length, straight, shifts back and defends"
"straight length ball, punches down to long-on"
presses forward and blocks a fuller one into the covers
<b>appeal for lbw</b> as he gets down to sweep but he's <b>struck outside off</b>
pushed to mid-off
"another appeal for leg before, this one seems to have <b>struck him too high</b> as he shifts back and attempts to whip it away"
"length on middle and off, defended back"
"back of a length, gets on top of it in the crease and punches off the backfoot through cover"
gets a stride across and punches a length ball to point where <b>Markram flings himself to his right and stops it one-handed</b>
"slower length ball, blocked"
"full on off, crunched to mid-on"
"full on off, punched crisply to mid-off"
"floated up outside off, comes forward and blocks"
"back of a length on off, shifts back and punches through cover"
"nicely flighted outside off, drags a slog down to long-on"
"full and flighted on leg, driven to long-on"
"full on off, defended"
"pitched up on middle, pushed down the ground"
"short of a length on off, chopped into the surface as it goes towards the second slip fielder"
"length on off, presses forward and gently pushes into the covers where Zondo misjudges the bounce and misfields"
"short ball, mistimed pull to the right of square leg"
"full on off, Zondo flings himself to his right to get a hand to the drive and half-stops it"
"length on off, blocked to point"
"length on off, 147ks, blocked to extra cover"
"pitched up on middle, gets forward and blocks"
"short of length, shifts back and blocks inf front of off"
gets down to sweep and gets an inside edge that saves him. Would have snuck through to the stumps otherwise
shifts back and blocks into the off side
"off-stump taken out. And Tahir takes flight and pumps the fist. Beautifully bowled. On a length, tossed up on middle and turning past the outside edge subtly to smash into off"
"slid across off, blocks off the front foot into the off side"
"full on middle and leg, pushed with a straight bat past mid-on diving to his left"
"shortish, extra bounce as it nips away outside off, knocks it tentatively down to third man"
"pushes a length ball across at 148ks, left alone"
"with Steyn's raw pace, it was only a matter of time before someone nicked off. This one's short of a length, a cross-seam delivery that nips away and squares him up with extra bounce. Edged behind to the keeper"
jumps and tucks a length ball to square leg. Slightly astray from Steyn and duly punished
"shortish, nips away late as he lifts the bat and lets it go"
"length on off, defended"
"appeal for lbw, not given by the umpire. No signal from the umpire, and rightly so.. got a glove on the reverse sweep to third man"
blocked off the outside of the bat to the off side
advances down the ground and shovels this <b>straight past the right hand of Tahir</b>
"googly, spins in, defended"
"gets down to sweep a fuller one from middle, can't keep it down but there's no one in square leg"
"back of a length, goes on straight outside off, left alone"
"too full outside off, gets forward and crunches it through the covers. Poor ball, put away duly"
"back of a length, left alone outside off"
reaches out to a fuller one and drills it back off the inside of the bat
"good length, angled into off, gets an inside edge onto the pad as he comes forward to defend"
"good length on off, blocked to cover who half-stops after diving to his right"
"back of a length, spins in from off, pulled to deep midwicket"
"full on leg stump, nudged away to square leg"
"pitched up on off, clipped uppishly to long-on"
gets down for a reverse sweep from leg stump and it drops short of point
nudges a fuller one off the pads to short fine
"floated up outside off, driven hard through cover, where Zondo can't stop it and lets it go through"
"full just outside off, and he takes a big stride forward to drill a straight drive. Mid off intercepts"
"good length outside off, and he opens the bat's face to punch square. Rolls away to point"
"back of a length outside off stump, and the ball flies past Masakadza's shoulder"
"full on off, and he falls into a leg-side flick that drbibbles away to Phehlukwayo at deep backward square"
"full toss angling into his pads. Missing out on the yorker, and hits Masakadza's pads outside leg stump. The ball flies away to the off side"
"<b>taken!</b> Klaasen dives forward to snuff another Zimbabwean wicket. Rabada goes short, and this time Masakadza looks to defend off the back foot. The ball gets big on him, hits the side of his glove and lobs into the diving keeper's hands"
"full just outside off, and he takes a tiny step forward to defend"
"full on middle, and turning away from the batsman. He picks the turn, and drives straight down the ground to long on"
full on off stump. Comes forward and taps this to mid off
"good length outside off. Takes a big stride forward to defend, but the ball turns inwards, takes his inside edge, and then flies away towards the leg side. Not in control there"
"back of a length outside leg stump. Spins into middle stump, and nudged to the leg side"
"full on off stump, and defended off the front foot"
"length ball outside off, angling in. Fended off the back foot"
"back of a length just outside off, and defended off the back foot again"
"back of a length outside off again. Backs away, and punches to cover off the back foot"
back of a length on middle. Directed at the batsman's body. Uncomfortably tucked to the leg side
"full on middle, and he makes some room to punch this past the non-striker. Steyn, at mid on, has to give it a chase, but he manages to pull the ball back"
"full outside off. Tailing in slightly, and defended off the front foot"
"full just outside off, and driven away from the turn to cover"
"<b>just past first slip!</b> Full outside off, and spinning away. Tries to drive, but takes the outside edge to third man"
"full on off, and pushed off the front foot to cover point"
"good length on off, and worked off the back foot to square leg. They skip across for one"
"shorter on leg stump, and he milks this off the back foot to the leg side for a couple"
"full on middle. Tries to compensate for the previous ball, and he gets down on one knee to slog a sweep right over midwicket's head!"
"good length on off, but angling down leg. He clips this comfortably off his hips to fine leg. Shouts of catch it with a silly-fielder on the leg side, but the ball was played much finer"
"full on off, and he comes forward to push a drive down the ground to mid off"
"good length on off, and he chooses to defend with soft hands off the front foot. The ball pings off his bat to point"
"full on off, and he takes a step forward to defend. The ball roll backs to the bowler"
"full just outside off. Angling in, and he offers the bat's full face once again"
back of a length outside off. Zips away after hitting the deck. He punches this away from his body to the fielder at mid off
"length ball just outside off, and firmly punched off the back foot to cover point"
