short of a length and swung away from an off stump. Has a stab at that and is beaten
"short of a length on middle stump, steps out and looks to whip it through midwicket, cops it on the thigh"
"<b>picks out deep square leg!</b> Length at the stumps. Steps out and has a flap at it in front of his body, reaching out and dragging it straight to that fielder"
"length ball just outside off, defended onto the pad off the inside edge"
length ball swinging away late outside off. Follows with his hands and is beaten
"short of a length just outside off, gets the back leg across and slaps it aerially to a diving cover's left"
"length on middle stump, gets the front leg out and gets on top of the ball to sweep this neatly to the square leg boundary"
"length on middle stump, driven to mid-on"
"length at off stump, forces him to defend into the off side"
"length at off, pushed to point with soft hands"
short of a length slider in the corridor. Looks to pull and is beaten on the inside edge
"length at middle stump, clipped to short fine off the back foot"
"short and wide outside off, cut to sweeper cover"
shot. Length and angled into the stumps. Gets a half stride out and punches to mid-on's right
"short and just outside off, pushed to backward point off the back foot"
"length on off stump and another lovely punch on the rise, this time just past the bowler's shins"
"length on middle stump, flicked to midwicket's left from deep in the crease"
"short of a length in the corridor, looks to defend on the back foot, gets a thick edge to third man"
"short of a length on middle, punched to long-on off the back foot"
"full at off stump, gets to the pitch with his stride and slogs this cleanly to the midwicket boundary"
"length at off, dropped into the off side with soft hands"
"length on leg stump, flicked to deep square off the back foot"
"length on leg stump, flicked to short fine's left"
"brilliant timing. Length on middle stump, onto the back foot to punch sweetly to deep square's right off the back foot"
"slower ball, short of a length outside off. Jabbed to backward point"
"length on off stump, punched to mid-off on the up"
short of a length and slammed in at an off stump line. Jumps away from the outside edge
"length on leg stump, flicked to deep square"
"short and just outside off, cut to sweeper's left"
"short of a length outside off, looks to cut and gets an inside edge through to the keeper"
"just clears the square leg boundary. Short ball at middle stump, looks for the pull and slices it to the right of the fielder out there. That hurried him"
"full and just outside off, looks to drill through off side, gets it down to third man off the toe end"
"full at off stump, driven back down the pitch. Gets a hand on that and would have <b>got Finch run out</b> if that had hit the stumps. But mid-on has to clean up to his left"
"slower length ball wide outside off, left alone"
"full on middle stump, driven into the stumps at the other end. Deflects to mid-on"
"length at off stump, defended to point's right off the back foot"
"short at off stump, pulled to deep square"
"short and wide outside off, cut to sweeper cover"
"length at leg stump, flicked to short fine"
"length at off stump, poked into the leg side with soft hands"
"short of a length slider outside off, pulled to deep midwicket"
