""
"full on off, and he slices a hard drive to wide mid off. Duminy gets his body behind the ball and somehow manages to intercept"
"good length on leg stump, and nudged to square leg for a jogging single"
"<b>in the air!</b> But just short of cover. Full outside off, and Dickwella drives with hard hands. The ball turns in his gloves, and he falls just in front of the fielder"
"angling into Dickwella's body, and he comfortably turns this around his hips to the leg side"
"good length on middle, and he flicks it off the back foot to the leg side"
"full on leg stump, and Perera offers the bat's full face to drive to mid on"
"full and slanting in on middle and leg from round the stumps, patted down the ground"
"full and attacking the stumps, forced back to Mulder"
"much fuller and outside off, Kusal drives it firmly to short cover off the front foot"
"good length on middle, Mulder draws an inside edge to midwicket region"
he rides the bounce of this short one outside off and diffuses it to backward point
"straying into the pads, picked off fine in the gap between the two men in the deep. Fifty up for SL"
turned off the pads to deep square leg this time
"back of a length on the hips, worked away to square leg, where Mulder, I think, fumbles and allows a single"
"just short of a good length and outside off, Kusal leans back and slaps it to point"
"wicket-to-wicket line, back of a length, hit back to Andile off the back foot"
Kusal stays leg-side of this short ball outside off and spanks it to the covers
"fuller and nipping away just a shade outside off, tight leave to round out the over"
clipped off the hips to deep fine leg for one
"driven off the pads to short midwicket. There's a misfield, a mix-up, no runs in the end"
"Kusal fetches a back of a length delivery from outside off and swats it mid-on, where Shamsi tumbles to his right to stop the ball"
"pitched up on off, driven straight of  mid-off for another single"
backs away outside leg and rides out a single to deep third man
"Mulder belts out an appeal for lbw. This might have <strong>pitched outside leg</strong>. Then swings in the air to have the batsman falling over the flick and ping the front pad. Yes, pitched outside leg. SA did well not to review it"
"floated full and outside off, Dickwella chases a drive and misses"
"pitched up on off stump, squeezed to mid-off off the front foot"
"good length on off stump, chopped to deep third man"
"full on middle, forward and pressed to point with an open face"
"<strong>Andile breaks the stand, has Kusal holing out to mid-on</strong>. Andile pulls his length back and shifts his line wider outside off. Kusal can't get on top of the ball as he aims a pull. He splices it to the right of mid-on, where Lungi runs around and makes this catch look simple"
he rides the bounce of a short ball outside off and diffuses it to point
shuffles across off and works a length ball to short midwicket
"full on middle, forward and drilled back to the left of the bowler"
"bouncer, angling in at the body from round the wicket, Dickwella is up to the challenge. He sways his upper body out of the way"
"Another rib-hunting short ball, 134ks, this floors Dickwella. He collapses and grimaces in pain. <strong>Man down</strong>. Dug into the middle of the pitch, angling in at the body, Dickwella ventures across off and defects the ball into the middle of his ribs as he aims to turn the ball to midwicket. Dickwella needs medical attention. And this results in a hold-up in play in Dambulla"
"length on off, nudged defensively to the leg side"
"slower cutter, 114ks, pushed outside leg, deflected to deep fine this time"
"back of a length on a fourth-stump line, Dickwella wants to force through the covers but an inside edge sneaks away to the leg side"
"pitched up on off, forward and driven back to Andile"
"<strong>Andile runs one past the outside edge</strong>. Good length, angling in towards off, tricks Mathews into playing for the angle but the ball seams away late past the bat. Little gem from Andile"
"<strong>Shot, Angelo!</strong> Crunched down the ground. Overpitched and outside off, drilled through the line past the left of Andile and right of mid-off"
"full and sprayed down leg, wide"
"slower ball outside off, stabbed away to the left of short cover"
back of a length and angling into a leg-side flick past midwicket
"on a length and pushed wide outside off, belted over the infield. Sweeper cover mops up in the deep"
full and angling into a tight front-foot defence back down the pitch
"pitched up and outside off, forward and driven straight to mid-off"
"back of a length on a fifth-stump line, a back-foot punch to mid-off ensues"
"Mathews hops, skips, and tucks this short ball to long leg for two"
"lifter on middle, 131ks, Mathews hunkers down"
"full on middle from round the stumps, Dickwella ventures outside leg and spanks it away to the right of mid-on. Bam!"
"good length on leg stump, Dickwella stretches forward and pushes to mid-on"
Dickwella shuffles outside leg and the bowler chases him with a sharp bouncer. Fended off to midwicket
"full and wide outside off, left alone"
"good length and holds its line outside off, can't make Mathews play again"
"full and outside off, eased down the ground off the front foot"
back of a length and skidding in to catch the thigh pad
"lobs a full-toss outside off, swatted down to long-on"
"another full-toss, on off, whipped off the front foot to deep midwicket"
"full and angling across off, front-foot defence back to the bowler"
"tossed outside off, Mathews leans into a drive and hits the ball to long-on"
"hint of turn and dip, sticks in the pitch, JP draws a leading edge but it does not carry to cover"
"starts on off, <strong>grips, and breaks away past the outside edge</strong>. Lovely ball to end the over"
"short and angling in at off, Mathews fends back to Rabada"
"on a length and outside off, driven on the up to short cover"
"back of a length and outside off, ignored"
"short on off, Mathews pats it down"
"back of a length and hits the splice, defended to the off side"
"full and outside off, Mathews carves a drive to mid-off. Maiden for Lungi"
"tossed up and drifting down leg, paddled away fine on the leg side. Amla chases hard and slides, but the ball wins the race"
"flighted on off and turns away, Dickwella inches forward and pokes it to the covers"
"lobbed outside leg, Dickwella misses the paddle"
"another sweep, this is hit flat and hard to deep square leg"
"tossed on middle, non-turner, whisked back to JP's right"
"dipping low full-toss on middle, played back"
"short and angling across off, Mathews goes deep in the crease and punches it down to long-on"
"back of a length and pushed through down the leg side, Mathews snicks it fine on the leg side for four. Help yourself, Angelo"
"full on middle, presses forward and knocks the ball into the vacant spaces at square leg"
"dragged short and fizzes away outside off, Dickwella uses the pace and bounce and late-cuts to third man fence"
"<strong>First fifty in what ages for Dickwella?</strong> Seam-up short ball outside off, Dickwella feathers it fine on the off side past the keeper and finds the third-man boundary. He blows kisses in the direction of the change room and celebrates the effort"
"short and outside off, forced to the covers"
"tossed on middle, forward and dabbed to the leg side with soft hands"
"overpitched on middle, and Dickwella goes for an expansive sweep. Struck straight to the diving short fine leg fielder"
"full outside leg stump, and Dickwella whips this behind square to short fine leg. <b>Hundred for Sri Lanka as the fans go up in a roar</b>"
"full on middle, and Mathews' attempted on drive is sliced to mid off instead. Played softly enough for them to run across to the other side"
"full on off, and down he goes on one knee to sweep behind square. Played to deep backward square leg"
"full outside off, and he shovels an on drive to midwicket. No run"
"full outside off, and Mathews drags a drive towards the on side again. Intercepted by Duminy"
"full outside off, but gripping and spinning away from Dickwella. He tried to make some extra room too, and therefore the ball's too far from him to cut. Into de Kock's gloves"
"length ball just outside off, and Dickwella carves a square cut off the back foot to the player in the deep"
"full on middle, and Mathews carefully sees this through onto his bat. Drives to midwicket"
"full just outside off, and comfortably pushed to cover for a quick single"
"full on off, and Dickwella walks across to the off side, and then <b>drags the sweep</b> behind square! Dive in the deep by the fielder, but that was well struck. <B>Fifty partnership too</b>"
"full just outside off, and Dickwella backs away to drill a drive to deep extra cover. They want the second, and it could be close if the throw is on the stumps. But alas, it's far away from Shamsi, and Dickwella scampers back before the danger got too much"
"full on off, and pushed off the front foot. Stopped by Duminy running to his right"
"full just outside off, and swept to fine leg"
"full just outside off, and driven to long on off the front foot"
"full just outside off, and he smothers the turn with a front-foot drive"
"full on off, and Dickwella shovels this over cover. Lands at a safe spot, and wide long off needs to race forward in a bid to stop them from taking two"
"full on off, and Mathews comes dancing down the wicket to slog. But the ball turns inwards slightly, and therefore takes the inside of Mathews' bat. Mistimed to the leg side"
"full just outside off, and he opens his bat's face to tap the delivery to point"
"good length outside off, and Mathews takes a step back before punching to mid off"
"full on leg, and he tries to play it fine past the keeper. Comes off his thigh, and de Kock does well to stretch to his left and stop the ball from sneaking through for a boundary. Appreciated by Phehlukwayo"
"<b>soft appeal for caught behind</b> but the umpire calls wide. Short on middle, and Dickwella attempts a wild pull behind square. The ball goes over his shoulders as Dickwella misses the shot completely"
"chipped over midwicket! Full on middle, and he simply whips it over the infield with ease. Played the shot slightly too early, and therefore went into the air. But overall, a rathers safe shot"
"good length outside off, and Dickwella's jab through the covers gets him a single"
""
"wide outside off, and Dickwella has enough time to execute a slap shot. But he can't find the gap, as Faf's diving effort at cover stops the ball"
"full on middle, and turned off his toes to square leg for an easy run"
"full outside off, and Mathews goes fishing outside the stumps. Taps the ball to cover, but there's no chance of a single on this occasion"
"full on middle, and Mathews brings his bat down to work the shot towards square leg. Calls early for the single, and off they go"
"full outside off, but Dickwella is comfortable in dragging the sweep from outside the stumps, and depositing it to the man at a square-ish fine leg"
"half-tracker on leg stump, and Mathews steers a grounded pull to deep midwicket"
"back of a length outside off, and Dickwella fails to execute his back-foot punch. Takes the bat's inside edge and ricochets onto his pads"
"<b>played on!</b> How often does Dickwella get out that way? Loose ball outside off, and Dickwella goes for the cut way too early. The ball hits the bottom of the bat, and drags this onto his off stump. Phehlulkwayo celebrates hard and Dickwella cuts a forlorn look as he makes his way back for 69"
"full on middle, and he uses his wrist to nudge a push to deep midwicket. Gets off the mark"
"length ball angling in, and Mathews swivels to pull to deep backward square. Mulder throws his body near the boundary, and his acrobatic effort stops the boundary"
"wide outside off, and Mathews punches towards the off side. But it goes straight to the fielder at cover"
"length ball outside off, and Mathews plays a dab down to third man for one"
"floater outside off, and driven to wide long off for a single"
"full outside off, and he brings out an expansive drive. Goes to cover on the bounce though"
"full on off, and pushed with the angled bat to the off side. Miller dives to his right to intercept"
"full on leg stump, and Shehan uses his feet to get to the pitch of the ball. Tapped to the leg side"
"wide outside off, and cut off the back foot to the sweeper fielder in the deep"
just past the outside edge! A slider outside off that's always angling away. Mathews tries to defend away from his body but the ball goes past his outside edge
flicked off his pads to the leg side for a walking single
"angling into his body, and Mathews rides the bounce to pull to cow corner"
"good length outside off, and tapped to cover off the front foot"
"good length outside off, and Mathews offers his soft hands in a bid to steal the single. But his defensive shot goes to cover just a tad too quickly"
"good length outside off, and Mathews sticks his bat out, turns its face, and then runs this <B>fine past the keeper</b> for four. Third man was too wide in the deep. A deliberate shot, make no mistake"
"good length outside off, and punched to mid off to see the over out"
"full outside off, and he muscles a drive to the off side. But can't breach the infielders at cover"
"tossed up on off, and Shehan comes forward to defend. Played to the off side"
"good length outside off, and he shuffles backwards to try and cut square. Finds point though"
"good length outside off, and Shehan stays back for the late cut. Jabs at this, and manages to play this fine past first slip! He was itching for a release shot, and he finds a nifty boundary"
a slider that comes into the batsman's body. He goes onto the back foot and works it tot he leg side
"yorker on off, and Shehan manages to dig this back to the bowler"
"full on his pads, and Mathews flicks to midwicket for a quick single"
"good length outside off, and Shehan runs forward to disrupt the bowler's length. Meets this near his hip, and flicks it square to the leg side for one"
"full outside off, and his attempted straight drive is played way too early. Comes off the bat's toe end, but he manages to chip it just beyond Rabada's left hand. Beats mid off too, and the crowd goes loud as the ball reaches the boundary"
"<b>is there an appeal for obstruction? Faf is asking. Soft signal is not out.</b> Length ball on middle, and he works it towards square leg. Mathews takes off for the single, but he's sent back by Shehan. He falls while turning, and then dives back to reach the crease with Faf aiming at the stumps. But hold on, has he changed his running line a bit too much? That's what Faf is asking. Shades of that Jason Roy incident here. But the third umpire deems <b>not out</b>. Looks like Mathews didn't obstruct the fielder's view of the stumps"
"good length outside off, and fended off the back foot"
"attempted yorker on middle, and he has no trouble to clip it away to square leg"
"tossed on leg stump, nudged to square leg"
"full on leg stump, tickled straight to short fine leg"
"flat dart on leg stump, tickled to short fine once again"
"straight ball on middle, Mathews presses forward and clips to short midwicket"
"tossed up and spinning away outside off, stabbed to long-off"
"tossed on off, laced down to long-off off the front foot"
picked off the hips between deep midwicket and long leg
"full and straight, nurdled to deep square leg"
"back of a length and slanting in at off stump, Shehan hangs back and works to midwicket"
"back of a length on off, jabbed back to Mulder"
"dug in short and outside off, swatted wide of deep midwicket"
worked to the left of short midwicket
"tosses one up outside off and gets it to spin away, no shot"
"dangled up outside off, drops down to one knee and paddle-sweeps to fine leg"
Shehan leans back and chops from outside off to backward point
"dragged down outside off, Shehan looks to whack it through the covers. Nearly chops it on. The ball ultimately rolls past leg stump"
stabbed down to long-off off the front foot
"slower through the air, full and turns away, carved off the front foot to backward point"
"chest-high short ball on middle, Mathews sizes it up. Swivels beautifully on the back foot and pulls with great authority behind square on the leg side"
"back of a length on middle, Mathews jumps across off stump and clips it gently to short midwicket"
"back of a length and just a shade outside off, patted to the covers"
"bouncer outside off, Shehan thinks about the ramp but pulls out at the last moment and allows the ball to leap into the gloves of the keeper"
"very full and outside off, smeared to mid-off"
"back of a length and floated down the leg side, Shehan aims a flick. Was there a deflection behind? Not given out caught behind by Paul Reiffel. <strong>SA review the on-field not-out decision</strong>. They're pretty confident they have their man. Ultra Edge detects a spike, and Shehan has to go. He can't get enough bat and feathers it behind"
"good length and fizzes back in, strikes Mathews on the pad as he misjudges it"
"floated up on leg stump, glanced to square leg. Sloppy. SA concede overthrows"
"floated up on middle, Thisara stretches forward and smothers it"
<strong>shooter</strong>. Does not bounce at all. Scoots through at ankle height to Qdk outside off
"that's a jaffa from Shamsi. Looped up on off, the flight draws the batsman forward, the dip creates distance between bat and pitch, and the turn <strong>takes it past the outside edge</strong>"
"pushed through flatter and quicker outside off, quick turn, <strong>beaten on the outside edge once again</strong>"
"back of a length on a fourth-stump line, punched up to mid-off"
"fullish and outside off, punched off the front foot to mid-off"
"shortish and wider outside off, Mathews gets on top of it and <strong>sweetly punches to sweeper for his 36th ODI fifty</strong>"
"back of a length and outside off, punchily defended to the off side"
"Thisara looks to force it through the covers, ends up getting an inside edge behind square"
"short and wide, Mathews chops it hard into the ground, the ball rockets to sweeper"
"tossed outside off, driven down to long-on"
"tossed outside off and spins away, Thisara has a crack at it and skies it in front of long-on running in"
"fired on middle, jabbed away to short midwicket off the front foot"
Mathews presses forward to defend this full non-turner to the leg side
worked off the pads to square leg
"Mathews gets forward, slaps this from outside off to short midwicket"
"short on off, whipped out to deep midwicket"
"back of a length and pushed outside off, stabbed back to Andile"
Mathews ventures down the track and secures a single to deep midwicket
"short, wide, Thisara cuts loose and thumps a cut past the right of backward point. Dismissive from the batsman"
"short at the body, pulled to fine leg"
"good length on off, played back to Andile"
"tossed up, turns, takes the edge and rolls behind square on the off side"
"full and outside off, whipped across to deep midwicket"
"dropped short and outside off, leans back and flays the ball to sweeper cover"
"full and outside off, forward and drilled back to the right of Shamsi"
picked off the pads to deep midwicket
"on a length and spins away outside off, pushed off the front foot to point"
"Awful misfield at sweeper cover. Mulder runs across to his right, puts in an awkward slide, and lets the ball slip away to the fence. Short, wide, crashed away"
"banged in short and outside off, pulled firmly to deep midwicket off the back foot"
"back of a length and outside off, Thisara stays leg-side of the ball and creams it to the off-side sweeper"
Mathews swivels back and pulls a short ball from outside off to deep square
"full on the stumps, clipped through the leg side"
"short and outside off, punched to left of mid-off"
"tossed up wide outside off, and Mathews tries to clobber a drive over cover. Trickles away to cover"
"full on off, and turning into his pads. Worked away to square leg"
"full on leg stump, and driven to deep midwicket for a couple"
"full outside off, and he bends his knee to try and cut it square. Misses out"
"full on leg stum, and he clips it to short fine leg. Thisara wants the single, and he's halfway down the wicket before being asked to go back. Manages to dive back before the throw reached Shamsi"
"full on middle, and worked away to the leg side for a single"
"good length outside off, and he taps this to point off the front foot"
"full outside off, and slapped off the front foot to deep point"
"full on leg stump, and he misses a leg-side hoick. Hits his front leg, and the ball flies away towards point"
"good length outside off, and cut away to point. Wants the single, but straight to Shamsi at point"
"short on middle, and Perera goes for a pull. Top-edges this, and de Kock has all the time in the world to get under it. Soft dismissal"
"full outside off, and he slashes at this hard outside off. Takes a thick edge, and the ball runs away to the third-man boundary. <B>SL go past 200</b> with eight overs to go"
"full just outside off, and he comes forward to defend. Plays his first ball towards cover"
"good length outside off, and he whips a punch to Miller at cover once more"
"spinning away from Akila, and he backs away to cut. Can't beat point though"
wrong'un! Length ball outside of and spinning inwards. Akila shuffles to the leg side and pushes to cover
"tossed up on off, and driven towards cover. Slices the shot though, and the ball goes in the air to long off"
"full outside off, and Mathews can't keep strike for the next over. Tries to drive down the ground, but Shamsi is alert to intercept"
"slower ball on middle, but Akila picks up that in a flash! Lifts it over the bowler's head, and off it goes, one bounce for four"
"back of a length outside off, and Dananjaya backs away to dab a cut down to third man"
"slower ball outside off, but Mathews has no trouble in flicking off his hips to deep midwicket"
"<B>chipped in the air!</b> But lands safe near square leg. Short ball cramped Akila for space, and he tapped this towards the leg side for one"
"yorker on off, but Mathews uses his wrists to flick to deep midwicket. They want two this time, and comfortably completed by the duo"
"slower ball outside off, and he turns this around the corner to deep backward square leg for a single. Keeps the strike, importantly"
"full outside off, and pushed back to Shamsi off the front foot"
