"lobbed up outside off and he drills this drive along the floor, straight to long-off"
"full at off stump, looks to jab this through cover, gets an inside edge into the leg side"
"full and pushed through flat at off stump. Another feeble push from Watson, thick inside edge into the midwicket region"
"length outside off, firmly punched off the back foot to long-off"
"length ball fired down leg side, gets on top of this whips the sweep past short fine with a forward stride"
"length at off stump, blocked on the front foot"
shot. Length ball curving into the hips. He gets on his toes and uses the angle to flick neatly behind square leg
"<b>dropped!</b> Buttler has been put down at first slip. Dwarshius hits the same length - just short of a good length - but he takes it across off stump this line. Buttler jabs at it, no feet, possibly for the one that swings in. It carries cleanly but he fluffs this at shin height"
"short ball just outside off, walks down at it and gets an inside edge onto body as he looks to play the pull"
"short of a length just outside off, hurriedly punched into the off side off the back foot"
"short of a length just outside off, gently pushed towards mid-off off the back foot. Soft hands and they steal the single"
"short of a length on leg stump, defended into the pitch with a closed face"
"length ball at leg stump, offers the full face and jabs this past the non-striker"
"length ball at middle stump, a bit of wobble towards off. defended solidly down the pitch off the front foot"
"length and just outside off, defended into the covers"
"<b>pick-up shot</b> clears mid-on comfortably and then just climbs over the boundary. Clean from Watson. Length ball at leg stump, leans in just a touch but allows enough room for the elevation. Offers the full face and just lofts it in the end"
"whack. Short ball outside off, gets on the front foot and slaps it through midwicket"
"length ball just outside off, punched to extra cover off the back foot"
"that's a poor ball. Dropped short outside off, seems like a slower ball. At the very least, it rose off slowly from the surface. That meant plenty of time for Buttler to pull aerially in front of square"
"<b>beats him</b> with the slower ball. The back-of-the-hand slower ball, dips under Buttler's slog just outside off. Looked a nice full toss, but he deceived him"
"<b>thick inside edge</b> and there's no one at fine leg. Full ball slanted into the legs. Looks to cream this over mid-off, but he hasn't made great connection on it. It all works out"
"full on middle stump, driven to mid-on's left"
"length at off stump, defended off the back foot"
length ball straightens in the corridor as he looks to defend on the front foot. That was angled in and jagged away
"short of a length at off stump, looks for the pull and gets under it a bit too much. Lifted over midwicket. A shovel more than anything by the end"
nicely done. This is overpitched outside off and he chops the bat down on this and carves it between cover and extra cover
"full and just outside off, sliced uppishly, straight to cover"
"slower ball at a length, wide outside off. Picks it, waits on it, lets it rise, and then slaps it past backward point"
"dropped short at a leg stump line, Buttler barely has anything to do in terms of feet. Swivels the upper body, gets the bat down on it and caresses it past short fine"
"full on leg stump, flicked along the floor to deep midwicket"
"length ball on leg stump, flicked to deep square"
"low full toss into the pads, stands tall and whips to deep backward square"
"short of a length slower ball outside off, toe-ended drive off the front foot, into the covers"
"<b>beats the infield</b> and that's all's needed. Even with the poor connection. Short of a length on leg stump. Swipes at it, gets it off the inside half and short fine's attempt to his left is not convincing. Tumbles and lets it through"
"<b>smashes leg stump!</b> Length ball doesn't quite rise enough for Watson, who has had a big slog at this.The stump is out of the ground, and so is Watson"
"length ball outside off, tapped into the covers on the up"
"length ball in at off stump, defended into the off side on the up"
"full ball slanted in at middle stump, leans in to try and poke into the covers. Gets it down the pitch off the inside edge"
"short of a length just outside off, gets on the back foot and punches firmly back at the bowler. Just drops short of him"
"length ball in at leg stump, tickled to short fine's left off the back foot"
"length on leg stump, defended on the front foot"
"length at leg stump, whipped to deep midwicket off the back foot"
"short ball outside off, gets deep in the crease and pulls to long-on's right"
length ball skidding through in the corridor. Stabs at it and gets an inside edge into the leg side
"full on middle stump, gets to the pitch and pumps it straight and flat over the non-striker"
"short ball at leg stump, nicely on top of this and a clean swing to pull this between deep square and deep midwicket"
"short and wide outside off, cut to sweeper cover"
"dropped short at middle stump, gets back deep in the crease and pummels this! High over deep midwicket. Pope just not able to get one full at the moment"
"short of a length at off stump, sliding into him. Backs away and punches to extra cover"
"length and in at middle stump, chops it into the turf as he looks to cut"
"length at leg stump, driven to long-on off the front foot"
"length ball wide outside off, reaches out and drags it off the toe to long-on"
"length ball outside off, skids low and past the attempted drive through the off side. Beats keeper too"
"length outside off, driven to extra cover on the up"
"length ball pushed down leg side, past the attempted flick"
"short ball at middle stump, pulled to deep midwicket"
<b>clears long-on!</b> And that is fifty. Nothing quite like a Buttler straight six. Such a stylish swing from under the ball. This one's landed full on a leg stump line and his half-stride gets him to the pitch
"full on leg stump, flicked to long-on"
"short of a length on leg stump, tapped to long-on off the back foot"
""
"full on leg stump, looks to flick and cops it on the pad"
"length at leg stump, punched to long-on on the up"
"length outside off, sliced to extra cover on the up"
"short of a length on leg stump, flicked off the hips and a misfield at midwicket gives them the run"
"low full toss on leg stump, flicked straight to deep square"
"slower ball, full toss dipping outside off. Flicked straight to midwicket"
"length ball angled in at leg stump, flicked aerially and to deep square's right"
"<b>breaks the shackles</b> against O'Keefe. Steps out at the length ball, doesn't get to the pitch, but he hits through the line and and smashes it straight over the bowler"
"length at leg stump, punched to long-on with the angle"
"short of a length on leg stump, punched off the back foot to long-on"
"short of a length at middle stump, drags the pull aerially between deep midwicket and long-on"
"<b>finds long-on.</b> Another dragged pull, this one is better connected and carries to the fielder. It was short of a length on middle stump and he was through the shot too early"
"full on leg stump, flicked to short fine"
"length on leg stump, flicked to deep midwicket on the up"
"short of a length outside off, looks to chop with a horizontal bat, beaten"
"short ball at off stump, pulled to deep midwicket who fumbles to his left and allows the extra run"
"full outside off, drags a sweep out to long-on"
"length at middle stump, pulled to deep midwicket's left"
"length at leg stump, punched between long-on and deep midwicket"
"length ball just outside off, flicks into the leg side off the back foot"
"short and wide outside off, chopped to third man"
"<n>oh terrible mix-up</b> and we're trying to figure out which batsman is out. It was a short ball across off stump, looks to cut, he's beaten. There's a slight fumble behind. Joe Root wants the run and has run through completely. Ferguson is ball-watching and outside the crease as Root makes it to the other end. The throw goes to the bowler and it is confirmed Ferguson is the one who will leave. He didn't want that run"
"length on leg stump, flicked to deep square"
short of a length slower ball lifts off the surface and past the outside edge as he looks to punch into the covers
"length ball wide outside off, walks into this drive and is beaten. Wasn't close to the pitch of that"
"short of a length and down leg side, swipes on the rise and gets it to the deep backward square boundary"
<b>past the inside edge</b> and into middle stump! Length ball slides in and Root is driving for the turn. Wasn't to the pitch of that and he pays the price with a big gap for the ball to skid through
"short and wide outside off, stays back and chops hard behind square on the off side. Sweeper sprints to his left and puts in a slide, but he can't save the four runs here"
"length ball flat and wide outside off, puts half a stride out and slaps at it. Gets it off the toe-end but he's cleared extra cover and the ball dribbles away"
"length at off stump, defended on the front foot"
"length at leg stump, flicked to midwicket's right"
"short ball at leg stump, stays under it and swivels to launch this high over the long leg boundary. Quick hands from Sams and he's already taken the momentum away from Sixers"
"<b>and another!</b> Not connected ideally, but it's 91 metres! Another short ball on leg stump, gets big on him a little but he heaves and clears deep square"
"short and wide outside off, reaches out and slices this over short third"
"short ball at off stump, chest height. Backs away and looks to slap wide of mid-off, but this is off the sticker"
"length at off stump, hurriedly defended down the pitch"
"length at middle stump, flicked to fine leg's left"
"full toss on leg stump, flicked to deep midwicket"
"slower ball at a length just outside off, poked into the covers off the front foot"
"low full toss on leg stump, can't get enough of a swing on this slog. It's off the low part of the bat and down to long-on"
"<b>taken at mid-off!</b> That's a sharp catch from Abbott. Length ball on off stump, clears the front leg and drills this with an open face. Abbot lunges to his left and takes it with a reverse-cup"
"length on leg stump, flicked to midwicket"
"<b>another at mid-off!</b> Full slower ball just outside off, backs away and drills it hard and this time Abbott has to time a jump. And he executes it well. Good technique again on the reverse-cup"
"<b>sensational catch!</b> Phillipe flies to his right and holds on, one-handed! The innings has flipped in three balls. Sams is gone now and this will cost runs. Dwarshius was around the wicket, bowled it short and wide outside off. Sams wanted to play the late cut and get it fine, but the keeper has held on at about one-and-a-half slip"
"short and wide outside off, slashes and misses"
"length ball at middle stump, poked to long-on off the back foot and they get an overthrow in the off side as the throw comes in from there"
"short of a length outside off, looks to cut, gets it into the turf off the under-edge"
""
"full ball slanted away from off stump, poked straight to point"
"length on leg stump, flicked delicately into the square leg region and they get two as a result as the deep fielders converge on it"
"length at leg stump, steps out and chips off the inside half to deep midwicket"
"short and wide outside off, waits on it and swats uppishly to the point boundary"
"short ball just outside off, looks to hook, gets it off the sticker into the off side"
"length ball at middle stump, clears the front leg to slog, but gets an inside edge onto that very leg. Trickles pitch side on the leg side and they steal the run"
"short ball outside off, gets on the front foot and pulls powerfully past the non-striker. Long-on cleans up to his left"
"slower ball at a length outside off, driven on the rise, just clears the bowler but can't beat mid-off"
<b>beamer</b> climbs over off stump as he looks to hoick it into the leg side. He'll get a free hit
"<b> a wide</b> off the free-hit ball! Decent enough delivery. Back of the hand slower ball at a length outside off. Beats him on the slog again, but this spins past the wide marker"
"yorker at leg stump, looks to slog at this, gets it to short third off the boot. Nicely executed from Curran"
"yorker outside off, looks to chop it through off side and is beaten"
"yorker slanting in at middle stump, steps out and jams at it. For his efforts - an inside edge past leg stump. That's racing away, no one to stop it in the deep"
slower ball at a length on off stump. Steps out and swings on it. Beaten. And then Phillipe picks it up on the bounce and breaks the stumps with an underarm flick to catch McAndrew short of his crease as he tries to pinch a single
<b<yorker into off stump!</b> Another superbly executed yorker from Tom Curran. Batsman exposes the stumps and has a swing at it but is comprehensively beaten
full and in at the pads. Stays tall as he flicks this off the toes and past square leg
"length at middle stump, steps out and flicks to midwicket"
"full on off stump, reaches out and picks it up over midwicket. Lands to deep midwicket's left"
"<b>just clears mid-on.</b> Wanted to slog that over the fielder, but this came off the toe-end. Length ball sliding in at off stump, was there for the hit considering his big reach"
"length at off stump, slogs at it again. Thick inside edge to deep square"
"length at off stump, defended into the covers off the front foot"
"length on middle stump, closes the face on that and gets a leading edge to poit"
"length ball wide outside off, driven on the up to extra cover"
"<b>past the outside edge</b> and into off stump! Wants to go inside-out, over mid-off. But he isn't behind the line of it and the stump is exposed as he goes for this. Late movement away off the pitch does him"
"length on leg stump, flicked to midwicket's right"
"length ball just outside off, guided to third man with an angled bat"
length ball swung in late at leg stump. Can't get the flick away. It's a single at square leg
"full at off stump, steps out and taps to mid-off off the toe-end"
"yorker length at leg stump, flicked to midwicket"
"length at middle stump, steps out and clips to midwicket's right"
"length outside off, onto the back foot to push this down the pitch"
"length at leg stump, steps out and yorks himself. Jams it into the midwicket region"
"<b>down the pitch but given!</b> Length ball skids through and catches him in front of middle stump as he looks to flick. That didn't rise too much, caught him under the knee with his front leg planted across the stumps. Edwards not happy about the decision, but it's closer than he thinks it is. <b>Replays confirm that was hitting leg</B>"
"length ball pushed across the stumps, looks to drive on the up and is beaten on the outside edge"
"short of a length on leg stump, gets big and stays tall as he nudges this past short fine. Deep square sprints a long way to cover this"
"length outside off, leans in and uses his wrists to caress this - uppishly. Uses the face and gets it over extra cover"
"length at leg stump, dropped in front of short fine with a closed face"
stylish. Length ball slanted across off stump. Squats and leans into this with a horizontal bat before driving it past backward point
"length outside off, expansive cover drive straight to the cover fielder"
"length ball pushed wide outside off, slashes and misses"
"length outside off, sliced to point on the up"
"full outside off, driven straight to extra cover off the front foot"
"dropped short outside off, pulled firmly, but straight to midwicket"
"full on off stump, opens up to try and carve through the off side. Gets it to long-on off the inside half"
"full on leg stump, flicked through square leg"
"slower ball, short of a length outside off. Guided straight ti short third"
length ball in at off stump. Driven on the up to extra cover
"slower ball, short of a length on off stump. Gets on the back foot and pulls to deep square"
"<b>mid-on pedals backwards</b> and holds on. Henriques deceived by the slower ball. It was lobbed up at leg stump. He wanted to loft it over mid-on, in the last over of the Powerplay. But he was early on it and could only get it high, not far"
"full on leg stump, flicked to midwicket"
slower ball full outside off. Bunted into the off side off the toe-end
"googly, short of a length just outside off. Stabbed to point off the back foot"
<b>tonks leg stump.</b> Fawad gets a length ball to skid on. Silk is deep in the crease trying to punch and just completely misses this. His reaction suggests he thought this would bounce higher than it did
"length, googly at leg stump. Flicked through square leg"
"<b>outside edge</b> past keeper's leg and through to the boundary. He was late on that, possibly because he was trying to see which way it's going off the surface. It skid straight on and took the low part of the outside edge, into the turf and away for four, as he pushed aimlessly at it"
"googly, at a length on off. Defended into the off side"
"<b>bowled him!</b> Once again, Hughes is frozen as this approaches him. Just no idea which way the ball is going. This comes in off a length and he's set up for the googly, on the back foot. Past the inside edge and into middle and leg stump"
"bouncer at leg stump, hooked down to fine leg"
slower ball at a length on off stump. Dabbed to point who gets a little tangled up and loses balance as he sprints in to pick up. Can't balance himself for the throw at the non-striker's end and the batsman survives
"nicely played. Full ball on leg stump, gets on top of the line and closes the face late to get this flick past midwicket"
"full slower ball outside off, jabs it to point again. Sangha more balanced as he puts in the throw this time, but he doesn't hit the stumps and Phillipe seemed to have made it"
"short ball across the corridor, looks to hook and is beaten"
slower ball dropped short and very wide outside off. Chops from under it and gets it over backward point
