"full and wide, scuffs a drive wide of backward point for a single to get off strike."
"fullish length swinging away from fifth stump, beaten by the movement and his own lack of footwork."
"full on leg stump, flicked firmly to deep square leg."
"back of a length on fourth stump, goes to pull and misses off the thigh guard, stifled lbw shout from the bowler but hit outside the line of the stumps."
"back of a length again, this time straighter on middle stump and Weatherald hit on the knee roll on the front pad playing an awkward cut. He expected that to go on with the angle but it swung back in. Trapped on the crease. He was in trouble on the previous ball, but can't escape the umpire's wrath this time around. Looked a straightforward decision."
good length ball swings down leg side.
"good length ball outside off, beaten this time."
"good length ball on sixth stump, width there to carve it through the off side but picks out the point fielder."
"short on the stumps, flicks this to deep square leg."
"full on off, defended to cover."
"full on middle, whipped through to deep square leg."
"length ball on fifth stump, swatted along the ground to mid-on."
"good length ball, punched into the covers but can't pick the gap."
"full and down leg, bonus ball to come."
"full and punched down the pitch, beats Weatherald and is cut off by mid-off."
"full on the legs, flicked through square leg."
"back of a length ball, misses a pull on middle stump and the ball caroms to slip. No lbw shout, hit quite high on the legs."
"good length ball on middle stump, inside edge flicked into the pads before a ricochet toward point."
good length ball swinging down leg. Wide again.
"good length ball on fifth stump, plays with soft hands to deep third man."
"yorker on middle, dug out to mid-on."
"short on the stumps, pulls this firmly through midwicket, races to the rope."
"short again on off, goes straighter this time on the pull and is cut off for a pair at deep square leg."
"back of a length on fifth stump, tries to go back to flick through midwicket, leading edge flies over short third man and spins downhill to the rope."
"good length ball punched to mid-on, picks out the man on the ring."
"<strong>missed runout!</strong> Fullish length ball on fifth stump slapped straight to mid-off, perhaps too firmly to take on Ben Laughlin's arm. Desperate dive by Salt trying to scamper a single and the one bounce throw just misses wide of the stumps from 20 yards."
good length ball defended into the off side.
"good length ball, flicked through the ring."
"back of a length ball, played with soft hands behind square for another single."
"<b>another missed runout!</b> Back of a length ball on fourth stump, pushes this to extra cover for a suicide run. Fielder charges, Steketee, and underhands with his body momentum going toward the stumps, only has one stump to aim at from six yards out, misses just wide."
"back of a length again, tapped with soft hands through the ring."
"good length ball pushed to mid-off for a sharp single, direct hit at the non-striker's end from Steketee but he is in by a half yard."
"back of a length on fourth stump, misses a pull."
"fullish length on fourth stump, stroked in the air just wide of extra cover to long-off."
"full on fourth stump, pulls out the reverse sweep immediately, strokes it in the air but splits backward point and short third man before it spins away to the rope."
good length ball flicked through the leg side.
"full on off, stroked to long-on."
good length ball flicked through the leg side again for one.
"full on the legs, goes to heave for midwicket and inside edges it off his pads back to Mujeeb."
"good length ball on off, cuts this straight to backward point."
"length ball on off, swats this disdainfully high over square leg and into a very sizable crowd at the Gabba. Lands in the 10th row."
"full on fifth stump, driven wide of the cover sweeper for a pair."
"good length ball on middle, goes back and flicks it through midwicket."
"slower ball lands full on off, driven firmly to extra cover. Steketee tries to relay back to Laughlin with the non-striker drifting but Laughlin spills a very high underhand throw. Results in an overthrow as it came in very high forcing Laughlin to leap just to get a hand to it before it caroms away. An accurate throw may have resulted in a runout chance."
"good length ball, flicked through midwicket."
"flighted generously on fifth stump on a good length, pushes away from his body and beaten."
"full length on fourth stump, reverse swept straight to backward point."
good length ball flicked to mid-on.
"full on the stumps, driven to long-on."
good length ball flicked off leg stump to wide long-on for a pair.
"good length ball flighted more on fifth stump, pushed with soft hands into the covers and Mujeeb can't deny a single fielding off his own bowling."
"slower ball lands full on fourth stump, chips this flat over the bowler and beats long-on to the rope. Fielder was very wide on the boundary."
"short on the stumps, pulled flat to deep square leg."
"short on the stumps, pulled to deep square leg."
"full on fifth stump, driven to cover sweeper."
"good length slower ball on off at 115 kph, slaps this straight back to Laughlin."
"bouncer wide on fifth stump at 135 kph, left alone."
"good length ball on off, guided with an open face to deep third man."
"length ball on sixth stump, goes to swat through mid-on but the ball skids a touch low under the bat."
"length ball on middle and leg at 121 kph, swatted behind square and cut off at deep backward square."
"picks out deep fine leg! Short ball on the legs, 10 yards either side and it's six. But he smokes a pull flat and straight to Wildermuth on the rope. Fielder never moved. Taken at rib height."
"another slower short ball claims his second scalp! On the stumps, goes to pull and a top edge goes straight up over the pitch. Steketee calls off the keeper to claim it himself before giving a hearty sendoff to Salt."
"good length ball on off, flicked through wide mid-on for one."
"back of a length on off, defended back to Wildermuth."
"good length ball on off, tapped into the covers."
"short on off, pulled crisply through midwicket and races away to the rope."
"short on the body, pulled to deep backward square wide enough for a pair."
"good length ball on off, defended back to the bowler."
"good length ball tailing down leg, big noise as it passes the batsman, called a wide down leg. Looked like it clearly came off the pad but the umpire felt otherwise. Replays confirm it came off the thigh guard. Heat gifted a bonus run."
"good length ball on off, defended to extra cover."
"full on middle, flicked to long-on."
"full on the pads, misses a flick through midwicket."
"good length ball on fifth stump, slices this to backward point."
"fuller on the legs, Short gets on a knee to slog this over midwicket and finds the gap at deep midwicket, one bounce to the rope."
"good length ball on the legs, goes back to flick through square leg."
"short on fifth stump, swats a flat pull well short of long-on."
"good length ball on the legs, flicked to deep square leg."
"full on the legs, flicked through square leg."
"full on the stumps, driven to mid-off."
"back of a length on middle stump, Short premeditated a back away from the stumps to carve over cover, didn't pick the right ball to do it and Bartlett pings the top of the bails over middle and off to light up the stumps."
"full outside off, driven to the cover sweeper."
"full on off, punched softly toward mid-off."
"good length ball on off, goes back to flick through midwicket."
"short on fifth stump, pulled along the ground to midwicket."
"full on the legs, flicked to deep midwicket."
"good length ball darted in flat on fourth stump, goes back to flick through midwicket and beaten."
"fuller on fourth stump, tries to flick through midwicket and an edge flies past the keeper to the rope. Would've been snapped up by an orthodox slip but Mujeeb hasn't had one for his entire spell."
"good length ball on the pads, misses a flick and it comes off the pads to fine leg."
"starts with an offcutter on a good length on fifth stump, guided to backward point."
"another slower ball lands full on fifth stump, sliced wide of cover."
"back of a length on off, goes to cut but cramped for room and beaten."
"full on off, driven to the cover sweeper."
"full on the legs, takes a step down the track to flick in the air toward deep midwicket, just wide of the fielder on the rope and bounces over on one bounce."
"good length ball on the legs, flicked behind square for one."
"good length ball angled across fourth stump, tries to punch through cover and is beaten."
