"short of a length with some late movement away outside off, rising up to waist height as Latham takes it"
"<b>just wide of square leg</b> as he pulls this early. It's short of a length and closer to the off stump this time, moving away again. He gets the hands through early and ends up dragging it aerially"
"short of a length, shape away outside off. Defended off the back foot. Only after being squared up a touch"
short of a length and angled into the corridor. Arches backwards to leave this
good length and late swing away from off stump after going wide of the crease. Roy plants the front leg forward to defend with the full face. Williamson misfields with a slide to his right at mid-off
good length and just outside off. Left alone. Neat carry through to the keeper
good length and shaped into the batsman who stands tall and defends with the full face
"<b>inside edge</b> beats fine leg to his right. Ugly slap on the up from Roy as this shapes in late from outside off. Angled bat, away from the body. Gets the result he was after"
"short of a length on middle stump, nudged to midwicket on the up"
"short of a length at off stump, defended off the back foot"
short of a length and slanted across off stump. Stands tall and punches nicely through the line to get it wide of mid-off. Williamson chases but can't parry this back in at the boundary after getting there
"full on leg stump, watchfully tapped to short midwicket"
full and slanted down leg side. Can't get bat on the flick
nicely timed. Good length on leg stump and he leans in and closes the face at the right time to nudge this through midwicket
"full on off stump, stands put in the crease and lifts this through the line, over the non-striker. Through it early and it ends up dragging it a touch, but safe enough in the end"
"length outside off, draws him on the front foot and gets him to deflect this off the inside half"
"good length outside off, a bit of wobble. Looks to drive away from the body and gets an inside edge onto pad"
full and a bit of wobble again. Anxiously pushed back down the pitch with the front leg out of the way
"back of a length on off stump, tapped to point off the back foot"
superb timing again. Boult goes full with the inswinger but Roy's stride is good. He pushes it between square leg and midwicket
good length and in the corridor. Dead-batted into the off side
"length on the pads, nudged on the up to midwicket"
"full and just outside off, drilled straight to mid-off on the up"
"short of a length just outside off, mistimed drive on the rise into the covers"
gets this through cover. Santner appears to have dived over it as Bairstow uses the angle across him to free his arms and punch this on the up
<b>appeal for lbw</b> but that's going over. And there's an inside edge. Roy walks at Southee and gets one that's angled in. Tucked up as he looks to flick
"handsome. Roy dispatches this through wide mid-off like he's having a knock against under-arm bowling in the nets. Full balance, through the line outside off on the front foot"
"short and wide outside off, slapped fiercely to third man's right"
"full on off stump, driven back at the bowler"
short of a length on the pads. Thuds into the thigh guard as he looks to flick
length and in at off stump. Driven uppishly towards mid-on. There's bounce in this pitch
"<b>New Zealand have had a horror start</b> in the field. Length ball outside off ends up to Latham's left off the inside edge. He shies at the non-striker's end where Bairstow is well in. No one's backing up and Williamson gives chase from mid-off. For the second time, he gets there but fails to drag it in after putting in the slide"
<b>tonks him in the box</b> and it's a collective 'ooooh' from the crowd. Roy walking down the pitch again. It's short of a length again and he misses as he tries to drive through midwicket
"good length on off stump, testing his mid-riff's mobility. Roy fully forward to defend solidly"
"<b>over square leg.</b> Superb from Roy. Seemed to climb with the ball that was dug in short. The hands were coming from underneath and adjusted well. He used his wrists late to place it too, all while holding his shape"
"full on middle stump, tapped past the bowler"
"length outside off, looks to drive through the covers and gets an inside edge"
"overpitched on leg stump, whipped to deep square leg's left"
"offcutter, back of a length and climbing up at off stump. Defended watchfully"
"full on middle stump, clipped straight to short midwicket"
offcutter is poorly disguised on this occasion and Roy brings out a clean swing to clear the long-off boundary. It's lobbed up full and it's picked early
"length on off stump, defended to mid-off on the front foot"
"good length on middle stump, punched on the up to long-on"
"<b>a review for lbw now.</b> Roy trapped on the back foot, Latham says it's pad first. Looks high on first look and appears to have pitched outside leg as well...Latham's right about the contact. It is pad first. But tracking confirms out suspicion. <b>That's pitching outside leg.</b> The original not-out decision stands."
"good length on middle stump, defended back to the bowler"
full and wide outside off. Chases to try and slice this. Beaten
"short of a length and slanted wide outside off. Shapes to cut, leaves"
"oh top skill. Roy is in it. Arches into the leg side and lifts this short ball over Latham, as casually as possible. That was climbing up at his chest"
full and swung down leg this time. He can't get bat on the flic
short and wide outside off. Reaches out for the cut and under-cuts it into the turf. Bairstow says no to the single
good length and in the corridor. Pushed to extra cover on the up
"short and wide outside off. Gets in line, slashes between point and short third man"
"full on off stump, driven firmly to mid-off"
"good length on leg stump, tickled to deep square with the angle"
good length and down leg side. No bat on the attempted flick
"full on leg stump, punched on the up to long-on"
"<b>evades mid-off</b> with the aerial punch. Length outside off and he was perhaps looking to go over mid-off. Long extension of the hands in front of the body and it dips in front of mid-off, but it's well to his right"
"tossed up on leg stump, met on the full and drilled to long-on"
"glorious shot inside-out. This is full on middle stump, he gets the front leg out of the way and lifts it cleanly over extra cover"
back of a length and pushed through at middle stump. Dropped in front of midwicket with soft hands
"good length on off stump, defended on the front foot"
<b>turn</b>. And some bounce. Short of a length and lifting away outside off. Roy looks to bludgeon it off the back foot with an angled bat and is beaten
"good length on off stump, driven on the up to long-off with the turn"
"good length on off stump, blocked on the front foot"
"<b>well taken!</b> Santner leaps forward and scoops one up at short fine. Roy will wait around, but that's a clean catch. He looks to pull and is early on it. It's a top-edge as the ball spins towards the off side. It hangs in front of the fielder who has picked it late, but adjusts superbly to get his hands under it with a forward pounce"
floated up at a length on off stump. Defended on the front foot
"tossed up outside off, driven straight to cover"
"good length on middle stump, defended on the front foot"
back of a length just outside off. Pushed to extra cover off the back foot
"good length on off stump, blocked on the front foot"
struck on the pad as this slides under his attempted flick. It's going down
"<b>outside edge</b> after he's drawn forward. This drifts, dips and turns. No slip now. Short third man pulls it back in"
"back of a length at off stump, pushed to cover off the back foot"
"full on off stump, driven to extra cover on the bounce"
"floated up at off stump, finds extra cover with the drive again"
"full outside off, mistimed drive on the front foot, straight to cover"
"tossed up on middle stump, driven to long-on"
"googly, on a length just outside off. Plants the front leg forward and defends close to the body"
"full on off stump, driven to long-off with the turn"
<b>googly not picked.</b> Dipping outside off and Root is looking to drive through cover on the up. Gets an inside edge to short fine
"length on off stump, solidly defended on the front foot"
"back of a length outside off, punched to sweeper cover off the back foot"
"length outside off, nudged to point's right for a quick single. Taylor swoops down on it but can't pick up"
"full outside off, can't beat extra cover with a drive to his right"
<b>manages to get it wide of extra cover</b> after stepping out and getting beaten in flight. He wasn't close to this at all as it landed outside off. Threw his hands at it hurriedly in the end and managed to slice it wide of mid-off
"length outside off, poked to extra cover off the front foot"
"back of a length on middle stump, pushed towards long-on off the back foot"
"tossed up wide outside off, reaches out to drive to cover, who's on the edge of the 30-yard circle."
"shortish on middle and leg - not that short, actually, but Root drags his back foot deep inside his crease, gets down on one knee, and places his pull-sweep perfectly in the gap at deep backward square leg"
"floated up outside off this time, sweeps hard and flat to deep square leg"
