the opener runs at Irfan and he begins with an off-side wide
"shortish and swerves back in, cramps the batsman on the cut, and beats the bat"
Livingstone advances and jabs the ball away towards mid-on
"<strong>Babar opens his PSL season with a cracking boundary</strong>. Short and wide outside off, he gets up on his toes and flays it away to the left of backward point for four"
"back of a length and slanting away outside off, run down to deep third man for one"
"Livingstone advances down the track, adjusts to a short ball outside off, and squeezes it away to point"
Livingstone jumps down the track again and works a single to the leg side to round out the over
"skidding down the leg side, Livingstone falls over the flick, <strong>leg-side wide</strong>"
"pushed through on middle and leg, patted down to long-on off the front foot"
"slower through the air and finishes around off, guided away towards point"
"straighter one on middle, knocked away to midwicket from the crease"
"much slower and dangled up on middle, nurdled to the leg side again"
"flatter and faster, on the pads, whipped away through square leg. <strong>Babar passes 3000 T20 runs</strong>"
"dragged down on middle, pulled away off the back foot to deep midwicket"
Babar shuffles across off and whips a full ball to deep midwicket
"on a length and outside off, tip and run to point"
"short and outside off, slower short ball, shovel-pulled away to deep square leg"
"shortish and around off, cramps the batsman for room, but he manages to chop down to third man"
"length ball angling in on middle, Livingstone clears his front leg and muscles it away wide of midwicket for four"
"slower cutter outside off, worked away towards midwicket"
"pushed through on middle and leg, slog-swept away to deep midwicket"
"slid through outside off, down the track and forced through extra-cover. There's a direct hit at the bowler's end, but no harm done for Karachi"
"drifting down the leg side, tickled away fine of short fine leg"
"yorker on off, squeezed down back to the bowler"
"non-turner on the leg stump, pretty full, Livingstone drops down to one knee and smites a slog-sweep over square leg"
"flatter and outside off, bunted away to the leg side off the back foot for a double"
back of a length and angling into a back-foot flick to the right of midwicket
"Livingstone jumps down the track and yorks himself, ends up jamming the ball to cover"
"hip-high slower ball outside off, possibly an offcutter, short-armed away to deep midwicket"
"back of a length and skids back in, Babar chops an inside edge that wanders away past the leg stump. Another <strong>cutter from Junaid</strong>"
Babar shuffles across and picks one away one past short fine leg for four. Lovely wristwork
"on a length and outside off, whisked away towards point"
"short and wide outside off, flat-batted down to mid-off"
"in-between length from Irfan, angling in and straightening away past the big drive of Babar"
"back of a length and outside off, the ball isn't coming onto the bat, stabbed to the covers"
"back of a length and outside off, forced away to the left of extra-cover"
"pitched up and outside off, Babar edges a drive through vacant slip to the third-man boundary"
"pitched up and outside off, another drive, and an outside edge streaks down to third man"
"slides on outside off, full, driven through the line to sweeper cover off the front foot"
"arm ball outside off, not short enough for the cut, skids past the bat"
"Livingstone leans back, slides one off the face to short third man"
Babar jumps down the track and whips it away between deep midwicket and wide long-on. He was looking for two but gets four in the end
"full and straight, driven through midwicket"
"Livingstone dashes down the track, reaches the pitch of a full ball and belts it away to the long-on boundary"
"back of a length and just a shade outside off, whipped away to deep square"
"Clattered over the midwicket boundary. Livingstone shimmies out and splices it away, enough to find the fence on the leg side"
"really full on off, down the track and driven down to long-on"
"dug in short on middle, slower off the pitch, swatted away between deep midwicket and wide long-on for another boundary"
"banged in short on middle, hooked over square leg. Spliced away"
"slower cutter, knocked away into the leg side"
"skidder, on off, chopped away off the back foot to point"
"on the pads, deflected away fine of short fine leg"
uses his feet and punches a single down to long-on
"pushed through outside off and breaks away further, chopped to backward point"
down the track and slogged to deep midwicket off the inside half of the bat
"googly, off the pad and rolls to the leg side, it would have missed leg stump"
"full on middle, driven down to long-on"
"short on off, chopped away to backward point"
"on a length on middle, Livingstone surges down the track and sends the white ball sailing over the long-on boundary"
"back of a length and outside off, muscled away to the left of deep midwicket"
"short and outside off, punched away to wide long-on"
"pitched up and outside off, driven straight of long-on"
"dropped short and outside off, lashed away to sweeper cover off the back foot"
"speared down the leg side, Afridi saw Livingstone jumping down the track, deflected away fine of short fine leg for four. Seam-up from Afridi"
"What a way to bring up a fifty, Livingstone! He launches it over the sightscreen. Down the track, reaches the pitch and unleashes a smooth swing. <strong>Not many can run at Afridi</strong>"
"arm ball on middle, chopped away to the off side"
"Livingstone dares to use his feet, again, shorter and outside off, squeezed towards the covers"
"googly, uses his feet and pushes it down to long-on. Afridi pats Livingstone on the back. Nice to see that"
"Livingstone ventures down the track and yorks himself, drawing an lbw appeal from Ilyas. Might have hit the moving batsman outside the line."
"yorker on middle, well bowled, jammed to the covers"
"on a length and outside off, Babar aims to run down to third man and misses"
"back of a length on middle, punched down to long-on"
"full-toss on middle, slapped back at the bowler, bursts through hands of Ilyas. <strong>Half-chance missed</strong>"
rides the bounce of this short ball outside off and guides it down to deep third man
"on a length and outside off, punchily driven to the left of mid-off"
knocked into the leg side and <strong>Babar brings up a fifty off 39 balls</strong>
<strong>Blasted down the ground</strong>. Livingstone wears a sheepish little smile after putting his partner in the firing line. Drilled away and Babar ducks out of the way
"on a length and outside off, carved away to deep point"
"back of a length and angling across off, punched on the up to extra-cover"
"looks like a slower ball on middle, down the track and chipped over Irfan"
"back of a length and outside off, run down to third man"
"pitched up and outside off, driven down to long-on"
swatted down to long-on
pretty full and shoved down the leg side for a wide
"short and wide outside off, slapped to sweeper cover"
"One-handed six from Livingstone, Arthur loves it in the dug out. Very full on off, seam-up, Livingstone yanks the bottom hand off the bat and lifts it over the long-off boundary"
"slower short ball outside off, Livingstone sizes it up and smokes it over the midwicket boundary. Bam!"
"hip-high short ball, Babar gets inside the line and swats it away to the right of deep square leg. Three boundaries in a row"
"back of a length and angling in on middle, tapped down to long-on"
"really full on middle, Livingstone gets underneath the length and just toe-ends it away. Enough to clear the long-on boundary"
"wide yorker, squeezed away to the covers"
"wide yorker, Babar can't run it down to third man"
"slower short ball outside off, pulled away to deep midwicket"
"tossed up and angling away outside off, carved up and over extra-cover. Oh, man down. Babar is down.<strong> Is he suffering from cramps?</strong>"
"floated up outside off, full, Babar ventures down the track and thumps it straight over Green's head. <strong>This is now the highest stand for any wicket in the PSL</strong>"
"fired outside off, slapped through extra-cover"
off-side wide
"tossed up on middle, Livingstone ventures a slog-sweep. He gets more height as opposed to distance. Holes out to wide long-on. It was good while it lasted. In fact, it was fantastic"
"flat and wide outside off, speared away to deep point"
"on the pads, picked away to deep square leg"
"shortish and outside off, dragged away to wide long-on"
"wide yorker, jammed to short third man"
"full on the stumps, squeezed down to wide long-on. They hare back for the second"
"yorker on middle, hit down to long-on"
Russell slips in a slower short ball outside off. Ingram reads the change-up but swings it straight into the lap of deep square leg
"down the track, Russell pulls his length back and bowls a slower ball that is flat-batted away to wide long-on"
"very full and outside off, shovelled to wide long-on"
"flighted on middle, drilled down to long-off"
"pushed through outside off, forced down to long-on"
"full-toss on middle, down the track and hit down to long-off"
"Babar picks out deep midwicket. Looped up on middle, the batsman leans back and tugs it straight into the lap of Masood"
"pushed through on the leg stump, Green hits a hard length and has Imad Wasim holing out to long-on. What an over from Green. Just four runs and two wickets off it"
"back of a length and skids back in off the pitch, played back to the bowler"
"yorker on middle, squeezed to point"
"really full on middle and leg, forced down to long-on"
"back of a length and outside off, drags it back to the bowler off the toe end"
"full and wide outside off, reaches out for the ball and slices it away to sweeper cover for a double"
"leg-stump yorker, inside-edged away behind square on the leg side"
"Junaid Khan rolls his fingers across a cutter, short and outside off. Raza had no clue, stepping out, swinging and missing. The keeper tracks down the ball and disturbs the stumps to catch Raza short. Well short"
"Rizwan jumps across off and searches for a lap-sweep, the bowler follows him and goes shorter to defeat the batsman. They've crossed over for a leg bye, though"
"near yorker on off, jammed down to long-on"
"full-toss angling away outside off, Rizwan reaches out for the ball and slices it to Imad Wasim to deep third man. Good catch in the outfield, Hammad runs in and completes the catch diving forward"
"slower ball outside off, tugged away to deep square leg for one. Sohail Khan will face the last ball of the innings"
"<strong>Sohail finishes the innings with a four</strong>. He stands tall, meets a length ball outside off, possibly a slower one, and swings it baseball style down the ground"
"back of a length and outside off, no turn, worked off the back foot through midwicket"
"tossed up on the pads, knocked into the leg side again"
"flatter and fired outside off, jabbed away to long-on"
"back of a length on off, played back to the bowler from the crease"
pushed through outside off and <strong>drifts away past the outside edge</strong>
"pushed through and attacking the stumps again, played back to the bowler"
"short and wide outside off, past the tramline, off-side wide from Amir"
"back of a length and bending away outside off, Masood wafts and is beaten on the outside edge"
"on a length and snakes away against the angle again, keeps low, and sneaks under the cut"
back of a length and angling into a leg-side flick to deep midwicket
"Moores dances down the track, swings down the wrong line, and is beaten outside off"
"Amir draws a leading edge and Ingram throws himself forward from extra-cover to pluck it inches from the ground. Wonderful catch. Credit to Amir, too, for venturing a cutter that sticks in the pitch. Moores eyes up the leg side and winds up chipping a catch. That it was a catch was down to Ingram's athletic intervention"
"on a length on middle, driven to mid-on's right"
"shorter and outside off, leans back and slashes it to point"
whipped from off stump to wide long-on off the front foot
"full on middle, worked away in front of square on the leg side"
"<strong>arm ball</strong>, snakes in to hit the pad, but this is clearly heading down the leg side"
"nice and full on off, no room to free the arms, jabbed back to Imad"
"tossed on middle, eased down to long-on for one"
"<strong>slower cutter,</strong> tickled away on the bounce to the keeper"
"back of a length on middle, Evans loosens his grip and secures a single to cover"
"just short of a good length and outside off, worked away to the midwicket region"
"back of a length and angling across off, seam-up ball, a back-foot punch to extra-cover ensues"
