"pitched up - too full - attached with width outside off, Kamran leans into it and square-drives it. The ball skips away to the boundary"
"back-to-back boundaries! Good length and slanting away outside off, Kamran employs finesse. Opens the bat-face and glides it past lone slip"
"full inswinger from Amir, Kamran, who is hanging back, squirts an inside edge onto the pad. The ball rolls away square on the leg side"
"back of a length, this simply goes away outside off with the angle. Slashed down to deep third man for one"
"length and outside off, 144.2ks, jabbed towards backward point"
"skiddy back-of-a-length delivery around off, Malan is pinned on the backfoot as he dabs a single down to third man"
"pushed through and slides away outside off, past the outside edge"
"fired outside off at nearly 94ks, Malan presses forward and creams a drive in the gap at the covers. The ball is coming onto the bat nicely"
"tossed up, played back to the bowler"
"back of a length and rolls on outside off, Malan stands tall and punches to mid-off"
"Wasim errs short and outside off, Malan belts it away between the covers and point for the second boundary of the over"
quick fizzer on middle and leg - no room - blocked back to Wasim
"<b>Kamran weathers an lbw appeal</b>. Back of a length, skids on quickly and raps the back thigh, well above the knee-roll. Kamran plays across the line and misses"
"full awayswinger outside off, Kamran spars at it and watches it scoot past the outside edge. That should keep the slip fielder interested"
"length and outside off, pushed to point"
"wide of the crease, this length ball, though, largely holds its line outside off. Kamran has a leaden-footed flash and does not connect"
"wide of the crease, full and angled in, jammed out towards midwicket via an inside edge"
"here comes Malan. Down the track, frees his arms and nails this very full ball - Malan manufactured the length - up and over the covers. Hit flat and hard. Nearly went all the way"
"hip-high short ball outside off, Kamran attempts a pull. Has to settle with an inside edge that trickles behind. Sanga dives full-length to his left to stop that. The 39-year old proves that he still has it, again"
"good length and angling away outside off, beats the outside edge"
"good length ball on off, Kamran aims a loft. He only flaps it tamely over mid-on"
"very full on the stumps, bunted to mid-on"
"pretty full, tucks 'em up for room. Worked to midwicket"
"length ball on off stump, Kamran clears his front leg, has a swing at it but can't beat mid-on to his left"
picked off the hips square through the leg side
"wide of the crease, angled in short on middle, Kamran short-arms it away to deep square leg. Mis-hit"
"dragged short and outside off, not short enough to trouble Malan. He gets on top of the ball and thumps a pull over midwicket. The man in the deep was too square. He simply watched the ball scoot to the boundary"
follows the short one with a full ball on the leg stump. Defended
"cheeky little slower one on middle and leg, blocked back to the bowler"
"attempts another slower one, the line is wrong, drifting down leg. Left alone. Leg-side wide"
"banged in short and just outside off, not too much room for Malan. He wildly throws his bat at the ball and only connects with thin air"
"just clears the outstretched hand of mid-off. Pretty full on off, right in the slot, Kamran clears his front leg and has a go at it. Gets away"
"follows it with a slower ball on middle and off, Kamran waits for the ball to arrive and then dinks it into the vacant spaces at cover"
"full and veering into the pads, Malan picks it up and dumps the ball over midwicket. A whirl of the wrists to put that away for a six"
"full and outside off, stays in the crease and angles a single down to deep third man"
"pitched up and outside off, stroked to the covers. Malan strays out of his crease at the non-striker's end. He aims for a risky single. Kamran isn't interested. A little mix-up but no harm done for Peshwar"
"hip-high short ball on the leg stump, with fine leg inside the circle that might have disappeared. Usman escapes punishment. Glanced straight to short fine leg"
"Karan shows his ace early. Skips out, Imad pushes it wide outside off. Hint of turn. Sliced in the air, does not carry to sweeper cover"
"slides on middle, no turn, Malan attempts a scoop, flicks the pad and runs away fine on the off side"
"pushed through on middle, played back to the bowler"
"Kamran backs away outside leg, takes this full one from outside off. Flayed away to deep cover"
"skids on outside off, driven with a slicing finish. Babar at extra cover throws himself to his left and stops the ball"
"darted on the leg stump, pushed past Imad's left"
"low full-toss on middle and leg, whipped away to deep midwicket"
"fractionally short and outside off, chopped to cover"
"non-turning ball on the leg stump, shovelled away to deep square leg"
"shortish and outside off, slashes a cut to point"
"fetch that! Kamran gallops down the track, does not get close to the pitch. But the forearms generate all the power. Launched straight over the bowler's head"
"full-toss outside off, Kamran, having stepped away outside leg, tonks it over the covers for back-to-back sixes"
"Malan uses his feet, down the track and forces a short ball to long-off"
