"length ball in the channel, a bit of a wobble in the air, left alone by Rahul"
"length ball, coming in with the angle, Rahul was looking to play on the leg side, gets hit on the pads, a mild appeal for lbw but was a bit too high. A forward short leg is in position"
"in two minds there Rahul, length ball outside off, Rahul was looking to play initially, tries to take his bat out in the end, ends up dabbing towards slips"
"length ball outside off once again, stays beside the line and defends it on on the off side"
"length ball, much closer to the stumps, stays inside the crease and defends"
"a touch fuller this time, just outside off, Rahul comes forward to defend but the ball jags in, takes an inside edge on to the pads"
"length ball, holds it's line and Mayank shoulders his arms"
"back of a length, just outside off, and he rides the bounce to block off the back foot"
"fuller, and he rocks back to defend with the bat's face open"
"<B>searing</b> from Gabriel, back of a length just outside off, and he does well to sway out of the ball's way"
"fuller again, and he prods forward to block towards cover, and <B>off they go for India's first run</b>"
"<b>just past his outside edge!</b> Gabriel asking the right questions. Length ball, moving inwards sharply, and Rahul's too late to come forward and defend. Ball whizzes past his bat"
"full, just outside off, and he <B>pushes forward</b> to drive past the bowler's left! Brathwaite gives the ball a mighty chase, and parries it back too, but it looks like he was touching the boundary"
"back of a length, just outside off, and he lets this go through to the keeper"
"back of a length, just outside off, and he shoulders his arms once more"
"full, coming into his pads, and worked off his pads to the leg side. Can't pierce the gap though - straight to midwicket"
"full, just outside off, but the ball <B>holds it's line</b> while Mayank was expecting it to come inwards. Big gap between bat and ball, and straight into the keeper's gloves"
"length ball, just outside off, and this time the ball seams inwards as if it's hit a crack on the deck. Mayank isn't near the ball and he looks at the pitch to investigate where that pitched"
"full, just outside off, and Rahul gets forward with a big stride but shoulders his arms instead"
"back of a length, just outside off, and he rides the bounce to block off the back foot"
"back of a length, just outside off, and he covers his stumps before shouldering his arms"
"back of a length, but way too wide outside off stump. Left alone, happily"
"back of a length, outside off stump,  and he covers his stumps before shouldering once more"
"full, but wide outside off, and he's happy to let that go into the keeper's gloves"
"<B>he's fishing!</b> Mayank tries to meet this length ball with the bat's open face, but slightly indecisive. Ball goes past his outside edge"
"<B>big appeal for caught behind! But not given by the umpire. WI review!</b> The big question is whether that was off the bat or pad. It was a full ball on off stump that Mayank tried to meet on the front foot. But the ball held its line, and therefore found Mayank's outside edge. Pad nowhere near the bat, this is clear as daylight. <b>Kettleborough changes his decision</b> and that's DRS 1, Umpire 0"
"<B>hits his shoulder!</b> Pujara winces marginally before saying he's okay. Back of a length, on off and angling in. Pujara took his eyes off the ball and didn't duck either"
"fuller, on off stump, and defended off the front foot. Back to the bowler"
"overpitched on middle, and <B>clipped</b> off his toes past midwicket. Two to get off the mark"
"<B>and Pujara goes too!</b> Length ball outside off, and once again the marginal movement - away from the batsman after hitting the deck - has found his outside edge. Tried to fend this off the front foot, with the bat facing downwards, but the ball took a feather edge off his blade and that's bye bye, Pujara"
"full, just outside off, and he shoulders his arms"
"<b>shoveled</b> off the front foot through the covers. Fielder gives it a chase to retrieve the ball, but can't stop KL Rahul from getting his first runs of the match"
"full, on off, and he tries to drive through mid-on, but the bat's face turns in his hand. Spliced to midwicket"
"full, outside off, and Kohli opens the bat's face to drive. Finds the gap behind point and that's Virat off the mark too"
"back of a length outside off, and seaming inwards. Kohli covers his stumps and then shoulders his arms"
"back of a length, outside off but seaming inwards again. Kohli shoulders his arms once again, but this time the ball raps his thigh guard. Too high so nobody bothers appealing"
"fullish, just outside off. He prods forward to defend with soft hands"
"back of a length, but the ball doesn't bounce as much. Rahul defends off the back foot, but meets it near his abs"
"length ball outside off, and Rahul walks across before shouldering his arms. Went so wide across that he ended up exposing two stumps"
"full outside off, and he plays a check-drive into the off side for a quick run"
"full, on off stump, and driven to mid-on"
"full, just outside off, and once again tapped into the gap. Kohli pushes Rahul for the swift run, and completely comfortably in the end"
"back of a length, too wide outside off stump and Kohli doesn't bother playing at it"
"full, just outside off, and he drives this beautifully past the umpire! Mid-on chases it, but in vain"
"full, outside off stump and Kohli pushes forward before shouldering his arms"
"<B>fiery!</b> Back of a length, on off stump, and rising quickly. Kohli tiptoes to defend, but his bat is swiftly near his face when the ball passes it. Nearly clipped his gloves"
"<b>falls short of first slip</b> but this was off his body anyway. Kohli tried to pull this short ball but it was a slower delivery, eventually hitting his shoulder. Bounces just in front of the slip fielder before rolling into the fine-leg boundary. <B>No ball too</b>"
"<b>Kohli is out of here!</b> Back of a length, landing outside off but angling in. Kohli tiptoes to cut it over point, but it flies off his blade too fine. The gully fielder dives to his right to take the catch, and it's the debutant Brooks who is under it! Game onnn!"
"length ball outside off, but the bowler's natural angle brings it in. Hits Rahane's thigh-guard as he tries to shoulder his arms, but once again too high for an appeal"
"full, just outside off, and he prods forward to defend"
"length ball on middle stump, but goes straight through instead of seaming in. Nearly squared the batsman up, but he manages to eventually defend off the back foot"
"full, just outside off, and he tries to meet the ball on the front foot. Extra bounce off the pitch, and that's <B>hit Rahul's right elbow!</b>"
"full, on off stump, and Rahul's feet are glued to the crease. Defends, but the ball flies off his blade to third man"
"full, on leg stump and angling further down the leg side. Rahane, though, did try to flick it behind square but couldn't make any connection"
"full, just outside off, and he takes a few steps forward to negate the angle. Defends to short cover"
"full, outside off, and he tries to play the cover drive. But the ball takes the bat's inside edge and flies past midwicket instead. Streaky"
"<B>short</b> and that forces Rahul to duck. Lands on off, but the batsman did well to spot the length early"
"back of a length on middle, and Rahul tiptoes to flick towards the leg side. Hits the bat's handle as he meets it with one hand. Has to be careful with short-leg lurking"
"back of a length, but nowhere near the batsman. Wide outside off, and left alone"
"fullish, outside off but seaming inwards. Rahul covers his stumps before shouldering his arms"
