good length ball punched off the back foot to long on.
"wide sprayed way down leg, lucky not to go for five as Alikhil slightly deflects it and stopped in the end by fine leg in the ring."
"<strong>sloppy from Rahmat Shah.</strong> Short and wide on sixth stump, poor ball but should've been stopped for a dot. Instead Rahmat with a matador effort at point pulling his red cape back while bending right and it slips through to the rope."
"googly lands short and spins away from Liton, tapped to point."
"good length ball on the stumps, clipped through square leg."
"fullish length on off stump, defended on the front foot and the ball square to forward short leg."
good length ball spins sharply into Tamim with some extra bounce. Defended with one hand coming off the bat.
"good length ball on fifth stump, left alone as Liton shoulders arms."
"good length ball on middle stump, defended to midwicket."
"<strong>like butter!</strong> Short of a length ball on fourth stump, leans back to push this behind point. The ball melts off the bat as Rashid chases in vain. Mujeeb with a slide into the boundary rope for dramatic purposes."
"full on leg stump, chipped uppishly but just short of mid-on."
"good length ball on fifth stump, Liton chases it with no footwork, ball keeps a touch low to 'oohs' from the crowd."
"short of a length on off stump, guided with soft hands off the back foot to third man."
"full on off, defended on the front foot."
"full on off again, stock off-spinner, defended."
good length ball with a touch more flight at 84 kph/52 mph punched to long-on.
"full on off, defended back down the pitch."
"short of a length on off stump, Tamim goes back to defend as it spin in, inside edge goes through square leg for a run."
"short on fifth stump and spinning in, Liton goes back and clips it with ease through to long-on."
"overpitched on off stump, whipped through midwicket, but sluggish outfield slows up the ball 10 yards short of the rope."
"good length ball on off stump, defended on the back foot back to Dawlat."
"fullish lengh swinging in from off stump line to middle, tentative push forward and the ball flies toward mid-on off one bounce."
"short of a length on off stump, prodded toward cover. Tamim thought about a run before shuffling back to his crease and now starts gesturing to Liton at the non-striker's end so they're on the same page."
<strong>nearly!</strong> Tamim has had trouble keeping the ball on the ground early in his innings. Another drive uppishly toward mid-off but Asghar Afghan is lead-footed and more or less falls over trying to flail his arms at it. Never came close to getting a hand to it whereas a more agile fielder might have created a chance.
"<b>beaten!</b> Dawlat pitches this full on fourth stump, it swings away to beat Tamim's attempted drive."
"good length ball, spinning away carom ball, defended."
"<strong>full on off, drives in the air to short cover and Afghanistan are claiming a catch!</strong> Watching live I thought it definitely short hopped and <strong>Liton is standing his ground</strong>. Hashmatullah Shahidi is the fielder. It's 50/50. He lunged forward and the ball lodged in his right hand with his left hand coming off. His head was up high, didn't look at the ball going in to protect his face so he may genuinely not have known if it carried or not. And the third umpire has decided it is <strong>OUT!</strong> Third umpire is Aleem Dar. The soft signal on field was out and he said he didn't see anything conclusive to overturn on the mic'd up conversation. Those kinds of catches are regularly overturned. It'll generate plenty of debate for sure. It looked awkward at any rate as both hands were not under the ball, just the right one."
"full on the stumps, driven to long-on."
goes back to a short ball and flicks to midwicket.
"full on off, defended to midwicket."
"short on the stumps, clipped to deep midwicket."
"short on the stumps, clipped to deep square leg."
"short on off, pushed to wide long-off."
"good length ball, defended to square leg."
"good length ball on fourth stump, defended to point."
"good length ball on leg stump, clipped behind square leg."
"full on off, driven square to backward point."
"full on leg stump, flicked to deep square leg, thought about a second but Rahmat denies it running in from the deep."
"good length ball on off, goes back to clip to midwicket."
"short on off, tapped between cover and point, they set off for a dicey run taking on Shinwari, another weak fielder who throws off balance and drags Alikhil well wide of the stumps."
"full on the stumps, tapped gently into midwicket."
"full on fourth stump, clipped to midwicket."
"short on off, spinning in, fought off to cover."
"flighted on a good length on off, goes back to clip behind square."
"good length ball angled in, defended to cover off the back foot."
"fullish length on off stump sliding into middle, punched off the back foot to cover."
"flighted more at 49 mph/78 kph on the stumps, driven to long-off."
good length ball clipped through the leg side.
"good length sliding down leg, Shakib goes back to whip off his pads but is late, it deflects off the straps to short fine leg."
good length ball punched to midwicket.
"quicker ball darted in flat on leg stump, clipped straight to square leg."
"flighted on the stumps, clipped to midwicket."
"fullish length on fourth stump, defended on the front foot."
"slightly short on the stumps, pulled to Shahidi into the ground at midwicket."
"full and angled down leg, Alikhil prevents five wides."
"good length ball on middle, punched off the back foot to midwicket."
"full on middle, driven to wide long-off."
"full on off, reaches forward and pushes this to midwicket."
"good length, goes back to push this just wide of Shinwari diving at midwicket, cut off at mid-on."
"<strong>purring shot. Meow! </strong> Short of a length on off, Shakib rocks back to give this ball a scratch behind the ears through backward point. Roars from the Bangladesh fans."
"good length ball on middle, pushed to long-off."
"full on off, nudged forward to Nabi's right, dives to knock it down but not cleanly and they take off for a run. Shy at the stumps from extra cover charging in and misses with no backup, leads to an overthrow."
"full and tapped softly to mid-off, Naib way back on the ring and can't charge in to deny it."
