"back of a length and slanting away outside off with the angle from over the wicket, punchily played to backward point"
"pitched further up and angling across off, Denly latches onto the width and carves it away square of backward point"
"back of a length, pitches outside leg, and swings to catch the thigh pad and roll away behind square"
"half-volley angling away outside off, the batsman leans into it and caresses the ball through extra-cover. So easy on the eye..."
"full and outside off, sliced out to point"
"back of a length and angling down the leg side for a wide. Re-set the radar, James"
"Faulkner hits a hard length outside off, draws a loose poke from the batsman and <strong>goes past the outside edge</strong>"
"back of a length and slanting in from outside off, inside-edged onto the pad"
"back of a length and holds its line outside off, carved away to the right of deep third man"
"bouncer, beats the hook, and thuds into the gloves of Wade"
"on a length and outside off, pushes away from the body and squirts an inside edge past leg stump"
"short on middle, Denly dares to step down the track. He adjusts to the slower ball and muscles it to the wide long-on fence"
"short and zips back in, chopped away to point"
"full and straight, clipped away to midwicket"
"short and spins in from outside off, punched through the line to extra-cover"
"Botha strikes with his third ball: a non-turner. This is the arm ball, Botha hits a hard length and top of middle stump. Denly ventures outside leg and aims a punch through extra-cover. He does not make contact. Botha, though, hits the stumps and celebrates"
"darted full on the pads, knocked down to long-on off the front foot"
"short and slides in towards the top of off, pushed back to Botha off the back foot"
"darted on middle, stabbed back to Botha to round out the over"
"back of a length and angling across off, 142ks, guided to point"
"hip-high short ball on leg stump, Hughes swivels on the back foot and pulls it away over square leg for four. The man in the deep is rather finer"
"overpitched and outside off, drilled through the line but straight to extra-cover"
"very full and swinging into the pads, deflected away square through the leg side"
"full and outside off, driven on the up to mid-off"
"bouncer, zipping away and thudding into the gloves of the keeper, wide called"
"shorter and angling away outside off, slapped away to sweeper cover"
"an appeal for caught behind, and the finger goes up. Arm ball once again from Botha, Avendano  backs away outside leg and feathers it behind. Little deflection and Wade snaps it up.<strong> Two wickets in five balls for Botha</strong>"
Henriques jumps across off and laps a length ball away to the fine-leg boundary. Henriques silences the crowd with a first-ball four
"full and breaks in, off the inside half and rolls away square through the leg side"
"on a length and outside off, Henriques props forward and taps to the covers"
"full and straight, driven off the front foot to long-on"
"darted short on middle, punched back to the bowler"
"pitched up and outside off, driven firmly to short cover's right and mid-off's left"
"back of a length and on the pads, tickled away to fine leg"
"back of a length and outside off, he presses forward and drives through the gap at covers"
"back of a length and straightens outside off, prodded away to third man boundary"
back of a length and <strong>kicks up to beat the outside edge</strong> and thud into the gloves of Wade
"on a length and outside off, stabs an outside edge fine of deep third man. Sliding save at the edge of the boundary"
"back of a length and outside off, rides the bounce and steers it down to deep third man"
"full and wide, squeezed to point"
"on a length and just a shade outside off, punched up to mid-off"
punched on the up but can't beat short extra-cover
"back of a length and skids back in at off, catches the batsman in a tangle, inside-edged onto the pad"
"full and outside off, thrashed straight to extra-cover, again"
"pushed through outside off, gets forward and drives to long-off"
"full and skids on off, Rose draws a leading edge to point as the batsman aims to force the pace"
"dangled up wider, Henriques goes after it and nearly chops it back on"
"yorker on off, jabbed away to the left of Rose"
"a bit too full on middle, right in Hughes' swinging arc. He drops down to one knee and mows the ball over midwicket"
"whipped from outside off to cow corner, this time along the ground"
"hip-high short ball on middle, Hughes swivels on the back foot and nails a pull to the square leg boundary"
"pitched up and outside off, driven straight of long-on off the front foot"
"short and holds its line outside off, opens the face and punches to point"
"full on the stumps, driven down to long-on"
"straying into the hips, tickled to short fine leg"
"full and outside off, possible a slower ball, whipped away to deep midwicket"
"full and turns in, skewed off the inside half to deep midwicket"
"short and skids on outside off, punched to sweeper off the back foot"
Hughes eyes up the midwicket boundary with a slog-sweep and only gets an inside edge onto the back pad
"tossed outside off, driven through the line to sweeper"
"flatter and shorter outside off, knocked into the leg side for one"
Henriques goes back and punches this shortish ball from outside off to long-off
"skids on outside off, patted to the covers for one"
"really full on middle, down the track and driven fluently to long-on for one"
"tossed outside off, Henriques goes low and <strong>launches it into the top tier</strong>. Monster slog-sweep with the break"
"darted full and wide outside off, flashed to the right of sweeper cover"
"fired on the pads, clipped to deep midwicket"
"short and slides on outside off, punched back"
"flighted and outside off, Hughes likes the flight and clouts it into the stands beyond midwicket. Another rasping slog-sweep"
"shorter and breaks away outside off, forced off the back foot to cover"
"very full and outside off, tapped down to long-off"
"yorker on off, jammed down to long-on"
"Henriques swings to the leg side but does not make contact with the turning ball. This was a wrong'un. Wade fumbles but swoops to his right, collects the ball and throws it to Short, who catches Henriques short at the bowler's end. Snazzy back-hand from Short. So much risk for a bye and Henriques is gone"
tucked around the corner
"just short of a good length and outside off, punched away to deep point"
"shortish and outside off, guided to point. Silk risks a single. <strong>A direct hit could have had him</strong>"
"shortish and outside off, punched up to sweeper cover"
"looks like a slower ball outside off, cracked to sweeper cover"
"Top-edge drops into no-man's land. McDermott sprints from deep square leg but the ball lands in front of his dive. Banged in short and outside off, Hughes miscues a hook.<strong> Hughes raises his fifty</strong>"
"short and wide, slashed away behind point. The ball thuds into the boundary"
"tossed outside off, driven to sweeper cover off the front foot"
"full-toss outside off, lofted away to long-on"
"short and skidding into the thigh pad, clipped away to the leg side off the back foot"
glanced to short fine leg
backs away and digs out a yorker through cover
"dropped short and wide outside off, slapped away wide of sweeper cover for four"
flat-batted from outside off to sweeper
backs away and pushes a full ball back to Botha
"short and outside off, <strong>front-of-the-hand slider</strong>, slashed to sweeper cover. The bails light up. Wade had disturbed it and not the batsman"
swatted away to deep midwicket
"tossed outside off, down the track and drilled to sweeper cover"
"tossed on middle, Hughes can't clear deep midwicket. He holes out to McDermott. Hughes swings, but does not get all of it. Crucial wicket for Sixers"
"back of a length and outside off, forced to midwicket"
"back of a length and outside off, punched away for one"
"short and outside off, slapped to short cover"
"<strong>back-of-the-hand variety from Faulkner.</strong> Shorter and slower outside off, slapped in the air. Bailey at short cover plucks out a smart catch"
"on a length and outside off, clipped to deep square leg"
"full-toss outside off, smeared away to the left of short cover"
"nice and full on middle, backs away and drives to the left of long-off"
"full-toss on middle and leg, muscled away to the left of deep midwicket for four"
"full and outside off, whipped to midwicket"
"bouncer, flies through to the keeper, as Curran yanks his body out of the way"
"Curran backs away outside leg, Archer follows him with a short ball. Curran arches his back and ramps it away to the right of the keeper. Archer has a wry smile on his face"
"full and outside off, Curran goes after it and slices a thick outside edge to deep third man"
"Meredith looks for the yorker, comes out as a full-toss, which is belted away over the ducking bowler for four. He tumbles in his followthrough but that was<strong> Shastri's tracer bullet</strong>"
"wide yorker, well executed by Meredith, beats Curran's swing"
"full and wide outside off, scythed away to sweeper cover"
"on a length and outside off, hacked away to long-on"
"full-toss, inside-edged onto the pad. They chance a single. Meredith swoops in on the ball from his followthrough and under-arms it onto the stumps. Phillipe himself dishes in a dive and makes his crease. Good cricket all around"
Phillipe jumps across off and drags a full ball from outside off to long-on
"too full on leg stump, Archer doesn't get the yorker right. Phillipe doesn't get enough power. He holes out to long-on and gives Archer his first wicket of the evening"
"short on the hips, short-armed away behind square on the leg side"
"full and outside off, hit to mid-off for one"
"yorker on off and middle, squeezed down the ground past the bowler. Doolan runs from long-on towards long-off, slides, and lets the ball roll away to the boundary"
"slower, short ball on off, miscues a pull to Archer"
Curran shuffles across off but does not make contact with an adventurous ramp over the keeper's head
"<strong>Caught in the crowd</strong>! Short and outside off, muscled away into the grassbanks over square leg"
"<strong>Caught in the outfield now</strong>. Slower ball, 110ks, of the back of the hand variety. Swings and holes out to deep midwicket does Abbott"
"full and wide outside off, sliced on the bounce to deep third man"
"full and right in the slot, Curran swipes it straight into the lap of deep midwicket. Another change-up, another wicket"
"short and outside off, stays beside the line and smites it up and over extra-cover"
"slower one outside off, outside-edged to third man"
"short and outside off, jabbed to long-on for one"
"short on the hips, swivels on the back foot and swats it fiercely to the square leg boundary. Boom"
"slider on off, cramps the batsman for room, chopped to point"
"back of a length on middle, shovelled to deep midwicket off the back foot"
"non-turner outside off, presses forward and taps to cover"
"on a length and outside off, played back to the bowler"
"short and outside off, forced between point and covers for four. Easy pickings for Short"
"short and outside off, slashed behind point"
"back of a length, swings away against the angle. Beats Wade's swipe to leg"
"full on middle and leg, nudged to mid-on"
on a length and <strong>skirts past the outside edge</strong>
"back of a length on off, punched back"
Wade shifts outside leg and pings it inside-out over extra-cover
"shuffles outside leg, the bowler follows him with a short ball that is pulled away to square leg boundary"
moves outside leg and lifts a length ball to long-on
skids on to hit the pad
"tossed on middle, drilled straight of mid-off for four - third of the over"
"full on middle, speared down to long-on for one"
"pitched up and outside off, drilled back"
guided to third man
"slower short ball on middle, pulled to deep midwicket"
"bouncer, too high, wide"
"<strong>Top-edged to deep third man</strong>. Curran hits a hard length outside off. Wade dares to pull off the front foot. He skies it to SOK, who keeps his cool, dives to his right and snaffles it"
"back of a length and outside off, off the inside half to square leg"
angling in from over the wicket and s<strong>traightens away past the outside edge</strong>
"full and straight, driven away between midwicket and mid-on"
back of a length and slanting away past outside edge
chipped in the air... one bounce to mid-on
"short, wide, cut to backward point, where there's a misfield"
Short gets behind the line of this short ball outside off and plays to point
whipped off the pads to deep square leg
"pitches outside leg, hits the pad, rolls to point"
pulled away to deep midwicket
"on a length and outside off, heaved to the left of deep midwicket"
good length and holds its line just a shade outside off to beat the outside edge
"slower offcutter, inside-edged onto the pad? The umpire reckons so and gives it as runs"
Short pulls a high-high short ball to deep midwicket
"looped up on the leg stump, driven to long-on for one"
"dragged down on the  leg stump, Doolan swivels back and pulls behind square for four"
"shorter and wider of off, muscled to deep midwicket"
"<strong>Another tag-team catch at the boundary?</strong> Silk leaps, catches the ball, but the momentum carries him beyond the boundary. He is in contact with the ball as he tips beyond. He then releases it to Henriques who is inside the field of play. The result is a six. Tossed outside off, lofted towards deep midwicket"
whipped to long-on
reverse-swept from stumps to short third man
"yorker on off, squeezed through point"
"<strong>Phillipe has dropped a sitter!</strong> Short on off, Doolan top-edges it. Phillipe runs around and makes a mess of it behind the stumps"
"full on the pads, clipped to deep midwicket"
glanced off the pads to long leg
"full on the stumps, driven down to long-on"
"full-toss on off, hit to long-on"
driven down to long-off
"very full on off, driven back, the bowler deflects it to mid-off"
backs away and forces the ball to midwicket
"near yorker on off, dug back"
stabbed to the covers
"on a length and outside off, Doolan clears his front leg and belts it away to the left of the bowler and even beats long-off to his right"
"speared outside off, smashed back, the umpire is in the firing line"
"very full at the legs, worked to square leg"
shuffles across and paddles to fine leg
"pretty full and outside off, muscled away to the midwicket boundary, and that's <strong>1000 BBL runs for Short</strong>"
"full-toss outside off, cracked to wide long-off"
"pushed through on middle, paddled away, beats fine leg's dive in the deep"
"darted full on middle, squeezed onto the pitch"
"short and outside off, Doolan jumps outside leg and scythes it over covers"
"short, wide, flashed to short cover"
"back of a length on middle, Doolan clears his front leg and swings it straight to deep midwicket"
full and seams away past the outside edge
punched to short extra-cover
"very full on off, jammed to long-on"
"tossed on off, defended back"
driven to short cover off front foot
down the track and mistimed to long-on
full and right in the swinging arc of Short. <strong>That's outta here</strong>. Short pummels it onto the roof over midwicket
"tossed on the pads, chipped to deep midwicket. <strong>Short brings up another BBL fifty</strong>"
"full at the pads, picked off to the boundary rider at midwicket"
"slower ball outside off, forced to sweeper"
"yorker on off, dug out to long-off"
"short, <strong>pings the helmet,</strong> and flies to short third man"
"slower short ball, pulled away to deep square"
"yorker on leg stump, squeezed to deep midwicket"
"yotker, swings in, beats the bat, off stump, on its way to the keper"
"short and outside off, top-edges a hook into the stands beyond square leg"
"back of a length and outside off, nonchalantly picked up and whipped to the midwicket boundary"
"yorker, tails in to catch the pad, but that's probably heading down leg"
"back of a length and outside off, forced to mid-off"
"full and swings in, inside-edges a flick to square leg"
"<strong>Abbott yorks Short and brings the Sixers back into the game</strong>. Right in the blockhole, swings in, sneaks under the bat. Timbaaaah. Short falls for 64 off 42 balls"
"full-toss on middle, flicked to deep midwicket"
"full and outside off, closes the face and clips to deep midwicket"
back of a length and moves away against the angle to go past the outside edge
fended back to the bowler
"very full on middle and leg, tucked around the corner"
worked to leg
grip and turn to beat Bailey outside off
"Bailey runs down the track, meets the pitch of this legbreak, and slams it with the spin over extra-cover"
here comes Bailey: down the track and launched straight over Denly's head. Mighty blow
"dropped short and outside off, flat-batted away to sweeper cover"
"full on middle, swept flat and hard through backward square leg four"
"full and outside off, lashed to long-off"
"short, wide, slapped to point"
"SOK tosses it full and outside off, McDermott loads up for a slog-sweep but can't clear the boundary. Picks out Jordan Silk at deep midwicket. Silk is one the best fielders at the Sixers"
down the track and hit to long-on
"floated up outside off, Bailey manufactures a half-volley by venturing down the track and smoking it over the bowler's head"
"dangled up wider outside off, carved away to sweeper cover"
"full and straight, whipped to deep midwicket"
Curran runs his fingers across this slower ball outside off beats Milenko
"full-toss on middle, hit to long-on"
"full on off, not a yorker, jammed to long-off"
"accurate yorker on middle, dug out"
"full and outside off, speared to long-off"
"good length just a shade outside off, Bailey mows it into the stands beyond wide long-on. Boom. In the slot and put away"
"full on middle and leg, dragged to long-on's right"
"another length ball outside off, now it's Milenko's turn to pump it over the midwicket boundary. Abbott has missed his lengths twice and has conceded two sixes this over"
"back of a length and wide outside off, away from the reach of Milenko"
"full-toss outside off, Milenko, having backed away outside leg, swings and misses"
"pitched up and outside off, slapped to the covers for one"
"full on off stump, Milenko pushes to long-on and ponders about two, but Bailey sends him back. Just a single in the end."
"Henriques pulls off a fine catch at short cover. He flies to his left and takes it with both hands. Full-toss outside off, Bailey carves it in the air and Henriques plucks it out and celebrates with a fist pump"
"very full and angling into off, tapped down to long-on. Milenko and Faulkner hare back for the second and they do it. Hard-run two. Gold for Hurricanes"
"wide yorker, sneaks under the bat and through to the keeper. Faulkner gets across for a bye. Scores are tied in Hobart"
"full-toss on off, Milenko jumps across off and picks it away to the midwicket boundary. <strong>Hurricanes win by five wickets</strong>"
