"again good length ball, pitches on off stump and nips back a bit, hits the pad bit high, slight shout for lbw, turned down"
"back of length, nips back a bit, Chari stands tall and pushes it back to bowler"
"good length ball, nips back a bit, tries to defend, takes it on the thigh"
"short ball, outside off, cuts it hard to deep point for a single"
"good length ball, on target, punches back to bowler"
"Back of length delivery, comes down the wicket and tries to play a pull shot, gets the top edge and Haider at deep square leg takes a simple catch"
"full ball, outside off and left alone"
"full ball, on target, gets right behind it and defends to mid-off"
"tossed up, on off stump, defended to off side"
"Tossed up, on middle and leg stump, went for the slog sweep and connected well, went all the way over midwicket fence for a big six"
"tossed up, outside off, driven to deep cover"
"Shot! Tossed up, wide outside off, came well forward and driven to wide of diving mid-off fielder for four"
"tossed up, on off stump, defended to cove"
"Another lovely shot! pitches on middle and leg stump, this time Williams gets across and sweeps it all the way over square leg for a six"
"back of length, on middle and leg stump, turned to midwicket"
"Good attacking cricket by Zimbabwe! Full ball, on off stump, drives down the ground and times it well, no chance for the mid-off fielder to stop that one"
"short in length, outside off and left alone"
"Short ball, on leg stump, Williams pulls it away to deep midwicket fence for four more"
"good length ball, on target, defended to off side"
"full ball, on target, defends it back to bowler"
"Tossed up, just outsie off, Taylor played a reverse sweep down to third man fence for four"
"tossed up, on off stump, pushed to cover"
"on off stump, defended to cover for a quick single"
"on middle and leg stump, swept away down to fine leg fence for four"
"tossed up, on middle and leg stump, turned to midwicket"
"tossed up, on off stump, pushed to mid-off"
"short in length, outside off, cuts to deep cover"
"again tossed up, played with the turn to leg side for an easy single"
"arm ball, on off stump, gets forward and defends back to bowler"
"short in length, goes back and drives to wide of long-off fielder for couple of runs"
"tossed up, on off stump, pushed to off side"
"tossed up, on middle and leg stump, turned a bit, got the inner edge and went to short fine leg"
"short in length, outside off and left alone"
"good length ball, on off stump, gets forward and defends to gully"
"short in length, on off stump, goes back and defends to off side"
"on middle and leg stump, turned away to long leg"
"full ball, on middle and leg stump, defended to leg side"
"again full ball, on middle stump, gets right behind it and defends to short midwicket"
"tossed up, outside off, driven to cover"
"arm ball, on off stump, pushed to cover"
"tossed up, on target, pushed to point"
"Tossed up, on off stump, went for the sweep, got the top edge but still timed it well to wide of midwicket fielder for four"
"tossed up, outside off, pushed to cover"
"on off stump, leans well forward and drives to long-off"
"short in length, punches it to deep point and good diving stop by Abid saved couple of runs"
"good length ball, on off stump, angles it down to third man"
"good length ball, on off stump, pushes to cover"
"back of length, stands tall and punches to cover"
"good length ball, on off stump, defended to off side"
"short in length, punches to deep cover"
"on middle and leg stump, swept away to deep square leg"
"faster ball, just outside off, played a lovely reverse sweep wide of point fielder for four"
"arm ball, on middle stump, gets forward, inside edge onto pad"
"again tossed up, on off stump, pushed to cover"
"short in length, outside off, cuts to deep cover for couple"
"tossed up, bit slower in pace, came well forward and pushed back to bowler"
"good length ball, on middle and leg stump, worked away to leg side"
"good yorker, swings in late, Williams defends it back to bowler"
"yorker followed by a short ball, Williams sways away and lets it go"
"good length ball, just ouside off, nips back a bit, plays and misses"
"fuller in length, on off stump, gets forward and drives to short cover"
"good length ball, on off stump, angles it to wide of gully fielder and coms back for the 2nd run"
"That is a big wicket. Tossed up, on middle stump, went for the sweep shot, fails to clear the square leg fence, Imam at deep square leg took a straight forward catch"
"tossed up, middle stump. came forward and defended"
"again tossed up, pushed to off side"
"tossed up, on off stump, pushed back to bowler"
"again tossed up, came well forward and defended back"
again defended on the front foot back to bowler
"short ball, pulls it down to fine leg"
"full ball, on off stump, defended back to bowler"
"full on target, came well forward and defended back to bowler"
"fuller in length, just outside off, comes forward and pushes to short cover"
"low full toss on leg stump, works it away to deep imidwicket fence for four"
"full ball, on off stump, defended to off side"
"tossed up, outside off, driven to deep cover"
"on middle and leg stump, swept away and beat the backward square leg fielder for four"
"on middle stump, came forward and defends to leg side for an easy single"
"arm ball, on off stump, punches to point"
"slightly short in length, cuts to short third man"
"short in ength, goes back and drives, short cover makes a diving stop"
"good length ball, on off stump, pushes to cover"
"short in length, outside off, angles it down to third man for a single"
"short in length, punches to point, Madhevere wants a single, sent back by Williams"
"good length ball, on middle and leg stump, turned to midwicket"
"Top shot! Short in length, on middle and leg stump, pulls it away to deep midwicket fence for four"
"short in length, on leg stump. clipped away to deep square leg for a single"
"tossed up, came well forward and pushed to cover"
"Excellent catch by Fakhar who was fielding for injured Musa. Well tossed up, came down the wicket and lofted in the air, mistimed it, Fakhar running in dive forward and took a lovely catch at long-on"
"tossed up, on off stump, guided to gully"
"from wide of the crease, tossed up, came well forward and defended back"
"arm ball, on middle and leg stump, turned to midwicket"
"turn and bounce for Iftikhar, goes for the cut and misses it"
"short in length, outside off, cuts and misses"
"full ball, on off stump, defended to gully"
"short in length, chipped in the air well short of deep cover fielder"
"full ball, on off stump, pushes to off side"
"good length ball, just outside off, punches to deep cover"
"good length ball, on target, defended to off side"
"tossed up, on off stump, driven to long-off"
"tossed up, outside off, driven to short cover"
"faster ball, went back and pushed back to bowler"
"Soft dismissal! Tossed up, on middle and leg stump, Raza chipped it back to bowler for a simple catch, Iftikhar strikes again!"
"tossed up, on middle stump, went for the sweep, top edge down to fine leg for couple"
"on middle and leg stump, swept away down to fine leg"
"good length ball, on leg stump, tries to work it away, takes it on the thigh"
"full ball, outside off, angles it down to third man for a single"
"short ball, goes back and guides it down to third man"
"full on leg stump, clipped away towards deep midwicket for couple of runs"
"full ball on target, comes well forward and defends to cover"
"full ball, on off stump, drives to wide of mid-off for a single"
"tossed outside off, went back and pushed back to bowler"
"again tossed up, pushed to cover"
"Gone! Arm ball, from round the wicket, pitches on middle and off, misses the sweep and hits the pad, right in front, big shout for lbw, up goes the finger. Review has been taken and it plumb, hitting middle stump"
"tossed up, on target, defended on the front foot"
"arm ball, just outside off, tries to push at it and gets beaten"
"tossed up, outside off and Mumba beaten again"
"short in length, outside off, cuts it down to third man and Rauf stops with his foot"
"short in length, outside off, punches to point"
"full ball, just outside off and moves away, goes for the drive and gets beaten"
"full and wide outside off, Williams drives to extra cover, fielder chases hard, dives at the end but in vain, ball wins the race"
"full ball, on off stump, defended to mid-off"
"good length ball, outside off, cuts it down to third man for a single"
"tossed up, on middle and leg stump, swept away to deep midwicket for couple"
"Another sweep as ball was pitched on leg stump, found the gap at fine leg fence for four"
"tossed up, came down the wicket and driven to long-on for a single"
"tossed up, on middle and leg stump, turned to midwicket"
"arm ball, on off stump, pushed to cover"
"tossed up, on middle stump, went for the big heave, little inside edge onto pad saved him"
"short ball, pulled it hard and sharp stop by short midwicket fielder"
"good length ball, goes for the pull, thick inside edge onto pad and runs a quick single"
"good length ball, down the leg side, off the pad through to keeper who made a diving stop"
"full and wide outside off, driven to deep cover"
"good length ball, on off stump, punches to point"
"full ball, on middle stump, tries to defend, thick inside edge onto pad, big shout for lbw, turned down by umpire"
"Shot! Tossed up, outside off, played a lovely reverse sweep and found the gap at gully and short third man"
"That's Iftikhar 5-wicket haul! Nicely tossed up, Williams came down the wicket and lofted high in the air, Shaheen at long-off running in and took a lovely forwad diving catch"
"tossed up, on off stump, pushed back to bowler"
"again well tossed up, defended on the front foot"
"tossed up, outside off, defended on the front foot"
"nicely tossed up, outside off, went for the drive, mistimed it back to bowler"
"full ball, on leg stump, defended on the front foot"
"full ball, outside off, driven to deep cover, misfielded by Haider and Mumba back for the 2nd run"
"short in length, goes for the pull shot and misses it"
"good yorker on middle stump, defended to off side"
"full ball, on target, defended back to bowler"
"again full ball, on middle stup, driven to short cover"
"arm ball, on off stump, pushes to cover"
"arm ball, on off stump, punches to short cover"
"Dropped! Tossed up, on middle and leg stump, slog sweep and went straight in the hands of Haider who put it down"
"arm ball, down the leg side and called a wide"
"arm ball, on leg stump, clips the pad and good take by keeper"
"short in length, outside off, cuts and misses"
"tossed up, bit slower in pace, defended on the front foot"
"yorker from round the wicket, goes under the bat and just missed the off stump"
"another yorker, follows the batsman, defends it to point"
"low full toss on middle stump, pushes to short cover"
"Full ball, on middle stump, whips it away to deep midwicket and Abid does no pick that one and it goes for four"
"full ball, driven to mid-off and ran a quick single"
"fuller in length, on off stump, driven to deep cover"
"tossed up, on off stump, defended to gully for a quick single"
"on middle and leg stump, slog sweep along the ground to deep midwicket"
"full ball, yorker length, whips it away to deep midwicket"
"tossed up, wide outside off and spun away, went for the big shot and missed it"
"short in length, driven to long-off"
"Haider dropped it again! Tossed up, went for the big slog sweep, went high in the air, Haider running in, juggled a bit and dropped at the end"
"Full ball, on middle and leg stump, Muzarabani heved it away, connected it well and flat six over midwicket"
"back over the wicket, full ball, on leg stump, goes for the big shot and misses it"
"full ball, outside off, reaches for it and slices it over point for couple of runs"
"lovely yorker, just misses the leg stump through to keeper"
"low full toss on middle stump, slices it down to third man for a single"
"low full toss, drives to wide of extra cover fielder for a single"
"tossed up, on off stump, defended to off side for a single"
"tossed up, outside off and spun away, beaten outside off"
"Comes down the wicket and tries to play a big shot, york himself and ball hits the stumps"
"short in length, goes back and cuts to cover"
"poor delivery, faster ball, down the wicket, Rizwan dives but fails to gather the ball, goes for 5 wides"
"short in length on leg stump, pulls it to deep midwicket"
"tossed up, on off stump, driven down the ground to long-off for a single"
"full ball, driven down the ground to long-on for a single"
"another good yorker, just misses the off stump and goes through to keeper"
"low full toss on middle stump, defends it to mid-on"
"slower  ball, ends up a low full toss, drives to mid-off"
"another yorker on middle stump, defended back to bowler"
"again low full toss on off stump, drives back to bowler"
"Full ball, on middle stump, goes for the big shot, misses it and Musa hits the middle stump"
"fuller in length, just outside off, leans well forward and drives to extra cover"
"back of length, on off stump, goes back and pushes to gully"
"Great shot to gets off the mark! Full on off stump, comes forward and just time and finds the gap at covers for four"
