turn and bounce with the new ball. <strong>Breaks away past the outside edge</strong>
"tossed up, grips and spins to beat Wade's defensive push and catch the pad"
"flatter and sliding into the arm from round the wicket, knocked away to the leg side for a scampered single"
"short and spins away outside off, goes on the back foot and punches the ball away to extra-cover"
"on the pads, turned away behind square on the leg side"
<strong>Manenti  finds extra bounce</strong> and foils Wade's attempt to reverse-sweep. Bounces off the glove and drops in front of slip
short of a length and shoved down the leg side for a wide
"short and outside off, punched back to the bowler"
"short and keeps low outside off, slashes and misses as the ball sneaks under the bat. The keeper is beaten as well"
"short and rushes Wade into a pull, he <strong>splices wide of midwicket</strong>"
"on a length, angling in and <strong>straightening away past the outside edge</strong>"
"back of a length and outside off, flayed away through the line. Pings the extra-cover boundary"
rides the bounce of this short ball outside off and pulls behind square on the leg side
Wade jumps across off and whips through the midwicket region for a couple of runs
"good length and spins away outside off, patted to the covers"
"tossed up and angling into the pads, chipped in the air. Short just clears mid-on and finds the boundary"
"straight ball on middle, jabbed back to the bowler"
"darted into the pads, too full, strikes the pad as Short misses the sweep"
"drifting down the leg side, away from the reach of the sweep, wide"
"attacking the pads again, this is whipped straight to midwicket"
angling into the pads again as he falls over the flick
"fuller around off, played back"
clipped off the pads through square leg
"just short of a good length and outside off, sits up to be hit. Short obliges, whacking a pull off the front foot over the midwicket boundary. Bam!"
"back of a length, skids off the pitch and keeps low, draws a leading edge to the off side"
rides the bounce of this short ball outside off and guides it to short third man
"shortish and outside off, cracked to the covers off the back foot"
"Wade welcomes him into the attack with a pristine loft over the covers. He doesn't over-hit the ball, just holds his shape, and goes over the top"
"shorter and outside off, jabbed back to the bowler"
"back of a length and angling across off, Wade lets the ball come onto him, then glides fine of short third man for four"
worked off the pads through square leg
"short at the body, fended away to short fine leg"
"back of a length on middle, forced away to deep midwicket"
whipped off the pads to deep square leg
shuffles across and tickles it away to short fine leg
"banged short and outside off, pulled away to deep midwicket off the back foot"
"full-toss on middle, backs away outside leg and scythes it up and over extra-cover"
"full-toss on leg stump, whipped away between wide long-on and deep midwicket"
"full-toss on middle, pinged straight down the ground past the left of Abbott for four. Gun-barrel straight drive from Short"
"skidding away outside off, beats Wade's cut"
"back of a length and outside off, goes on the back foot and jabs it to extra-cover"
"dropped short and wide outside off, cut away square through the off side, a diving stop in the outfield"
hacked away to wide long-on
"pushed through outside off, Wade rolls out a reverse-sweep and hits it fine of short third man for four"
"flatter on the pads, worked away to the leg side"
"looped up and outside off, Wade sizes it up and slog-sweeps it against the break over the short boundary on the leg side. Smacked over midwicket"
"full-toss on middle, lashed away to deep cover"
"dragged down outside off, camps back and slashes it away to sweeper"
"tossed outside off, driven down to long-off off the front foot"
"fractionally short on off stump, <strong>Short pulls and picks out deep midwicket</strong>. It sits up but Short does not get enough power behind this one. He holes out to Silk in the outfield. Some respite for the Sixers"
"flighted and outside off, driven to extra-cover off the front foot"
whipped from outside off to deep midwicket
chipped in the air over short midwicket
top-edges a sweep over the keeper's head
SOK draws a leading edge as this is slow off the pitch. Poked back to him
"looped up on the pads, Wade nearly chips it right back to the bowler off another leading edge"
"dropped shorter and outside off, swatted away to long-on off the back foot"
back of a length and skids off the pitch to beat the pull. Off the pad and rolls away to the off side
shuffles across and jabs to midwicket
Jewel shimmies out and steps away outside leg. He ends up yorking himself. Dwarshuis hits the blockhole and makes a mess of the stumps
"back of a length and angling away outside off, pushed to mid-off off the front foot"
"fuller and angling across off, driven away to the right of sweeper cover"
"short and outside off, short-armed away to deep midwicket"
whipped to deep midwicket off the back foot
"on a length and spins away, driven through extra-cover"
back of a length and curves away outside off as Wade wafts and misses
"flighted on the pads, swept away to long leg"
clipped from outside off to wide long-on for a double
"on a length and outside off, chipped away through midwicket"
"dropped short and wide outside off, Wade jumps back and flays the ball away to the right of sweeper cover"
"on a length on middle and leg, whipped away through midwicket, but there's protection in the deep"
Wade whisks a full ball to cover
"full-toss, hit to long-on"
"tossed up and turns away outside off, Wade dares to slog-sweep against the turn. Gets a fat top edge that clears the midwicket boundary"
"fuller and outside off, backs away and drills to wide long-off"
"flatter and outside off, slog-swept to deep midwicket. <strong>Wade brings up another half-century, this one off 38 balls</strong>"
drifting down leg for a wide
another one shoved down leg for a wide
"back of a length on the hips, whipped off the back foot to deep square leg"
"flatter and attacking the stumps, pushed back to the bowler"
"dragged down outside off, Wade uses the depth of the crease and heaves it away to long-on"
"<strong>wrong'un</strong>, breaks back in, the batsman does not pick it and wears it on the pad"
"back of a length and sliding down the leg side, tickled away to short fine leg"
"good length angled into off, he defends from the crease towards midwicket"
"back of a length outside off, he stands up and punches firmly straight of mid off who is right on the circle. Easy one"
"<strong>huge appeal for LBW</strong>, not out is the call. Did it pitch in line? Maybe just outside. He shuffled back and across trying to whip a length ball and was hit in front of off. Height may have been an issue"
fuller on leg driven firmly back at the bowler who fields well in his follow through
"fuller outside off, he drives inside out to the gap at cover-point"
"slower ball wide of off, 109kph, he pushes to deep cover-point on the front foot"
"drifting into the pads, glanced through square leg"
"tossed outside off, turns in, swept through square leg"
"shorter and outside off, punched off the back foot through the covers"
"very full on middle, flicked to the midwicket region"
"tossed outside off, overpitched, driven to sweeper cover off the front foot"
"dragged outside off, Wade goes on the back foot and pulls behind square on the leg side for four"
"full and angling in on middle and leg, clipped away through the leg side"
"full-toss outside off, Wade smites it away to deep square leg"
"full-toss outside off, whipped down to long-on"
"full-toss outside off, stabbed away to mid-off"
chipped to mid-off
"full-toss on off, pushed down to long-on"
"floated up outside off, McDermott launches it over the midwicket boundary with a rasping slog-sweep"
"back-to-back sizes. Short legbreak, turns away outside off, pulled against the break over midwicket again"
"back of a length and breaks away outside off, carved to short third man. They get another run thanks to an overthrow"
"tossed outside off, expertly driven in the gap between short third man and backward point"
"shorter and angling across off, worked to the midwicket region off the back foot"
"full and outside off, toe-ended away fine of short third man"
"fuller and outside off, smeared away to deep midwicket, where <strong>Silk sprints across to his left and stops the ball</strong>. The best fielder in the Sixers' side"
"slower ball outside off, Wade picks it up and hoists it over extra-cover for three"
"McDermott jumps across off for a scoop over the keeper's head. The bowler hits a hard length, he can only deflect the ball behind the stumps"
"<strong>Wade skies it into the Sydney night. </strong>Two fielders run in from the leg-side outfield. Hughes keeps his eyes on the ball and settles underneath this with his fingers pointed to the sky. Top catch near the square-leg region. This was shortish and outside off, Wade does not get hold of the pull and holes out for 64 off 51 balls"
"hip-high short ball outside off, fiercely swatted on the bounce to deep midwicket"
"shorter and outside off, whipped off the back foot to deep midwicket"
"full and wide outside off, Bailey gives himself some room and scythes it away to sweeper cover"
"<strong>beamer outside off</strong>, called a no-ball. Skied in the air, drops into no-man's lead near midwicket"
"wide yorker, dug back to the right of the bowler. They hare across for the second"
"yorker on off, squeezed away to extra-cover"
"fuller on leg stump, Bailey gives himself room and lifts it inside-out over extra-cover"
"wide yorker, steered to sweeper cover"
"full-toss outside off, crashed down to long-on"
"slower short ball outside off, Bailey picks it up and smites it away in the gap between deep midwicket and wide long-on. Clears his front leg and muscles it away"
Bailey ventures a scoop and throws Curran off. Curran follows Bailey and floats it wide past the tramline. Off-side wide
"really full on the leg stump, and Bailey clears long-off. He collapses his back knee and lofts it over the man in the deep"
"<strong>Bailey is on the floor, </strong>but the ball runs away to the fine-leg boundary. He jumps across off, scoops, and falls over. But gets enough bat on ball and places it square of short fine leg, where SOK moves around as opposed to staying still"
"on a length and outside off, scythed up over the covers"
"Abbott runs in from long-on and completes an excellent catch. He attacks the ball and snaffles it. Very full on middle and leg, McDermott drags a catch. That it was a catch was down to Abbott's athletic intervention"
"very full on middle, belted down the ground past Curran"
"full and hung up outside off, Hughes fiddles at it and watches an inside edge roll past the leg stump for four"
back of a length and<strong> seams away past the outside edge</strong> now
"hip-high short ball outside off, swivels on the back foot and pulls it away to deep backward square leg"
Faulkner draws the outside edge and it has been snaffled at slip. On a length and moving away against the angle. Hughes hangs his bat out and Botha takes it to his right at first slip
"on a length and outside off, patted back down the pitch"
"shorter and angling away outside off, defensively dropped to the covers"
"short and skids on outside off, punched to the covers"
"chest-high short ball on middle stump, <strong>147kph</strong>, Phillipe gets inside the line and pulls it powerfully over backward square leg. Beats long leg in the deep"
"keeps is short and outside off, Meredith cops punishment again! Short and outside off, this is swatted in front of square for six. Pinged off the middle of the bat"
"shorter and outside off, run away towards backward point"
"short and outside off, <strong>148kph</strong>, rushes the batsman into a pull. He can only splice it away to mid-on"
"fuller and outside off,<strong> 145kph</strong>, wafted through the covers"
"shorter and outside off, gets on top of the bounce and punches up to mid-off"
"shorter and outside off, slapped off the back foot to extra-cover"
down the track and clubbed away to deep backward square leg
"shorter and outside off, skewered behind to Wade"
"short and outside off, flat-batted to mid-off for a speedy single"
"back-of-the-hand slower ball, short and cramps the batsman for room as he splices a pull over midwicket"
"straight ball on middle, whipped away through midwicket"
"flighted on leg stump, Phillipe gives himself some room and launches it inside-out over mid-off"
"fuller on middle and leg, drilled straight of mid-off for four. Down the track and belted it past Rose"
"slides on with the arm outside off, Phillipe stretches out for a sweep and strokes it behind square on the leg side. Hit flat and hard for four"
"shorter and outside off, forced off the back foot to long-on"
"short and skids on middle, backs away outside leg and slashes an outside edge that flies past the right of Wade for another four. <strong>Rose leaks 19 runs from his opening over</strong>"
"on a length and outside off, 142kph, Phillipe holds his shape and smears it straight over Archer's head"
"back of a length and outside off, shovelled away with the bottom hand to mid-on"
"banged in shorter and outside off, <strong>152kph. Wow</strong>.  it's the effort ball from Archer. Grows big on the batsman. He top-edges a hook over midwicket"
"fuller and outside off, gives himself some room and crunnnnnnnches through the covers. 'He's hitting the ball beautifully,' says Bailey"
"banged in short and outside off, Phillipe takes on the pace and bounce of Archer and swats it up and over midwicket"
"short and wide outside off, slower ball, sliced away to point"
"banged in short and keeps rising outside off, Vince throws his bat at the ball and ramps it over third man for four"
"back of a length on off, 145ks, skids off the pitch and skids into the boundary. Pulled away with authority"
Vince dances down the track and misses a 142kph short ball outside off
"short on off, hangs back and knocks a single to the leg side"
"pitched up and outside off, Phillipe skies it in the air. Gets more height as opposed to distance. McDermott runs back from cover, but the ball keeps swirling away from his reach, despite a dive"
"really full and outside off, slapped away to the right of mid-on. <strong>The Sixers have racked up 67 in the Powerplay</strong>"
"dug in short and outside off, 141kph, fended off to the leg side"
"short on off, patted back to the bowler"
"short on off, worked away to midwicket region for one"
"short and outside off, 141kph, helped away to third man"
"bouncer on middle, 137ks, looked like it was 147ks, beats the hook"
"short and outside off, backs away and lashes it to extra-cover"
"front-of-the-hand slider, short and outside off, forced through the covers"
"dragged down outside off, Phillipe rocks back and mows it away to the midwicket boundary. He <strong>surges to a 25-ball fifty - his first in T20s</strong>"
hacked away to long-on
"back of a length and outside off, punched away through midwicket off the back foot"
"slides on outside off, punched to sweeper cover for a double"
whipped out to deep midwicket
"skidding on outside off, jabbed to point"
"on a length and on off, Vince goes down on one knee and slog-sweeps it over square leg for six"
"tossed outside off, down the track and slugged away to deep midwicket, where the fielder swoops to his left and swats the ball to long-on"
off-side wide
"really full on middle and leg, whipped away to deep midwicket"
"short and fizzes outside off, Phillipe fiddles at it and <strong>nearly chops it back on</strong>"
"flat at the pads, clipped away to deep midwicket"
glanced off the pads to short fine leg
"slower through the air on off, he aims a reverse-sweep and is hit on the back thigh. They sneak in a leg bye"
sees the batsman coming down the track and quickens it up to ping the pad
Phillipe backs away and hits a single down to long-on
"short and outside off, slapped away to short midwicket's left"
whipped away to deep square leg. They take on Archer's arm for two
"Massive! Flighted outside off, Phillipe drops down to one knee and muscles a slog-sweep into the stands beyond midwicket"
"arm ball, sliding down the leg side for a wide"
"dropped shorter and wider outside off, flat-batted to long-off"
"fuller and outside off, jabbed back to the bowler"
"really full on leg stump, dug back to Rose"
whipped around the corner for one
"yorker on off, squeezed back to Rose"
"flighted and outside off, down the track and clipped away to deep square leg"
down the track and punched down to long-off
"down the track again, hacks an inside edge to short fine leg"
"back of a length on middle, this non-turner is punched down to long-on"
uses his feet and whips to deep midwicket
chopped from outside off to extra-cover for a speedy single. The throw is to the bowler's end. Botha collects it and takes the bails off but Vince is in
"Shot, Vince! Flies into the stands beyond square leg. Pitched up and skids on off, picked up and flicked away with a great deal of nonchalance<strong>. Back-to-back fifties for Vince</strong>"
"banged in short and outside off, swivels on the back foot and nails a pull behind square"
"full-toss outside off, square-driven to point"
"full-toss on off, clipped to deep midwicket"
"very full on off, driven away to wide long-on. They come back for the second"
"full-toss on leg stump, dragged away through square leg for another boundary. <strong>18 off this Meredith over</strong>"
stabbed through covers
pulled away to deep square leg
down the track and hacked to long-on
"dangled wide outside off, forced through the covers"
"leg-side wide, this googly beats the batsman as well as Wade behind the stumps"
down the track and sliced over backward point
clubbed over mid-on
"short and wide outside off, chopped away to deep point"
"wide yorker, sneaks under the bat"
"slower ball outside off, dupes the swinging batsman and rolls through to the keeper"
"slower bouncer outside off, too high and called a wide"
""
"on a length and outside off, pumped over mid-off for four"
