"full on middle, and going down the leg side. Imam misses the flick, and the ball goes through to the keeper"
"back of a length on off, and angling into Imam. Defended off the back foot to Fakhar"
"back of a length on middle, and Imam flicks this fine down the leg side. Work for Murray, the keeper, as he runs towards fine leg to intercept"
"short and wide outside off, and Fakhar tries to cut this square. Goes straight to W Masakadza at backwad point though. It was a loose ball for a new batsman, and he'll be disappointed to miss out"
"full outside off, but angling into Fakhar sharply. He leaves the ball, and the delivery goes just past the outside of off stump"
"full outside off, and that's been beautifully struck! An expansive drive through cover, but Moor drives to his left and sticks his hand out to stop the ball. An excellent stop which definitely saves four"
length ball that angles into the batsman's body. Defended off the back foot
"back of a length on leg stump, and Fakhar can't whip this off his pads. Hits his thigh guard and flies away to the off side"
"full on middle, and driven through the line to the on side. Mistimed, however, and the ball trickles away to mid on"
"full on middle, and pushed with soft hands to the leg side. Nice and early call for a quick single"
"back of a length on leg stump, and Imam shuffles to nudge this around the corner to fine leg."
"full on middle, and tentatively played to mid off with gentle hands. They take off for another single, and the batsmen cross the line with ease. Mid off tried to run him out at the non-striker's, but Fakhar was already in"
"length ball on middle, and defended off the back foot with the angled bat. Played to the leg side"
"length ball on middle, and worked off his pads to the square leg fielder on the leg side"
"full outside off, and driven square off the front foot. Slices the shot to cover point eventually"
"short on off, and Fakhar misses out on the pull. Change of pace from Mpofu, and Fakhar's through his shot too early. <b>Appeal for caught behind turned down</b>"
"good length outside off, and firmly punched off the back foot. The ball whizzes straight to mid off"
"full on middle, and worked off his pads to the fielder at midwicket. Can't find the gap"
"short outside off, but this time he can't generate the bounce. Zaman rides the bounce and pulls this square to the fence. Played along the ground, that's the <b>morning's first boundary!</b>"
"full on off, and Imam comes forward to defend. Takes the outside edge though and the delivery rolls away to the fielder at third man"
"full outside off, and he tries to muscle this drive through the covers. Doesn't get to the pitch of the ball, and mistimes the shot to cover"
"full on off, and driven to mid off from the front foot. Straight to the fielder once again"
"good length on middle, but angling across Imam. Tries to punch it straight down the ground, but the ball takes an inside edge to the leg side instead"
