"full on middle stump, flicked into the leg side"
"length at middle, poked into the leg side off the back foot"
"full on middle stump, driven to long-on with the angle"
"yorker length at middle stump, backs away to open up the off side. Jams it to mid-on"
"length on off stump, poked into the covers with soft hands"
<b>taken at short third!</b> Matt Renshaw with his first wicket in T20s! Short and sliding in from around the wicket. Just outside off. He's hurried on the cut and get a thick edge that carries to Lynn
"attempted slower ball, good length and down leg side"
"short of a length just outside off, cut to deep backward point"
"<b>straight to deep backward point!</b> That's taken some precision. First ball for Lehmann. Short and just outside off. Lines up to cut and doesn't try to keep it down. Ross runs in and takes a simple one. Third man was in, there was plenty to aim at square of the wicket, but he finds that man"
"length on off stump, looks to flick, gets an inside edge onto front pad"
"length on off stump, blocked on the front foot"
"short of a length outside off, punched to sweeper point off the back foot"
"length and just outside off, tapped to cover on the up"
"full on off stump, hurriedly driven to mid-off"
short of a length and in at off stump. Backs away and cuts to point
"length ball fired down leg. Looks to sweep, cops it on the front pad. Trickles fine of short fine"
"length on leg stump, flicked to midwicket off the inside half"
<b>stands his ground</b> and pumps this over the long-off boundary. Simple. Ingram tries the radical idea of staying still. He gets one in his zone and creams it on the half-volley
<b>over midwicket.</b> Flat full toss on leg stump. Stays tall again and slugs this over the boundary
"length at off stump, punched to cover off the back foot"
short and just outside off. Mistimed pull straight to short fine after he shuffles
short outside off. Early into the cut. Under-edged into the point region
slower ball at a length on off stump. Adjusts after shaping to punch. Runs it out to deep point
slower short ball at off stump. Looks to pull and is done by the variation. Ends up dragging off the toe to deep square's right. He dives and stops on the bounce
"length on off stump, punched straight to cover point"
"short of a length just outside off, cut straight to point"
"length on middle stump, backs away and launches this on the up, straight over the bowler"
"full outside off, gets down at it and sweeps firmly, and aerially to midwicket's right. No getting to that"
"length on off stump, blocked on the front foot"
overpitched just outside off. Gets the front leg into the leg side and carves this with the angle to the cover boundary
"length on leg stump, dabbed into the midwicket region off the front foot"
full and very wide outside off. Can't reach that
"short outside off, sliced to deep point"
"slower ball, short and wide outside off. Shuffles and chops to sweeper point"
"low full toss just outside off, whipped to mid-off off the toe-end"
length and wide outside off. Reaches out and feels for it. It comes on nicely and he slaps on the up between extra cover and mid-off
"<B>straight to cover.</b> Overpitched just outside off. Makes room and wants to carve behind square, but it's low and to Swepson's right and he hangs on"
short of a length cutter on leg. Gently nudged through square leg off the back foot
short and just outside off. Mistimed cut to extra cover's left
"short at middle stump, whipped to deep midwicket off the back foot"
length at middle stump. Whipped across the turn into the midwicket region
"googly, short of a length on off stump. Punched to long-off off the back foot"
short and just outside off. Cut to sweeper's left
"short outside off, chopped to sweeper cover"
short and down leg side. Looks to pull. Tucked up by the pace. Top edge to fine leg's right
"overpitched on middle stump, punched to mid-off on the front foot"
"short and wide outside off, gets quickly onto the back foot to transfer his weight and then he pumps this over midwicket. Superb connection"
slower ball at a length on off stump. Dropped to cover's right with soft hands
"short and just outside off. Looks to cut, beaten on the outside edge. Too close for that shot"
length and in at leg stump. Looks to play the flick. Cops it on the thigh
"full on off stump, gets the front leg out and tries to jam it through cover. Rolls back down the pitch"
"short and wide outside off, cuts to sweeper cover"
short of a length and turning in at off stump. Punched to long-on with the turn
"short and just outside off. Late cut to point's right, but his dive to the right saves two. Sweeper cleans up"
"full outside off, looks to slug into the leg side, gets an inside edge past short fine"
short and just outside off. Cut to sweeper cover
"slower ball at a length, just outside off. Tapped to point off the back foot"
length at leg stump. Looks to flick and cops this on the thigh as well
"slower ball, short of a length outside off. Looks to cut, beaten on the outside edge"
"overpitched just outside off, driven straight to extra cover"
"length at middle stump, gets on top of the bounce and drops this into the midwicket region"
"slower ball, short of a length just outside off. Cut to deep point"
"full outside off, flicked to deep midwicket off the back foot"
"length on leg stump, steps out and flicks to short fine's left"
"low full toss just outside off. Reverse whip, can't beat short third to the left"
length ball lobbed up wide outside off. Cut to sweeper cover
"length ball wide outside off. Looks to sweep, beaten. Big, solitary appeal from the keeper. Turned down"
length and across the corridor. Looks to flick. Closes the face too early. Leading edge short of extra cover
"short of a length just outside off, sliced straight to point"
"full on leg stump, leans in and clips it to long-on's right. Quick call to complete the second"
"slower ball, overpitched outside off. Sets up beautifully with a crouch and springs into this on the front foot. Inside-out and over the wide long-off boundary"
short at leg stump. Gets on top of the bounce and hooks into the turf towards fine leg
"full ball outside off. Shuffles, gets behind the line and wants to whip this. But his weight is not moving into the ball and he ends up lofting it gently for McCullum at deep midwicket"
"short of a length on leg stump, dropped into the square leg region off the back foot"
"short and wide outside off, cut to sweeper cover"
"googly, at a length and wide outside off. Beaten in flight as he steps out. Goes across the line. <b>Leading edge</b> flies high and wide of first slip"
length and slow outside off. Swats along the ground to deep midwicket
"length on leg stump, flicked straight to midwicket"
"lobbed up slowly outside off. Steps out, meets on the full, flicks to long-on"
"<b>through him!</b> Short and sliding onto leg stump. Backs away and tries to cut. Beaten on the under-edge . Was certainly expecting that to turn, but it didn't. Tonks leg stump"
short of a length just outside off. Opens the face and pokes it to point...who runs in and misfields
"low full toss just outside off, tapped back to the bowler on the bounce"
"short of a length outside, beaten on the cut"
short and skidding quickly in the corridor. Beaten on the cut again
short and climbing up in the corridor. Backs away and swishes from under it. Beaten on the attempted late cut
length and in at leg stump. Drops it to midwicket's right. He over-runs it and allows a second as he misses that
short at off stump. Turns very early for reverse sweep. The length allows him to hold his shape. Swats it through point and finds the boundary
"googly at a length outside off, steps out and whips to deep midwicket"
"short and wide outside off, cut to sweeper cover"
"full on off stump, steps out and drives against the turn to long-off"
"<b>fantastic from Baz at the boundary!</b> But he just about loses the battle. Length on off stump, looks for the slog sweep and and loses his footing. Ends up slicing it. It's just about climbing over the boundary as McCullum plucks it. He's about to fall over, so he whips it back forcefully for long-on who is quite a way away. That fielder runs in and puts in a slide low to take it. But McCullum has stepped on the rope. What an effort. How old is he again? Looks like it was Cutting coming in from long-on"
"length at middle stump, punched to long-on off the back foot"
"full and wide outside off, can't connect on the drive"
"length on off stump, punched down the pitch"
"short and wide outside off, cut hard to sweeper cover and...you wouldn't believe this...<b>McCullum lets it through from under his legs.</b>"
slower short ball outside off. Waits on it and cuts from underneath. Thick outside edge past the keeper
"<b>taken low by Ross!</b> Short ball just outside off. Pulls from under it, slices towards deep square. It's dipping down on him as he sprints into the sun. But he slides in perfectly to hold on"
"length on off stump, backs away and punches to mid-off"
slower ball at a length outside off. Flicks aerially to deep midwicket
"bouncer outside off. Walks down at it and it gets too big on him. So he gets his head away, closes his eyes and keeps the bat face pointing upwards. It hits and climbs over the keeper"
"slower ball at a length, wide outside off. Lines up and scythes hard at this with an open face. Rolls rapidly to the sweeper's left but Ross sprints and gets down with agility to pull this back with his left hand"
"short and just outside off, cut to sweeper cover's right"
full and wide outside off. Reaches out and looks to slash it behind point. Beaten. Big appeal from Cutting. Umpire waits for him to be done and calls wide
"full and wide outside off. Chops at it, gets a thick outside edge past the keeper and short third"
"<b>another outside edge.</b> Slower ball, at a length outside off. He lines up and looks to carve it over extra cover. Thick outside edge floats wide of the diving keeper"
"low full toss on leg stump, flicked to deep midwicket's left"
"short and wide outside off. Gets on the back foot, moves his weight into this and cuts from underneath to clear the point boundary! Stunning"
slower ball at a length on off stump. Looks to punch straight on the up but the variation has got the better of him. Lifts it high and long-on gets under it to complete the catch to his left
""
"low yorker outside off, flicked to deep square"
"slower ball, full outside off. Chopped to point with an open face"
"full outside off, steps across and drives to sweeper's right"
"slower ball at a length, wide outside off. Left alone"
"low full toss outside off. Hammers it with a closed face, to long-on's right. A direct hit from there and the batsmen are now confused about pinching an overthrow on the off side. Nearly ended up at the same end, both of them. In the end the throw is wide for the keeper and Valente dives to get in at the other end as the relay throw comes"
"length at off stump, steps out and punches it with an angled bat. Past the non-striker with some force. Long-off is wide and his dive to the left won't get him to this"
"length on leg stump, whipped to deep square"
"length and wide outside off. Heaves at it, looks to go leg side. Gets a thick edge that flies over short third and beats deep point to his left. Cutting can't believe it, another outside edge off his bowling goes for four"
"low full toss outside off, lines up with a slight shuffles and drills it past extra cover. Beats his dive and sweeper is running gingerly to his right and lets this slide away"
slower length ball at leg stump. Gets the front foot away and looks to slog over midwicket. Gets it off the toe-end and it's dragged towards deep square who settles under it with a reverse cup and holds on
"slower short ball outside off. Looks to pull, forced to adjust with the change in pace. Into the square leg region off the toe-end"
<b>stays leg side of this</b> and carves it over the backward point boundary! Siddle like he's batting on 300. Short and wide outside off and he carves from underneath. No fielders deep there
slower short ball following him down leg side. Hooked to deep square's right
slower length ball down leg side. Left alone
"full outside off. He backs away to make room, exposes his stumps, and chops down on this. Thick edge whistles past the keeper"
"slower short ball, way down leg side. Left alone"
slower short ball at leg stump. Backs away and pulls it to long-on's right before coming back for a second
"short and just outside off. Looks for the cut, gets it off the bottom edge and it races past short third"
"length outside off, mistimed punched to extra cover's left"
"short of a length just outside off, opens the face and runs it down to third man"
"length outside off, looks to slap it through cover. Gets an inside edge to short fine"
"<b>bit of a mix-up</b> between the fielders, but they sort it out and avoid a collision as Rashid holds on. Short ball at middle stump. Looks to pull and is too late on it. One hand comes off. This float high in the square leg region and Rashid pedals back from midwicket to hold on as deep square runs in towards it and withdraws late"
"length on off stump, defended into the covers off the back foot"
"length on middle stump, defended into the leg side"
"short of a length on middle stump. Backs away, exposes the stumps, slashes at it. Wants to go off side clearly, but he gets a thick edge. Carey leaps to his right and grabs this"
"length at off stump, defended into the off side"
"length at leg stump, tapped to midwicket"
"slower ball, full on leg stump. Flicked to deep midwicket"
"short of a length outside off, cut to sweeper cover"
short of a length outside off. Shuffles and looks to pull. It trickles to the keeper off the toe end
"yorker down leg side, beaten on the flick"
"length outside off, gets up with the bounce and chops it over cover"
"full on off stump, driven to mid-off's left"
length on leg stump. Looks to flick and is beaten on it. Big appeal and he is given! Looks like the batsman thought he was out because he appeared to be walking away. That might not have been too close though. Looked like would have gone down leg
"length on middle stump, punched on the up to mid-on"
length on off stump. Dropped into the off side with soft hands
full slower ball outside off. Looks to drive over cover and slices it high over mid-off
"looks to go big in the off side again, gets a leading edge to sweeper cover"
"length outside off, stays big on it and slaps wide of mid-off"
"full slower ball on leg stump, poked wide of midwicket off the front foot"
"nails this one! Length ball, might have been a cutter. Just outside off. Big bat swing under it and towards the leg side. Clears the long-on boundary"
"short of a length on off stump, cut straight to point"
"length on off stump, gets on the back foot and flicks to square leg"
"length on off stump, tapped back to the bowler off the back foot"
"length outside off, looks for the reverse sweep and misses. Past slip off the back thigh"
"length on off stump, defended off the back foot"
"googly at a length on leg stump, flicked to midwicket"
sort of a length just outside off. Backs away and taps to point off the back foot
"full slower ball on leg stump. Stands tall, tickles it fine and past the fielder in the infield"
full and in at leg stump. Poked to long-on off the front foot
"full at middle and off. Opens his stance, jumps into the leg side and slices this over point. No one deep on the off side"
<b>shot!</b> Majestic from Renshaw. Short of a length ball on leg stump. He gets on the front foot and pulls this over deep square. Lovely balance and shape as he got under this
overpitched on leg stump and smashed! Renshaw gets the whip down on this and makes it fly wide of midwicket
full and wide outside off. Reaches out and taps this to sweeper's left
"low full toss outside off, mistimed drive to mid-off's right"
"short ball at leg stump, hooks to deep square"
"yorker just outside off. Looks to slice it through point. Looks like he's got a bump ball to point off the toe-end, having met this on the full. The fielder appeals for it, as does Siddle. No chance."
"low full toss outside off, leans in and nudges this wide of mid-off. Just has to beat the infield and that's four"
"full on leg stump, flicked to deep midwicket"
"slower ball, short of a length on leg stump. Whips to deep square's left"
"length outside off, driven on the up to sweeper cover"
slower ball at a length just outside off. Dabs it to extra cover's left
shot! Length ball at middle stump. Gets the front leg across and ramps this over square leg
"full and just outside off, driven off the toe-end to extra cover's right"
"length on off stump, pushed to long-off on the front foot"
"low full toss outside off, sliced to deep backward point"
"length on off stump, pushes on the front foot, gets a thick outside edge to short third"
"length on middle stump, swept to square leg"
"googly at middle stump, on a good length. Gets in position rapidly and lifts this reverse sweep through backward point"
"<b>inside edge</b> and past the keeper and off stump. Length outside off and he looks to drive through cover, against the turn. Short fine cleans up"
"length outside off stump, beaten on the front foot as he looks to jab at this"
"short of a length on off stump, dropped into the covers with soft hands"
"<b>Run-out chance missed!</b> Length ball following him down leg side. He wants to flick, it comes off his pad. Renshaw wants the run and McCullum sends him back. Keeper can't hit the stumps at the other end"
short of a length at leg stump. Mistimed aerial pull to deep midwicket's right
"length just outside off, driven to long-off's right and Baz calls confidently to steal the second as the throw comes in"
length ball wide outside off. Chucks the bat at it and is beaten
"length and wide outside off. Punched straight to extra cover and one again, he is sent back"
"<b>blazes it past sweeper</b> and brings up his first fifty in T20s! Overpitched just outside off, gets in a half stride and brings the axe down on this. Sweeper with no chance to his left"
"slower ball at a length, wide outside off. Reaches out and slices to sweeper's right"
"low full toss on leg stump. Looks to slog and drags it down to long-on. He thinks that's a no-ball. Didn't look like it at all. It was thigh high at best, and that was as McCullum squatted into it"
"length outside off, driven straight to extra cover"
slower bounce outside off. Jumps into the off side and tries to ramp it over short fine. Beaten
"full on leg stump, flicked to deep midwicket's left"
"slower ball, full and wide outside off. Shuffles and swishes. Beaten on the sweep"
past deep cover! Short and wide and he climbs into the cut. Dive to the right won't get the fielder there
"oh superb! Serious skill-up from this guy, it appears. Length ball slanted outside off. Strides into the off side, a long way, and ramps it fine. There's no one behind square on the leg side. Great option"
"offcutter, short and wide outside off. Slashes and gets a thick outside edge between short third and point"
"length on middle stump, slogs off the inside half to deep square"
falls short of deep midwicket. Slower length ball outside off. Shuffles and sets up for a massive slog sweep. It comes off the toe-end
length and wide outside off. Beaten on the outside edge as he throws his hands at this
"yorker outside off, shuffles and is forced to jam into the off side"
lovely floaty slower ball. Length outside off and drifts away from the outside edge
bouncer just outside off. Looks to hook and is really late on that. Beaten
full and just outside off. Drives firmly to long-off's right
slower yorker floating away from middle stump. Jammed into the midwicket region off the front foot
"<b>bam!</b> Power from Renshaw. Length at middle stump, backs into the leg side and goes long-on. High and far over the ropes"
"length on leg stump, dropped into the leg side off the back foot"
yorker just outside off. Shuffles and flicks at this. Gets it off the inside half to square leg. He fumbles and they sneak a second
yorker outside off. Jams it into the midwicket region
"<b>there we go!</b> Vintage Baz. Full ball on off stump. Falls into the leg side, shaping for the ramp over fine leg. Then ends up flicking the wrists late to lift this over short third man. One bounce and four"
"length on middle stump, gets the front leg out of the way and drills it flat over Renshaw. Just clears the boundary"
spanked away! Short of a length just outside off. Backs away to make more room and gets a flat bat out at this. Sweeper can barely see that to his right
yorker following him down leg side. Tickles it into the leg side and <b>brings up fifty</b>
short and down leg side. Pulled to deep square
"googly, short of a length outside off. Cut to sweeper"
"slider at a length outside off, swept straight to short fine. Sent back and just gets the bat in as the keeper takes off the bails"
"<b>given lbw!</b> McCullum can't believe it. It looked to me like he was outside off when that hit him. Does he think there's bat on it? Length at off stump, it turns away as he gets down for the sweep and misses. Hits his back thigh. Might have been slightly outside. It was really close."
"<b>shot!</b> Length at off stump, gets down and swats this well in front of deep midwicket and his dive won't get him to stop that"
"full on leg stump, swept uppishly to deep square"
"length on off stump, tapped to long-on off the back foot"
"shot. Slower ball at a length on off stump, shuffles and looks to square. Doesn't get it between square and fine, but it's wide enough to deep midwicket's left to beat him for the boundary"
yorker just outside off. Jammed into the covers
yorker just outside off. Shuffles and drops it pitch side into the leg side. Calls for <i>yet another</i> run that isn't there. Neser rotates and throws and misses. Would have been out at the non-striker's end
"slower ball, full on leg stump. Flicked to short fine's left"
bouncer just outside off. Beaten on the upper cut
"short and wide outside off, cut to deep point"
short and just outside off. Cut to sweeper's left
"floated full on middle stump, swept to deep midwicket"
"length on leg stump, flicked to deep midwicket"
"googly, short of a length outside off. Chopped to short third"
"<b>huge!</b> What a hit from Ross. Googly, lobbed up at off stump. Gets the front leg down and nails the slog sweep to send it over the square leg boundary"
"slower ball at a length on off stump, defended off the front foot"
"full on leg stump, flicked. Tremendous bat speed on that. Deep square can't get it to his left"
slower ball at a length on leg stump. Closes the face too early on the flick. Chips it behind short fine
"short of a length on leg stump, looks to pull, cops it on the thigh"
"slower ball at a length on leg stump, tapped to deep midwicket"
yorker just outside off. Jammed into the covers
"slower ball, full toss outside off. Clubbed along the floor to deep midwicket"
short ball up at leg stump. Rides the bounce and dabs it down into the short fine area
""
"<b>that's the win!</b> What a glorious hit to bring that up. Length ball, slower one, just outside off. Skids on nicely to the bat. He gets the front leg out of the way and clatters this straight and flat over the bowler"
