"<b>Luke Ronchi is gone first ball!</b> Full just outside off, and Ronchi goes for an expansive cover drive. Thick outside edge, and pouched by first slip diving to his right. What a start for LQ! A golden duck for Luke Ronch, would you believe it"
"full on off, and he crunches a drive from near his toes. Through to cover point on the bounce"
"full onm off, and he prods forward before driving with the bat's open face through cover! Damn, this outfield is fasttttt"
"length ball, angling away after landing on off. He pushes at this off the back foot, and edges it down to third man"
"full on off, and he looks to drive straight. But the ball jags in, takes an inside edge, and flies across to the leg side. Enough muscle behind Delport's swing, that it goes through to the square-leg boundary"
"<b>drilled past the bowler!</b> Overpitched on off, and he offers the bat's full face to drill a four past Shaheen's right. Mid-off can't cut it off either"
"<b>clattered over cover!</b> Length ball on middle, angling away from Salt, and he throws his hands at this. Slices a shot, right over the infield, and the Qalandars fielders don't bother moving"
"length ball on off, and jagging away after pitching. Tries to flat-bat a shot through the off side, but under-edges it towards mid off"
"full on leg, and he tries to nudge it fine. Padded towards short fine leg, as they pinch a single in the process. Umpire gives it as runs though"
"<b>punched!</b> Length ball moving away from Delport, and he rides the bounce to firmly strike this through the off side"
"<B>muscled!</b> And that's the day's first six. Full on middle, and Delport walks across to the off side, before slapping this over midwicket!"
"length ball, just wide outside off, and cut fine past short third man! Expensive"
"full on off, and the googly spins inwards. Defended off the front foot"
"full and wide outside off, and Salt takes a huge step towards the ball. Tries to lift it over cover, but he's toe-ended the shot in the air. Mid-off gets under it, and makes no mistake! <B>Sandeep strikes right away!</b>"
"full on leg, and the googly comes into his pads. Tucked away to short fine leg"
"<b>nearly caught and bowled!</b> Length ball on leg, and Delport tries to play this with the straight bat. Struck straight back to Sandeep, and the ball hits him flush on the boot before he can get his hands to it"
"half-tracker on middle, and turning towards off stump. He rocks back, and pulls along the ground to deep midwicket"
"length ball on middle, and the wrong'un goes down Walton's leg side. Keeper can't hold on to it either, and the ball runs away to the boundary. Is that a wide? Nope, grazed Walton's thighs"
"full on middle, and angling into his pads. Delport closes his bat's face, and whips this right over short fine leg!"
"full just outside off, and Delport has gone for a golf swing. Tries to smack this over long-on, but the shot has been toe-ended. In the air for ages, and Sohail Akhtar runs towards the boundary from midwicket, but the ball pops out of his hand, and Delport survives. <B>Dropped!</b>"
"low full toss on off, and he drills a straight drive to mid-off"
"<B>short!</b> Fast and precise on off, and Delport ducks to take cover"
"<b>hammered!</b> And this one has been timed beautifully. Ball hits the digital scorecard. Full on off, but Delport makes room, and opens his stance, before clobbering this (baseball-style) over long on. Wowza"
"back of a length on off, and Delport swivels to pull the ball. <B>Top-edged</b> but without enough power, and the ball soars over deep square leg. <B>Fifty up in 24 balls!</b>"
"<b>juicy full toss!</b> And Walton makes no mistake. Nicely flighted, and the lack of pace allows Walton to get a big bat swing into his shot, and he smacks this over the bowler's head for a maximum"
"length ball on off, and the googly comes inwards. Too close to Walton's body, but he cuts to point anyway"
"length ball on off, and he punches this googly down to long on for a single"
"length ball on off, and turning into Delport. Clipped off the back foot to square leg"
"<b>spin!</b> Full on off, and turning away from Delport. He tried to clobber this straight, but the ball whizzes past his outside edge. Keeper can't grab on to it either, and the ball rolls away to short third man after hitting his glove"
"full outside off, and Walton takes a big stride forward to block Lamichhane's final ball"
"length ball on off, and angling into Delport's pads. Rolls his wrists over this pull shot, and the ball has gone to the leg-side fence"
"length ball on off, and angling inwards again. Punched off the back foot to mid-off"
"length ball on middle, and sliding in again. Delport goes deep into his crease, and hammers a back-foot punch to long on"
"length ball, just outside off, and no real spin into Walton. Struck off the back foot to long on for a walking single"
"length ball, wide outside off, but coming in with the bowler's arm. Struck off the back foot to cover"
"length ball on off, and Delport opens his stance, before punching to midwicket for a single"
"full-ish on middle, and angling away from the left-hander. Clubbed to cover, and the fielder has a shy at the non-striker's stumps. He misses, and the batsman get one overthrow runs"
"length ball, wide outside off, and cut off the back foot to third man for a single"
"<b>flicked!</b> Length ball, outside leg stump, and he closes his bat's face to exquisitely flick this past short fine leg. <B>Gets to fifty in no time!</b>"
"full on off, and he tries to drive straight to mid-off. Mistimed, and that allows them to take a single"
"full on middle, and nudged off his pads behind the square-leg umpire. They scamper across for one"
"waist-high full toss on off, and that's been tapped off the back foot to cover. Delport asks the height question, and the umpire says it's legal"
half-tracker on middle from around the wicket. Pulled along the ground to deep square leg
"full outside leg, from around the wicket, and he gets down on one knee, before <B>sweeping</b> past short fine leg. <B>Fifty partnership!</b>"
"length ball outside off, and skidding away. Walton mistimes a cut-shot to cover point"
"once again, same channel outside off, and this time the cut is hit past the infield to deep extra cover"
"skiddy ball, full outside off, and driven to the fielder at cover"
"length ball, outside off, and steered off the back foot towards point. Soft hands, and that means Delport can safely run across for one"
"slower ball, short on off, and he muscles a cut past the fielder at cover. He gets a hand to it, thereby slowing the ball's pace"
"length ball on off, and angling in. Nudged off his pads to the vacant mid-wicket region"
"full on off, and he mistimes a straight drive to long off for a single"
"full on off, and mistimed to long on"
"back of a length on leg, cramping Delport for space, and punched towards deep midwicket for a single"
"short, wide outside off, and a bit of tennis-ball bounce over Walton. He looks for the wide, but umpire Gough says that's fine. <b>Drinks break</b>"
"<B>reverse swept</b> through the infield! Full on leg, but he picked the googly early, and pierces the tiny gap between short third man and point"
"length ball on leg, and the googly is punched off the back foot to long on"
"slider outside off, and Walton cuts off the back foot to short third man"
"length ball on off, and the ball that's sliding inwards is punched off the back foot to long on"
"full on off, and Delport settles down on one knee, before <B>slog sweeping</b> over deep midwicket! What power. Amazing way to get <b>Islamabad past triple digits!</b>"
"length ball on middle, and spinning away from Delport. Tapped back to the bowler"
attempted yorker but it comes as a low full toss. Slices a drive to deep extra cover
"another attempted yorker, that's been toe-ended down to mid-off for a single"
"knee-high full toss, and punched straight back into the <B>non-striker's stumps!</b> Breaks the wicket before dribbling away to mid-off. They run across for one"
"full on off, and he swings across the line towards the leg side. Mistimed to deep midwicket"
"back of a length on middle, and he gloves a pull right over the keeper Riki Wessels! A good ball, and Walton rides on a bit of luck"
"length ball on off, and tapped off the back foot to cover. They scamper across for a single. Nine off the over."
"full on middle, and going down the leg side. Walton looks to flick this towards fine leg, but can't get the connection"
"<b>up and over extra cover!</b> Length ball outside off, and Walton dances down the wicket, before connecting well with an uppish drive. Gets enough behind that shot to go the distance. 72 metres"
"slower ball, full on off, and caressed down the ground to long on for a walking single"
"<b>slapped!</b> Length ball angling across, and Delport leans into his cut-shot. Muscled square past point, and the man in the deep has no chance"
"overpitched on off, and he absolutely hammers a check-drive down to long off"
"back of a length, wide outside off, and the ball bounces over Walton's head. Umpire takes his time, before calling it a wide"
"full on off, and driven to long on"
"full and wide outside off, and slices to deep midwicket"
"full on leg, and he tries to slog this towards deep midwicket. Inside-edged onto his pads, and they scamper across for a single"
"low full toss on off, and driven to mid-off. The fielder takes aim at the stumps, and hits the <b>non striker's stumps!</b> Walton was in though"
"waist-high full toss on off, and he slices a shot on the off side. Finds the gap between cover and mid-off, and that's another four. <B>Delport asks for a height no-ball</b> but the umpire isn't interested"
"yorker outside leg, and he taps a drive to mid-off"
"slower ball, back of a length on off, and he's cramped for space. Mistimes a pull, straight to midwicket"
"length ball, wide outside off, and punched to cover for a single"
"<B>clean as a whistle!</b> Full outside off, and he drags a slogged shot over wide long on! Picks the slower ball early, and hammers this into orbit"
"<b>low full toss</b> but Walton flicks this over deep midwicket anyway! A proper swing of the bat, and even that mistimed shot has gone over the boundary. Carnage. Run-rate over 11 right now"
"yorker, just outside off, and driven to long-off for a single"
"length ball, on off, and cut away to point. Mistimed though. <B>Islamabad reach 150</b>"
"<b>middle stump gone!</b> Walton misses his half-century. Yorker on middle, and Walton goes across the stumps to play a cheeky sweep. He can't connect, and the ball pegs middle stump back. Relief for Lahore after a long time. End of the <b>118-run partnership</b>"
"slow and full outside off, tentatively driven to cover. <B>Wiese's spell: 1-44</b>"
"full outside off, and clobbered over the bowler's head! Welcomes Rahat for his second spell with a four. Ball fell <i>just short</i> of the boundary-foam at long-off"
"slower ball, full toss on middle, and lifted over Rahat. Falls a couple of metres short of long off"
"full outside off, and angling further away. He goes for an expansive drive, but can't get bat on ball"
"full outside off, and he goes to drive this over cover. Slices the shot over point instead, and falls short of the fielder near the boundary"
"full toss on leg stump, and he offers the bat's straight face to check-punch. Driven over Rahat's head, and the bowler ducks under it to take cover. Good decision, that was struck hard. Long-off cleans up"
"low full toss outside off, and he drags a shot over the non-striker's head. Falls in no man's land"
"full outside off, and Asif picks the legbreak well. Down on one knee, and smacked over the bowler's head"
""
"full on off, and he gets down on one knee to swing across the line. <B>Hit so hard</b> that it clears the backward square fence. Lamichhane getting hammered"
"<b>that's hundred for Delport!</b> Raises his bat after getting there, and Asif runs to hug him. Full on off, and the googly has been slogged over deep midwicket. Big punch in the air too. He's enjoyed this knock"
"full on leg, and he reverse sweeps. Ball hits his pad and rolls away to short third man. Safe, because impact's outside leg stump"
