"leg-stump line, and the batsman misses the flick off his hips. Hits his front thigh"
"good length on off, and just too easy for these two set batsmen. Dabs this down to third man for the second time in the over"
"fuller, but wide outside off. Fakhar opens his stance, and slaps this through the covers to the man in the deep. <b>Time for drinks as well</b>"
"good length on leg stump, and that's been punched off the back foot to mid on"
"full on leg stump, and driven to the leg side"
"full on middle, and that's been slogged to the leg side. Man in the deep though"
flicked off his pads to deep midwicket for a walking single
"length ball on middle, and he makes room to try and punch it past cover. Finds the fielder though"
"full outside leg, and down he goes - on one knee - to sweep this behind square. Trickles down to fine leg"
"full outside off, and driven through the off side. Pierces the gap past extra cover, and the fielder in the deep is a mere spectator"
"good length on off, and tapped off the front foot to point"
"length ball on off, and Fakhar backs away to make some room. The ball's still too close to his body, so Fakhar steers it to point off the back foot"
"slower ball, wide outside off, and cut away to point for a single"
"full on off, and driven down the ground to mid off. They take off for a quick single"
"full just outside off, and pushed off the front foot to cover point. Fakhar says no to the single though"
"good length on middle, and pulled along the ground to deep fine leg"
"good length on leg stump, and Imam flicks this off his hips to midwicket"
"good length on leg stump, and nudged off his hips to fine leg. They jog across for a single"
"<b>Harakiri!</b> Full on middle, and Fakhar defends with soft hands. The ball stays near Fakhar's toes, and off they go for a single. The bowler runs towards the ball, picks it up, and then breaks the stumps, but Imam's dive should save him. But oh wait, looks like Imam's bat is in the air. It's crossed the crease, but it hasn't been grounded at all. What a terrible way to get out. There's the breakthrough"
"full on middle, and defended away to get off the mark"
"full on middle, and defended off the back foot to see the over out"
"good length on middle, and defended off the back foot"
"good length on off, and defended off the front foot"
"good length on middle, and worked off his pads to the leg side. Goes to the man in the deep"
"full just outside off, and driven to cover off the front foot. They take off for a single"
"good length outside off, and cut off the back foot to point. Finds the fielder"
"full on off, and driven to the on side off the front foot. Finds the fielder at midwicket"
"full on middle stump, and driven down the ground to mid on. Finds the fielder"
""
"short outside off, and cut away to the deep point fielder"
"good length on middle, but angling across the batsman's body. Fakhar tried to pull but the ball goes over his bat"
"quick! Full on off, and Fakhar leans into a slap-drive through the vovers. But straight to Tiripano"
"full outside off, and <b>drilled</b> through the covers. Proper bat speed to slap this away to the extra cover boundary"
"full on off, and spinning into Babar. He smothers it to the leg side for a quick single"
"full on leg, and he sweeps - down on one knee - to deep backward square leg"
"tossed up outside off, but Babar takes a big stride forward, and drives through the ball's line. Deep extra cover cleans up"
"good length on off, and that's been carved off the back foot. Brian Chari, at deep extra cover, races around the boundary and stops the four"
"good length on leg stump, and punched down the ground to long off. Just a single"
"full on leg stump, and Babar can't whip this away. Hits his front leg, but impact's outside the stumps. The bowler appeals, but not given"
"good length on off, and angling across the batsman. Swing and a miss from Fakhar"
"full on off, and driven away from his body. Goes straight to cover"
"full on off, and that's been hit straight back to the bowler with the straight bat. The bowler sticks his right leg out and stops the ball from going past him"
"good length outside leg, and Fakhar tries to clip this fine down the leg side. Mistimes it in that direction as the ball rolls away to short fine leg. Keeper goes chasing after it"
"back of a length outside off, and cut away off the back foot. Can't pierce the gap though"
"slower ball, on a length outside off. Babar tries to run this fine to third man, but he can't make the connection. Through to the keeper on the bounce"
"too full on leg stump, and that's been <b>swept</b> away - down on one knee - to the backward square boundary. Super shot"
"good length on middle, defended off the back foot"
"full outside leg, and Fakhar shapes away to try and slog. But the ball's too full, and therefore he check-punches to midwicket"
"good length on middle, and Fakhar tries to carve it away past point. Finds the fielder though"
"full on off, and driven off the front foot. Goes to extra cover"
"good length on middle, and turned off his pads to the deep fielder on the leg side. Enough time to stroll to the other side and collect the run"
"back of a length on middle, and soaring over Fakhar's head. No trouble for the umpire to call <b>wide for height</b>"
"length ball on middle, and punched to mid off. The fielder there is no the circle, and therefore Fakhar can take a safe single despite the ball going to the man"
"good length on middle, and flicked away off the pads to deep midwicket"
"full on off, and fended away to cover off the front foot"
"good length on middle, and punched off the back foot. Straight to midwicket though"
"full and wide outside off. Fakhar reaches at it, and mistimes a drive to the fielder at cover"
"full outside off, and driven away with the angled bat. Point gets his finger to it, and that slows the ball down, but the batsmen get a single anyway"
"slower through the air. Full on middle, and fended back to the bowler"
"length ball on middle, and tapped down the ground to wide long off"
"good length on middle, and cut away off the back foot. Goes down to the point fielder in the deep"
"full on off, and driven down the ground. The bowler runs to his left and intercepts"
"full on off, and defended off the front foot"
"good length on middle, and flicked off his pads to deep midwicket"
"good length outside off, but Babar picks the wrong'un well. The ball comes into the batsman, and Babar cuts it past point to the fielder in the deep"
"full outside leg, and defended off the front foot"
"full outside leg, and Fakhar drives with the spin to long off"
"good length outside off, and cut away off the back foot. Two more for Babar as Muzarabani runs around the boundary line"
"slower through the air, and this time he taps it to point. They rotate the strike"
"full on leg, and swept away behind square. Blocked by short fine leg with <b>Fakhar on 93</b>"
"full on middle, and Babar takes a big stride forward to defend"
"full on middle again, and Babar takes a few steps in front to defend"
"length ball outside off, and angling into Babar. Defended off the back foot this time"
"full outside off, and driven to the deep extra cover fielder. Two men there in fact, but the ball sneaks through between them! Roche's diving effort just not good enough"
"full on middle, and defended away to the leg side"
"good length on middle, and flicked away to short fine leg"
"full on middle, and tapped away to the leg side. Straight to midwicket"
"overpitched on middle, and driven down the ground to long on"
"full on middle, and swept away! Man in the deep, but he dives over this ball. Did place it really well, but the fielder had put in the hard yards to get to the ball. <B>Moves on to 97</b>"
"good length on off, and cut away with the turn to deep point"
"full on middle, and driven to mid on off the front foot"
"full on off, and Babar comes down the wicket to flick. Played to midwicket"
"good length on leg stump, and worked away to short fine leg. Babar says no to the single"
"good length on middle, and the punch has been mistimed to cover"
"good length outside leg, and Fakhar bunts this down to long on for a walking single"
"full on off, and driven down the ground to long off. Gives Fakhar the strike"
"<b>there's the hundred!</b> His second in ODIs. Full on leg once again, and Fakhar comfortably nudges it to fine leg. A very sedate celebration, but the Pakistan boys in the pavillion give him a rousing applause"
"full outside leg stump, and Fakhar goes further down leg to try and make some room. Mistimes a drive to the leg side instead"
"good length on off, and turning away from Fakhar. He slaps it away to the man in the deep for a single"
"good length on off, and that's been pulled along the ground by Babar for a single. Men manning the boundary line on the leg side"
"short outside off, and cut away hard and fast! Straight to point though"
"tossed up outside off, and Fakhar can't resist! Goes for the slog sweep, but the ball goes over his bat. Smart work from the keeper"
"good length outside off, and carved away to cover"
"full outside off, and Fakhar connects with the big shot. Thumps a hard drive down the ground, but straight to wide long off"
"aimed at his legs, and Fakhar - once again - flicks it off his pads to square leg"
"full outside off, and he comes down the ground to drive to long off"
"full on leg stump, and Fakhar taps this down the ground to long of. Dealing in singles now"
"good length outside off, and cut away"
"length ball on off, and he tries to cut this behind point. Goes to the fielder there on the bounce though"
"full on leg, and tapped to the vacant leg side region for a quick single"
"good length on leg, and he flicks it straight to short fine leg. Could've been a catch, but the fielder there <b>drops it!</b> Deceived by the slower ball and Fakhar scoops this by mistake. Tendai Chitara the guilty man"
"good length on leg, and he taps this away to point. Wants a single, but Babar sends him back. One run-out is enough per game, reckons the Pakistan batsmen"
"full and wide outside off. Saw Fakhar coming down the wicket, and delivers this slightly wider than usual. Fakhar properly deceived as the ball goes through to Murray, the keeper"
"back of a length on leg, and nudged off the back foot to the vacant fine-leg region"
"length ball on middle, and going through to the keeper as Fakhar tries to ramp it over"
"full and wide outside off again, and Fakhar can't reach at this ball. It's inside the tramlines and the umpire says that's a legal ball. Over"
"full on off, and drilled down the ground to long off. A walking single"
"good length outside leg, and Fakhar misses the cut shot. The ball goes under his bat, and then through the keeper's legs for a bye"
"full on middle, and he sweeps this fine down the leg side! Placed to perfection, and deep midwicket just can't cut it off"
""
"good length outside off, and cut away to the point boundary. Makes some extra room, and sends this into the boundary. <B>Scores tied</b>"
"good length on leg, and fended back to the bowler"
"short and wide down the leg side, and <b>that's the end!</b> Pakistan win by nine wickets."
