"leg-stump line, and the batsman misses the flick off his hips. Hits his front thigh"
"good length on off, and turned off his hips to square leg. Nobody there, and enough time for the batsmen to jog back for two"
"back of a length on off, and that's been gently defended off the front foot"
"full outside off, and <b>driven past Hasan Ali</b> to the long-off boundary. Uses the bottom hand to generate some extra power, and plays with the bat's full follow through. A sight for sore eyes!"
"Hasan goes short for the final ball! Masakadza was expecting it, as he goes onto the back foot for the swipe over point, but the ball takes some extra bounce and goes over his bat to Sarfraz"
"full outside off, and comfortably driven to long off for a walking single"
"flighted onto middle stump, and Musakanda smothers a drive to the fielder at long on"
"full on middle, and pushed away from the turn to midwicket"
"length ball outside off, and he goes onto the back foot, before punching down to long on for one"
"full on leg, and he goes for the big sweep behind square. Slips while playing the shot, and the ball gets buried under his body"
"full on middle, but spinning into his legs. Pushed to midwicket with soft hands, but Mohammad Nawaz can't stop the single. Sarfraz isn't too happy, as expected"
"back of a length outside off, but Musakanda keeps his eyes on the ball, and dabs it to third man for one"
"good length outside off, and that's been steered to backward point off the back foot"
"back of a length outside off, and pulled away to deep midwicket"
"<b>Too short!</b> Even if Sarfraz was as tall as Andre The Giant, he wouldn't have had a chance to hold onto that delivery"
"length ball outside off, and he crunches a punch to the deep point fielder manning the boundary line"
length but too wide outside off. Musakanda gets onto the back foot and slaps this behind point. No stopping that!
full outside off and he mistimes his attempted cover drive. Trickles back to the bowler
"full toss on off stump, tapped to long-on off the toe-end"
"floated outside off, can't squeeze this drive past the bowler"
"slider, back of a length on off stump. He looks to punch it and gets an inside edge onto thigh"
"short of a length on off stump, gets deep in the crease and punches this to long-on's right"
<b>whack.</b> Drops the legbreak very short and Masakadza is quickly onto his back foot to swing this away. Gets it well in front of deep midwicket
"short of a length outside off, opens the face and steers to third man"
length and in at off stump. Defended into the off side from the crease
"length outside off, neatly punched to sweeper cover"
"short ball at the ribs, pulled to deep square. Wrists nicely on top of the ball to keep this down"
another nice-looking pull. Short ball gives him plenty of time. He keeps it along the floor
"short of a length in the corridor, can't nudge this through cover off the back foot as the ball slants in rapidly to get the inside half of the bat"
"<b>slapped over wide long-on.</b> Shadab might be having some trouble with control because of the cold. This one is a full toss, knee height outside off. A clean, full-blooded swing from the batsman"
short and pushed through fast outside off. Punched to sweeper cover
"full and flat outside off, driven back to the bowler"
"short and wide outside off, cut to sweeper's left"
"short outside off, chopped to sweeper cover"
short again. A slider this time. He pulls it between deep midwicket and deep square
"length outside off, punched to sweeper cover on the up"
length ball angled in at off stump. Forces him to defend down the pitch
"short ball outside off, can't get the cut past point"
"short ball outside off, punched to sweeper cover off the back foot"
"<b>big appeal</b> and it's given! Is he a little unlucky there? Shuffles across and looks to flick a length ball. He's struck in front of middle and leg stump with the one that angles in. That could have been going down leg, but it's hard to tell. It doesn't matter - Hasan Ali rips to life his generator. He has broken the partnership."
"length ball outside off, blocked on the front foot"
"full outside off, defended on the front foot"
"tossed up outside off, driven on the up to extra cover"
"slider, pushed full at middle stump. Driven back to the bowler"
"short ball outside off, cut to sweeper's right and he'll need to put in a slide after running to his left"
"short ball outside off, cut to sweeper cover off the back foot"
another slider. Back of a length and catches the inside edge as he looks to flick this
"length ball on off stump, blocked solidly on the front foot"
"short of a length on leg stump, clipped to deep square from the crease"
"short of a length outside off, sliced to point with the angle"
short of a length and pushed across the channel. Left alone
"length ball wide outside off, left alone"
"short and wide outside off, slashes away from the body and gets a thick outside edge down to third man"
attempted googly doesn't land. Looks to whip it from off sutmp but toe-ends it to midwicket
"full outside off, driven to extra cover"
"good length on off stump, blocked solidly on the front foot"
"short outside off, punched to long-on off the back foot"
nicely tossed up. Length outside off and makes him reach out as he drives to extra cover. Imam sharp as ever there
"short of a length outside off, under-edge to point as he looks to cut"
"short and wide outside off, gets the cut off the toe end and it rolls into the covers"
<b>beaten</b> as he swishes at one without feet. Length ball fizzing wide outside off
short ball in the channel. Leaps to get on top of it and steers it into the gully region
short of a length and nicely punched past extra cover. Good balance and a high elbow. Sweeper cover has a long way to run to his right but he does and fields with a tumble
"length ball wide outside off, left alone"
"glorious shot, but sweeper cover is there again to put in a slide. Leans into this length ball wide outside off and slices it past point"
"length ball just outside off, pushed into the covers off the front foot"
"length ball sliding in at the pads. Leans in, taps it to long-on on the up and brings up his <b>34th ODI fifty</b>"
"loopy outside off, driven back to the bowler"
"short of a length outside off, punched to long-off from the crease"
"tossed up outside off, tapped to extra cover off the front foot"
length ball on off. Comes on really slow off the pitch and Masakadza is forced to check his punch. Taps it back down the pitch
short and speared into the corridor. Defended off the back foot
"short of a length at off stump, defended off the back foot"
"length ball outside off, tapped to extra cover off the front foot"
"full outside off, driven to sweeper cover off the front foot"
"length ball angled in at leg stump, blocked into the leg side from the crease"
"<b>leading edge</b> as he mistimes a hook. Or is it the toe end? Either way, it flies safely between point and extra cover. That two-paced bounce again He's through the hook early"
"short of a length outside off, looks to punch through cover but it's mistimed and rolls back to the bowler"
<b>shot.</b> Masakadza hitting through the leg side is quite a phenomenon. Plonks the front leg out into the off side and uses the angle to sweep him over the long leg boundary
"length outside off, steps out and cops it on the pad outside off as he looks to flick"
"short of a length outside off, punched to long-off"
"length on off stump, pushed back to the bowler"
"length outside off, driven to extra cover"
"length ball spinning in at leg stump, punched to long-on"
"floated up nicely outside off, driven against the turn to extra cover"
"length on off stump, leans in and flicks to long-on"
"<b>high in the air</b> and taken at deep midwicket. It's a good catch, this was really high and swerving to Asi Ali's left. He followed it and lunged low to his left to hold on. Masakadza was looking to swat Malik far over the leg side with a slog sweep but got it right off the toe end. A bad end to a good innings. He won't be happy in the manner it has come."
