"good length ball on sixth stump, left alone by Harvey."
"fuller and tighter on fourth stump, Harvey with an awkward flat-footed poke, beaten badly."
"full on the legs, flicked away through backward square."
"<b>Bartlett reels in a whale!</b> Full and swinging into the stumps, Marsh is slow getting his feet moving and getting the bat down. Pitches in line, struck in line with middle and leg just below the knee roll, was definitely going to take out leg. Big appeal upheld without much delay."
"back of a length on fifth stump, left alone."
"good length ball on fourth stump, prods this with soft hands into the covers to get off the mark."
"overpitched on fifth stump, drives firmly but picks out extra cover."
"fullish length outside off, slashes at this and slices it to deep third man."
"too full and dragged wider outside off this time, takes a step forward and carves this cleanly over extra cover this time around and races to the rope."
"<b>missed runout!</b> Full on off, prodded nervily toward mid-off and sets off for a suicide single. Bryant has a free shot from eight yards but bounces this throw just wide of the non-striker's stumps with Harper a yard short."
"full on the pads, tries to whip this away but it trickles into square leg."
"full and wide, slices this high over backward point, lands just short of the rope before trickling into the foam triangle."
"fullish length on off stump, defended."
Harper shuffles well outside off stump and scoops this full length ball over the keeper to the rope.
"bouncer over middle stump, Harper ducks under it to leave"
"shuffles well outside off again to try another flick over the keeper, Steketee counters by bowling this much wider outside off, almost off the pitch and Harper checks to prod it into the covers."
"good length ball on the stumps, prodded into midwicket."
"full on middle, prodded back down the pitch, diving stop by Steketee in front of Harvey."
"good length ball on the legs, poked tentatively into midwicket."
"length ball on the stumps, Harvey whips this high over backward square, just clears the man stationed on the boundary there by about five yards."
"full and wider on fourth stump, tries to slam this straight down the ground, not timed well but still gets enough lumber on it to clear mid-off up in the ring before it's tracked down and relayed in for a pair."
"length ball on fourth stump, Harvey tries to slap this on the up over cover and gets a thick edge over short third man before it races away downhill to the rope."
"good length ball on middle and leg, defended."
"length ball on fourth stump, tries to chop this through the off side and gets a bottom edge that trickles past leg stump, Harper calls Harvey through for a tight run to short fine leg."
"full and wide, driven through the covers."
"full on the stumps, driven down the ground to long-on."
"<strong>Mujeeb who? Wicket third ball for Kuhnemann! Sharp one-handed catch by Burns leaping at backward point!</strong> Bowled on a good length but wide outside off, Harvey tries to cut this over the off side ring but doesn't get the elevation and Burns does a bunny hop sticking his right hand up high over his head and plucks this comfortably. Wasn't coming in at a very sharp pace so it was more about timing the jump than anything and Burns did that superbly."
"full and slanted into the pads, big lbw shout denied. Clearly missing leg."
full and flicked through the leg side.
full and punched down the ground.
"full in the channel on fifth stump, prods at this away from his body and a thick edge taken low tumbling to the keeper's right. More of a Test line than T20 but gets rewarded nonetheless."
"short on the body, pulls this flat and well short of deep fine leg, fielded on a bounce."
"full on middle, chipped just short of short midwicket."
"short on off stump, called a no ball as the second short ball of the over. Frankly an absurd call as Finch aborts a hook shot. This one was over the shoulder but the previous delivery in the over was not."
makes use of the free hit carving a full delivery high over the ring.
good length ball flicked through the leg side.
"short and wide, goes to cut but is beaten."
"full on the legs, flicked to midwicket."
"full on off stump, punched back to Kuhnemann."
slanted full on the pads and Finch seizes the chance to tuck this free single into the midwicket gap.
"good length ball on off, defended."
"back of a length on the stumps, chips this to long-on."
"full on off, driven to the cover sweeper."
"short and wide, taps a cut gently behind point for one."
"length ball on fifth stump, Fraser-McGurk swats this flat through long-on, fielder was very very wide and has work to do to keep this to two."
"classy shot! Back of a length outside off, just keeps his hands back to punch this with soft hands along the ground past backward point, places it perfectly and timed well enough to beat deep third man and the cover sweeper."
"bouncer wide outside off, could've been given as an extra for the line or the height. Umpire spoiled for choice and stretches his arms."
"good length ball on fourth stump, goes back to punch past Finch and chased down by short midwicket."
"squares Finch up with a fullish length ball on fourth stump, goes back to defend and a thick edge flies wide of the keeper and races through third man. Excellent ball goes unrewarded."
Wildermuth gets rewarded this time though! Identical fullish length to the previous ball but this time seams in a touch instead of holding its line. Finch is defeated playing back instead of coming forward and struck low below the knee roll beaten in defense prodding down the wrong line. Hit in front of off stump. Definitely ripping out middle.
"full on off, defended back to the bowler."
"skips down the track and misses a punch on a delivery darted flat into the pads, big lbw shout but it was sliding down leg, caroms to short third man."
"full on the pads, flicked through midwicket."
"full on middle, driven to long-on."
"full on middle, punched back to Kuhnemann."
"full on middle again, defended back to the bowler again."
good length ball flicked off the stumps through midwicket.
"full on fourth stump, punched firmly but straight to extra cover."
"good length ball on fourth stump, punched into the covers."
"overpitched on off, punched straight back down the pitch through mid-off, cut off at the rope."
"fullish length ball on fourth stump, prodded into the covers."
"back of a length tailing down leg, Webster flicks this off his hips, got it much much finer than intended, keeper dives and gets a glove to it but only manages to parry it to the fine leg rope. Umpire signals leg byes so technically not a drop. Would've been interesting to see the call had the keeper held on."
"full on the stumps, drives cleanly over mid-off and gets to the rope."
"full on off, pushes this into the off side."
"full on off, punched high over Kuhnemann to long-off."
"full on off, defended."
good length ball defended to mid-off.
"full on the legs, flicked through square leg."
"back of a length on fifth stump, punched to the cover sweeper."
"good length ball on off, defended to mid-off."
"short and wide outside off, goes to cut and beaten at 135 kph."
"back of a length on middle stump, Fraser-McGurk goes back to defend and is beaten, struck on the box. He's on his knees sucking wind."
short and punched through the ring.
on the legs and flicks this through square leg.
"full on the legs, flicked through midwicket."
"good length on the legs, flicked to deep midwicket."
"full on the legs, flicked through midwicket."
"<strong>dropped at long-on by Steketee!</strong> Overpitched on off stump, lofted drive wide of long-on, Steketee was cheating 10 yards in off the rope positioned to deny two runs along the ground and it costs him here as he runs to his right and leaps up, gets one hand to this but can't clasp on."
"short on the legs, flicked to deep square leg."
good length ball flicked through the ring.
"full on the legs, can't flick this away."
"full again, flicks this through midwicket."
"full on middle, driven back down the pitch, poor effort by Denly unable to stop this and it beats long-on and long-off as well to the rope."
"full on the legs, flicked along the ground to long-on."
"full on the legs, driven to long-on."
"full and sliding into the pads, misses a flick, lbw shout denied. Looked to be going well down leg."
"full toss at thigh height on off stump, could've easily gone for six and flubs this shot just over the bowler to long-on."
"pitches it this time full on the stumps, driven to long-on."
"length ball slanted across fourth stump, goes to pull and beaten."
"slower yorker on middle, jammed out back to Steketee."
"slower bouncer on leg stump, through the shot early."
"finishes the over as he started it with a thigh high full toss on off, and just as the first ball was this one is also flubbed by the batsman wide of the bowler down the ground for a limp two."
"<b>nearly a wicket!</b> overpitched on leg stump, clears the front leg and skies this high over mid-on, Bryant charges back from the ring during the Power Surge and dives trying to claim an over the shoulder catch but it lands just about a foot out of his reach. Brilliant effort but never got a hand to it in the end and they take a pair."
"good length ball on fifth stump, batsman shuffles way outside off stump to flick over the keeper."
"good length ball on off, can't get this away."
"attempted yorker on middle, carved to backward point."
"short on the hips, pulled off the thigh to short fine leg."
"good length on the legs, flicked through square leg for a pair."
"in the slot on fifth stump, goes to heave over midwicket and beaten."
"length ball on fourth stump, swats this flat over cow corner, just barely clears the rope. Super shot. Where was that in the Power Surge?"
