"he opens with a back of a length ball outside off, which is chopped on the back foot to backward point"
"pitched further up now on off, draws the batsman forward. Shahzad obliges and push-drives it to the left of the bowler"
"dragged short and outside off, Shahzad simply muscles a pull to the right of mid-on. The ball purrs away to the boundary"
"Shahzad aims to clear mid-off. No dice. Instead, he scoops a catch to mid-off running back. Shahzad backs away outside leg, collapses his back leg, and lines up for an inside-out loft. This is on a length on off stump. He checks his shot at the last instant and finds Kevin O'Brien"
"pretty full and veering into the pads, tickled to square leg"
"just short of a good length and outside off, left alone"
"back of a length and outside off, he ventures across the line and slugs the ball away to deep square leg"
what a way to get off the mark. Stanikzai runs down the track to his first ball. Takes a half-volley and belts it in the air to the right of mid-on
"good length and tucks up the batsman for room now, played back to the bowler"
"fuller than the previous ball, the line is outside off, front-foot drive to extra-cover"
"good length ball angled in at off stump, poked to the bowler running forward and to his right. The non-striker strays out in search for a non-existent single. But O'Brien can't nail the stumps down"
"Stanikzai rushes down the track, does so early, this is a shoulder-high rising ball, which beats the hook lavishly"
"tight line on off, patted into the covers for one"
"very full and outside off, driven with the wrists but straight to mid-on"
"back of a length and just outside off, swatted away to deep midwicket"
"<strong>two wickets in two overs for McCarthy</strong>. Back of a length and outside off, forced away in the air. Long-on runs across to his left and safely pouches the catch"
"back of a length on off, hangs back, opens the bat-face and dabs to cover"
"back of a length and outside off, flat-batted ram-rod straight down the ground, so much so it hits the stumps at the non-striker's end"
"full on the stumps, pushed back to the bowler"
"back of a length and pushed really wide outside off, the batsman swishes and misses. Off-side wide"
"on a length on off, strides forward and taps the ball into the covers"
"very full on off stump, whipped to the right of mid-on"
"length and outside off, offcutter? Tarakai unleashes a clubbing swing and sends the ball soaring into the grass banks beyond wide long-on"
"too straight in line, picked off to deep square"
"full and wide outside off, his front foot is nowhere near the pitch. Slashes and only connects with thin air"
"half-volley outside off, leans into it and thrashes a drive past mid-off"
"fullish on off, defended to cover"
""
"good length on off, opens the face and runs it to point"
"full and outside off, driven on the up to  mid-off"
"half-volley on the pads, picked up and dispatched over midwicket. Flat six"
"short on off, cramps the batsman for room. Played back to the bowler"
"full and drifts in on middle, knocked to midwicket on the front foot"
"short and darted in on middle, stands tall and punches a single to long-on"
"tossed up full on off, no turn, worked down to wide long-on"
"back of a length on middle, flicked on the back foot through the midwicket region"
"speared flat and down leg, the batsman misses the sweep and is rapped on the front pad outside the line"
"short and angled in, punched down to long-on for another single"
