he hits a hard length - neither driveable nor pullable - stabbed back to the bowler
"short on the thigh pad, Fakhar falls over the flick and sneaks across for a leg bye"
"su-weeeet from Babar, but the ball plugs in the outfield. Back of a length and outside off, hits on the up and hits through the line. The ball skips away to the right of the covers"
"keeps it short to Fakhar, he is a touch late onto the pull as the ball rolls to the covers after <strong>hitting him on the midriff</strong>"
"back of a length and veering into the pads, clips a single between midwicket and mid-on"
"hip-high short ball outside off, sits up, but Babar simply flaps a pull to mid-on's right"
<strong>the plan to Fakhar is clear: deny him room and target the body</strong>. Short and pings him on the midriff again as Fakhar swings and misses
"pitched up and outside off, Babar tips forward and scoops it to mid-off"
"full-toss on middle, bunted to mid-on"
"half-volley on the pads, a whirl of the wrists sends the ball away to the midwicket boundary - first of the night"
"strays on the pads again, this inswinger is neatly picked off to fine leg"
"short and angling away outside off, Fakhar aims to pull it over midwicket. Instead, he loses his shape and top-edges it to the left of the keeper and right of slip. The ball races away to the third man fence. Replays suggest <b>Carey dived but the ball burst through his gloves</b> That'll go down as a dropped chance"
"on a length and on off, patted to the covers"
"dug in short on middle, sits up again, Babar latches onto it and middles a pull over midwicket. Lovely timing"
"back of a length and on a fourth-stump line, angled down to deep third man for one"
"can't pitch it up and offer room to Fakhar. He frees his arms, checks his drive and hits it straight of mid-off. He picked the offcutter and adjusted to the change of pace"
"back of a length and on middle, tip and run to the covers"
"short at the body, hangs back and clips a single to the square-leg region"
"starts with a slower ball on off, defended into the covers"
"shorter on off, guided behind point off the back foot for one"
"slower cutter on middle, hangs back and glides to point. Can't take on Maxwell's arm"
"short at the chest, <strong>spliced in the air</strong> but evades Lynn running back and across to his right from short fine leg"
"on a length and outside off, run down to third man"
"Fakhar races down the track, back of a length on middle, he hacks it up and over the covers"
<strong>Big Billy has bounced out Fakhar</strong>. The plan has worked. Banged in short and angling away outside off at 148.4ks - pace like fire - the opener is hurried into a hook against the angle. He skies it to short cover off a top edge
