"<strong>beaten!</strong> A good delivery first up, just a wobbler on a good length, hinting to shape in and it seamed away beating the prodding edge"
"Warner walks at Shami, he bangs in at 136kph, Warner jumps up and defends with soft hands into the off side and they pinch a single"
"138kph, back of a length outside off, he's up on his toes, working to forward square"
"good length wide of off, Finch walks at him and leaves"
"back of a length, fourth stump line, he walks at him and is hurried, jumping in defence"
"back of a length, nipping in, it comes off the thigh guard and runs fine but KL Rahul is able to stop it"
"139kph, good length, top of off, he defends on the front foot to mid off"
"141kph, back of a length, he's back and defending close into the off side, there's no call but they go based off eye contact. Finch dives but he gets there well ahead of the fielder"
"144kph, full, hint of inswing, Finch drives elegantly to mid off"
"142kph, back of a length on off, he's back and working to mid on and again they sprint immediately on contact to pinch a single"
"144kph, yorker length on off, Warner digs it out easily"
"<strong>superb punch off the back foot through point!</strong> Just back of a length but a hint of width, Warner sits back and just punches it square with the bottom hand into the gap. Timed it perfectly"
"137kph, back of a length, nipping back off the seam, Finch gets an inside edge onto pad"
"good length, fourth stump line, he presses forward and pushes to cover"
"139kph, excellent length, fourth stump, Finch defends off the sticker of the bat"
"138kph, good length fifth stump line, Finch shuffles out but has defend. Shami on the money at the moment"
Finch walks and <strong>has a wild swing and miss</strong> trying to hit a length 139kph ball over mid off. He missed it by miles
"Finch walks again, 140kph, back of a length, he defends on the move to the gap at mid off for one"
"144kph, <strong>he drives on the up in the air but wide of mid off!</strong> Dangerous to hit it waist high but he needed to because the length wasn't there and he found the gap"
"144kph, fuller, spearing into off, he defends on the front foot"
"144kph, shorter length, swinging way down leg, Rahul has to dive a long way to knock it down but they get an extra run on top of the wide"
"144kph, back of a length off stump, he sits back and angles the blade to run it wide of third man and he sprints back for two. Shami didn't come close to running him out. Warner is so quick"
"<strong>flash and miss</strong> at a 147kph, length ball just wide of off. Not quite short enough or wide enough to cut"
"145kph, back of a length on off, he's back and defending to cover"
"<strong>is Warner run out?!</strong> It's gone upstairs. He's just home with an amazing dive! He pushes to mid off taking on Agarwal, who races in and underarms and hits but Warner beat him by inches with a full length dive"
"good length, fourth stump, he's opening the face and running to third man"
"<strong>edged but safe</strong> along the ground fine of third man. Perfect length, caught on the crease defending but there is only one slip in. It was way wide of where second might have been anyway"
"139kph, drifting too full and straight, he picks this off, into the gap wide of mid on, he didn't nail it but the running is superb to get three"
"142kph, Warner lofts down the ground, it was an aggressive swipe and he sliced it a touch back over the bowler's head but they get three"
"138kph, short and wide, he cuts in the air but safe towards a wide third man"
"142kph, good length, top of off, he defends from the crease to point"
"142kph, short ball angled over leg, Finch ducks under it"
