turned to the onside.
"in the block-hole, goes past the bat and the stumps to the keeper, loud appeal from the bowler, turned down, the bowling team reviews. NOT OUT"
lovely shot in the gap wide of mid-off to the fence.
width and cut away hard behind point to the fence.
"nice tight line on the stumps, defended with a straight bat down the track."
"once again fuller, driven to the off side to mid-off, throws at the stumps and deflects away, they get an overthrow."
width and cuts in the gap behind point to the fence.
pushes down the ground to long on.
full toss swept to the backward square leg fence.
works it through square leg.
driven to the off side to extra cover.
worked through midwicket for a single.
tucks to square leg for a single.
pushes to the onside to mid-on.
"miscues the pull and lobs up on the onside, drops short of the short midwicket fielder."
drops it behind the wicket on the off side and picks up a quick single.
bouncer and through to the keeper.
pushes to the off side to mid-off.
"cuts it down to thirdman, a misfield, goes through the fielder."
tucks it to the onside.
bouncer through to the keeper.
a leading edge past the left hand of the bowler.
hit down the ground to mid-off.
pulls to deep backward square leg.
"full and wide, slices it along the ground to the backward point fence."
lovely delivery nips away to beat the bat.
plays it through mid-on for a single.
inside edges it behind square leg and picks up a single.
slower delivery pushed to the off side to extra cover.
"change of pace once again, pushes to the onside."
"looking to dab it down, beats the bat and through to the keeper."
"hits it just over Jordan at mid-on, who jumps but could not reach it."
"moves across and swivels to play to deep backward square leg, Sharjeel running around does well to dive and stop it."
plays it down behind the wicket on the off side.
"short and way down the leg side, excellent diving save to his right by Walton."
delicately payed past short thirdman to the fence.
"short delivery, goes for the pull and drags it onto the stumps."
turns it through square leg.
chops it and misses the stumps and down to fine leg.
pushes through the off side to the sweeper cover.
"cuts hard behind point, picks out the fielder."
cuts hard behind point.
tossed up and hits it very high over the bowler and over the fence.
pushes down the ground to long off.
plays it down to short thirdman.
plays with an angled bat behind point.
plays it down the track.
sweeps well down to long leg fence.
driven down the ground to long off.
"cuts and edges, flies down to thirdman fence."
"tucks up Sohail, worked to the onside."
tucks through the onside through midwicket.
"wonderful timing, pulls to deep square leg."
"down the track and pulls in the air to deep midwicket, Iftikhar running does well to take the catch."
tucks to the onside to midwicket.
driven through the off side to long off.
pushes to the onside to midwicket and <strong>brings up his 50.</strong>
moves back and pushes to cover.
plays to short thirdman.
mistimes the drive to the off side.
full toss driven to the left of mid-on to the fence.
"hit in the air and Hales nearly holds onto the catch, <strong>drops it.</strong>"
mistimes the pull.
"short delivery, hooks it but not timed, down to long leg."
quick delivery and Sohail lets it go.
down the leg side.
pushes to the off side to extra cover.
tucks it away to deep backward square leg.
cuts and misses.
pushes to the off side to mid-off.
width and cut hard to the backward point fence.
on the legs and clipped away to deep backward square leg.
"short down the leg side, misses the pull shot, the ball is coming slowly off the track."
fuller delivery pushed to mid-off.
"slower delivery, pulls and misses. Keeps very low and misses the stumps."
"another short delivery, goes for the pull and top edges it high in the air behind the wicket on the onside and taken at short fine leg."
turns it through square leg.
down the track and hits in the air down the ground and one bounce to the long on fence.
pushes in the air to deep extra cover.
off the pad to the onside.
driven down the ground to long off.
driven to the off side to extra cover.
tucks it to the onside through midwicket.
uses his feet and hits in the air to deep extra cover.
"lovely shot, hits it high in the air over the long on fence."
opens the face off the bat down to short thirdman.
"lovely delivery strikes the pad in line, loud appeal and given, Sohail reviews. OUT"
tucks to the onside to midwicket.
driven through the off side to the sweeper cover.
gets it down to fine leg.
inside edges down to fine leg.
"lovely delivery on target, drops it square on the off side and picks up a single."
hits it well and over the extra cover fence.
dabs it down to thirdman.
driven to the off side to extra cover.
heaves and misses.
mistimes the pull down to long on.
pulled to deep backward square leg.
short ball pulled to deep backward square leg.
fuller and flicked to deep midwicket.
pushes to the off side to extra cover.
opens the face off the bat and plays to backward point fence.
off the pad to the keeper.
"down the leg side, flicked to long leg."
hit in the air down to wide long on.
"pulls in the air to deep midwicket, Babar Azam running in takes a good catch."
in the block-hole and squeezed out.
once again squeezed out to the off side.
off the pad.
looking to lap it and caught in two minds.
works it through midwicket.
too wide outside the off stump.
hits it well in the air through extra cover to the fence.
chases the wide delivery down to deep backward point.
"uses his feet and gets hit on the body, he is in pain."
full toss flicked in the air to deep midwicket.
"full and wide, plays and misses."
full toss hit in the air to the sweeper cover.
chops it into the ground.
mistimes down the ground to long on.
moves across to the off side and sweeps to long leg.
"heaves it away to deep midwicket, coming back for a tight second run."
a thickish edge to square leg.
played back to the bowler.
misses the flick shot.
"hits in the air to mid-on, drops short of the fielder."
driven to the off side to mid-off.
driven behind point.
works it through square leg.
pushes down the ground to long on.
turned away through midwicket.
"full and wide, hit hard in the air to the extra cover fence."
full toss worked through the onside.
"uses his feet and drives to mid-on, Sohail does well but it deflects away to the fence."
driven down the ground to long off.
width and cut away to the point boundary.
"chops it into the ground, passes over the stumps."
driven on the up through point and no stopping that.
squeezes it out to the off side.
"dabs it down to thirdman fence, Haris Rauf could not cut it out."
in the block-hole and squeezed out to the onside.
pushes down the ground through mid-off.
pushes back down the track.
works for a single.
uses his feet and works through midwicket.
"backs away and cuts to point, shy at the stumps and misses, they get an over throw."
works it through midwicket.
"oversteps, pushes to mid-off."
"a massive hit, pulls it over the long leg fence."
""
plays and misses.
digs it out to the off side.
zips of the surface and beats the bat.
turns it behind square leg to the deep.
in the slot and driven well to the extra cover fence.
full on the legs and clipped to deep midwicket.
"width, cuts and edges, <strong>Dunk to his left, drops it</strong>"
hit hard down the ground to the long off fence.
"<strong>dropped once again, this time by Faizan at deep backward square leg,</strong> pulls in the air."
"full and wide, guides it down to thirdman."
dabs it down to thirdman.
defends to the off side to mid-off.
pushes for a single.
pushes down the ground to long on for a single.
short down the leg side.
chops it into the ground behind point.
plays it down to thirdman.
pushes down the ground to long on.
turns it through the onside forward of square leg.
pulls in the air over the midwicket fence.
works through the onside.
pushes through point.
plays to the off side.
""
fuller and driven down the ground to long on.
pulls it down through midwicket.
mistimes the pull through square leg.
pulls and gets it over the short fine leg fence.
""
gets it in the air past short fine leg to the fence.
full on the middle and flicked to the onside.
defends to the onside.
dabs it to short thirdman.
short and pulled in the air to long leg.
pushes down the ground to long on.
full toss pushed to mid-off.
turns it forward of square leg.
hits it well and high over the long on fence.
plays with an angled bat behind point.
clips it forward of square leg.
taps it down to thirdman.
inside edges onto the pads.
"hits him on the pad, going down the leg side."
pushes past the bowler.
"short down the leg side, off the glove past the keeper to the fence."
hit firmly to the onside to mid-on.
misses the full delivery and hits the footmarks and well taken by Dunk.
in the block-hole and squeezed out down to thirdman.
digs it out back to the bowler.
full toss on the legs and flicks it over the backward square leg fence.
hit firmly to mid-off.
inside edges to the off side. Sharjeel has a thumb injury and it is hurting him now.
"oversteps, full and down the leg side, off the pad to fine leg fence."
full toss smashed in the air to the extra cover fence.
in the block-hole and squeezed out.
swings and misses.
in the block-hole and squeezed out.
cut in the air to the sweeper cover.
clips it forward of square leg to the deep.
fuller and pushed to mid-on.
"miscues it high in the air to deep midwicket, lands safely."
"tucks it down to fine leg, <strong>brings up his 50.</strong>"
mistimes the pull to mid-on.
drives in the air behind point to the fence.
opens the face and down to thirdman.
"turns it down to long leg, Babar Azam slips as he turns for the second."
plays it down to thirdman.
pitches outside the leg stump and strikes the pad.
off the pad to the onside.
short ball pulls well to the square leg fence.
driven along the ground to extra cover.
chops it into the ground to the off side.
short ball pulls in the air over the midwicket fence.
pulls through midwicket.
hits it high in the air over the midwicket fence.
dabs it down to thirdman.
"turns it around down to long leg, stopped by Dilbar with his legs."
cuts hard to the sweeper cover.
"fuller and pushed to mid-off, takes off for a quick single, the throw is poor, an overthrow and they get the winning run."
