"full to start off, a bit of swing away towards the off stump, Rohit blocks off the front foot"
"full, straightening around off, pushed gently towards mid-off for a quick single"
"just back of a length, slanted across Dhawan's off-stump, holds its line and it's left alone"
"shortish, slanted across, Dhawan gets up on his toes to get on top of the bounce and taps it away to deep point"
"good length around off, Rohit brings the bat out to defend and gets an inside edge onto the thigh as it drops into the off side. Dhawan calls through for a quick one"
"nice and tight on off, on a length, Dhawan defends off the front foot"
"fuller around middle, curves in a tad and Rohit clips it to deep midwicket off the pads"
"length ball, slanted across in the corridor, Rohit gets a good stride across but is happy to let it go"
"fuller of a length, nips in from outside off, defended close to the pad down the pitch"
"full toss outside off, Rohit loses shape slightly as he drives and finds point"
"full and slanted across a set of stumps outside off, Rohit drives a tad uppishly to point"
"good length, swings back in too sharply and goes down leg with Rohit looking to glance it away"
"nice length around middle and off, straightens a bit and Rohit blocks it towards the midwicket region off the inside of the bat"
"length ball, slanted across off and given a bit of room, Dhawan punches it away with a half-angled bat through point"
"back of a length, this one comes on a little slow to him, Dhawan closes the face a little early and gets a leading edge into the off side"
"short around off, Dhawan arches back to give himself some space to free up those arms and laces the uppercut over the keeper for a six over third man"
"short of good length around middle, defended back"
"fullish length, leg stump lines, tucked around the corner for a single to fine leg"
"full, curving in towards off, pushed to mid-on"
"just back of a length, cuts away outside off, Dhawan reaches out and stabs it to point"
"full, angled in towards middle and swinging away late, Dhawan gets forward and carefully pushes it out to mid-off"
"back of a length, seaming away outside off, blocked late with an open face behind point"
"good length, angling in and this one holds its line, finds the inside edge of Dhawan's bat as he's defending on the front foot"
"full, bit of width outside off, Rohit reaches out without feet and gets a thick inside edge onto the back thigh"
"short of good length, angled across outside off, Rohit drops it behind point with an open face"
"length outside off, defended towards point"
"short of good length, angled in, tucked off the hips behind square leg"
"full, pushed across, reaches out and drills it to cover"
"length on middle, closes the face and tucks it away but can't beat midwicket"
"short, a bit of width, Dhawan cuts late but backward point gets down to his right to stop it clean"
"short around off, arches back a little and slaps straight to the point fielder this time"
"seams in off a length, Rohit tries to glance it away and ends up wearing it on the pad"
"full, comes down the track but it swings away a little and he reaches out to gently push it to point"
"short, again tries to arch back and ramp it over but this is too straight and too close to him. Also, the bounce is a little too much and he can't put bat to ball"
"fuller of a good length, swings away towards off, cautiously pushes it to extra cover. No run there"
"<b>searing inswinger</b> Dhawan has been trapped in front. Will he review? Nope, he walks off. Dhawan tries to close the face to clip it away but can't get underneath it as it's really full. Almost around the blockhole and he is pinned in front of middle and leg"
"back of a length on off, Gill shuffles across and solidly defends back down the pitch"
"back of a length, a bit of movement outside off, left alone"
"short of a length, opens up and carves a punch out through the gap between cover and point"
"fuller outside off, Gill gets a neat stride across and pushes it into the covers"
"good length, angling in towards off, defended back to the bowler"
"full outside off, gets forward and quietly pushes to mid-off"
"yorker, curving in towards off, jams the bat down to block it out"
"<b>ripper!</b>. On a length, forcing Rohit to bring the bat out and then seaming away subtly enough to nearly shave the outside edge"
"this one moves the other way, cuts back in off the seam but a little too much as it goes down leg"
"short of a length on off, defended down the pitch"
"short, pushed across off, gets on top of the bounce and blocks to point"
"full, curves in from outside off, pushed back to the bowler who gets down to his left and half-stops it"
"short of a length outside off, defended into the covers"
"gone! Rohit has been caught and bowled here and India are in a bit of trouble here. Remember, there's no Kohli. Swing does Rohit in. It's very full and swinging in sharply towards middle, Rohit half-pushes at it and ends up chipping it straight back at Boult to give him a dolly on the followthrough"
"nice and tight around off, defended"
"full, angling into middle, and Gill has his first international runs via a boundary - a nice wristy clip off the toes through square leg"
"full, swinging away, he's nowhere near it and ends up reaching out. But he goes at it with soft hands as he drives through the covers. The lack of power means it doesn't carry to the boundary"
tucked to square leg for one
"good length on off, defended"
"length ball, pretty wide outside off, left alone"
"short, angled across off, played with an open face to backward point who dives to make a save"
"<b>short ball that pings him on the head</b>. Gill shuffles across and takes a step back but ends up taking his eyes off the ball at the very end as he's swinging for a pull. Gets hit flush on the right side of the helmet. Whips it off and has a drink to regain his composure. Patrick Farhart, the physio is out to attend to him as well but he's good to go"
"full, angled across, reaches out and gets an inside edge to the right of the bowler"
"full, wide outside off and curving in, gets an inside edge to square leg"
angles this in from outside off and he gets another inside edge into the leg side
"short of a length, cuts away off the seam, loosely pokes at it and gets beaten"
length but the umpire thinks it's way too wide
"length around off, a bit of shape away, Rayudu pushes at it, gets an inside edge on to the pads"
