"length ball starts down leg side and swings further towards the right, but not enough. He can't get bat on it"
length outside off with a hint of swing away again. Tapped into the off side
"length ball on the pads, tickled to the keeper off the thigh"
"length ball on the pads, tickled to fine leg's left from the crease"
"length ball outside off, slanting across the stumps. Left alone"
<b>ends up at second slip!</b> Yikes. That has slipped from Cottrell's hand and it's some early catching practice to his right for the slip fielder
"<b>top edge to fine leg</b> and it's taken, but it won't stand of course. Nice bouncer steep at the chest and he couldn't swing cleanly with the hook from under this"
"full outswinger on middle stump, leans in and closes the face late on this to get it through midwicket"
"short of a length outswinger outside off, some shape away. Enough time to get on the back foot and nudge this to backward point"
floaty length ball wide outside off. Left alone
"length ball outside off, dead-batted into the covers"
"length ball on middle stump, stabbed back down the pitch from the crease"
<b>gets the back leg</b> as this straightens after angling in at off stump. Some outswing. Anamul was looking to flick and had closed the face too early. That was going over off
"short and wide outside off, lots of time again to free the arms and this time he punches it through cover"
"overpitched on the pads, stands tall and handsomely whips this through square leg. Fine leg has a lot of running to this right to get to this"
"full on leg stump, clips it off the front foot through the midwicket region"
"length ball outside off, left alone"
"short in the corridor, mistimed cut into the covers"
"length ball on middle stump, jabbed uppishly into the leg side from the crease. That stopped on him"
"length outside off, left alone"
"length on middle stump, closes the face and clips to midwicket"
"length ball wide outside off, left alone"
"length at middle stump, tapped down the pitch at the bowler"
"overpitched ball down leg side, can't get bat on the flick"
"length ball wide outside off, left alone"
"full on off stump, leans into it and taps it to mid-off's left to pinch a single"
"short of a length in the corridor, taps it into the off side from deep in the crease"
"length ball at middle stump, tapped to mid-on from the crease"
"short and wide outside off, late slice to backward point's right. Can't get it past him"
"length ball down leg side, head falls over into the off side as he stretches to flick this. Gets it wide of fine leg whose dive to the right is not quick enough"
"nicely done. Length ball outside off, leans in calmly as he punches this on the up. It bounces away wide of mid-off and teases the two fielders running after it before getting to the boundary"
"length at the stumps, tapped to midwicket off the front foot"
"length ball outside off, left alone"
"short of a length just outside off, defended off the back foot"
