"leg break on leg, he pushes to midwicket"
"tossed up, he gives room and <strong>lofts this flat over mid off! </strong> What a strike! That is a statement. Long on was back so he went inside out over long off"
"89kph, length ball, he pushes in defence and gets an inside edge"
"pushed through on leg, it slides on and he turns this forward of square"
"full on middle, he drives easily to long on"
"drifting down leg, he glances this easily with the angle past short fine for three"
"133kph, full outside off, he steps outside the line and paddle scoops it to wide fine leg for three. He was looking for a shorter length but he still executed it well"
"135kph, fuller length, he mistimes a drive to mid off"
"136kph, fuller on leg, it comes off the pad and runs away fine for four leg byes!"
"<strong>pull shot thumped infront of square!</strong> 142kph, chest high short ball and an authoritative stroke! He hammered that"
"fuller on off, he drives with power to mid off"
"135kph, fuller and shaping down leg, it catches the pad again and runs just past the diving Lenton!"
"131kph, short and wide, he cuts hard with the angle past backward point! Good shot to place it wide of the sweeper at deep point"
"131kph, good length, fourth stump, he defends on the front foot"
"short and wide, very high, he jumps up and cuts to deep point"
"slower ball, off cutter, jags back and hits the pad, huge appeal but it's given not out. Might have been too high"
"full angling into leg, he clips this off the toes through midwicket and they call for two immediately"
"length slower ball, he checks his shot and defends to mid on"
"Stoinis threatens to back away but it's a dummy, it's back of a length, he punches off the back foot through cover-point"
"mistimes a straight drive but he got enough of it to beat mid off! This was very full, he didn't nail it but got it well enough"
"<strong>caught at deep square!</strong> 122kph, slower ball, he didn't pick it, it was back of a length and in the slot but he got under a pull shot hitting it high to deep square and Sams comes 20 metres in off the rope to catch it well"
"<strong>Lenton drops him down leg!</strong> Stoinis gets a life! This was down leg, a tickled leg glance straight off the face goes straight to Lenton and he spills the simple chance!"
"fuller outside off, he drives to mid off"
"shorter wide of off, 133kph, he's back and cutting firmly to deep point"
"<strong>thumped in the air straight of mid on!</strong> This was clubbed so hard. It was a length ball, he stood up and thumped it flat and just over mid on"
"143kph, good length wide of off, he leans back and tries to run it to third man but misses"
"136kph, good length on off, he defends to midwicket"
"length ball angled into leg, it comes off pad into the off side, he wants one and yells 'Come on man' but Larkin sends him back"
"138kph, back of a length, fourth stump, he's back and dropping this into the off side for a single"
"142kph, good length on leg, he tucks this behind square for a single"
