leans in towards a fuller ball to just caress it through the covers. Just enough on it to beat the two fielders giving it chase
"looped in towards off, driven to cover"
"short, curves into him and beats the flashing bat outside off"
"good length outside off, leans forward to bock to cover"
"back of a length, sliding in to leg, swivels and pulls off the backfoot over square leg"
flashes outside off and gets a thick outside edge that runs away to third man
"short of length outside off, blocked to point"
"full outside off, driven to mid-off"
"short of length, rides the bounce and stabs to point"
"full, angled in to off, driven dead straight and hitting the boot of the bowler before deflecting into the off side"
"good length on off, defends late and chops it towards slip"
"full on off, defended to mid-off"
"full outside off, driven in front of mid-off for a quick one"
"shortish, angled across, flashes and misses"
"length, on the pads, tucked to midwicket"
"back of a length, stops on him, nudges it right next to his right and takes off. Richardson runs forward and nails a <b>direct hit diving forward/,/b> but Weatherald has stretched forward fully and is fine"
"back of a length, mistimed defence from the crease"
"full, pushed across, heaves it away over the extra cover region without much timing"
"back of a length outside off, slashed to point"
"short of a length, angled in, tucked to midwicket"
"back of a length, pushes back and defends towards backward point with an open face"
"back of a length, <b>thick outside edge</b> as he flashes without much room, away to third man"
"full, angled into middle, chipped straight over, between mid-off and mid-on"
stays legside of it and carves it away over backward point
"fuller in the blockhole, digs it out to mid-off"
"short of length, looks to go big but doesn't get the timing right, a single down the ground"
"length around off, looks to push it towards covers, misses"
short and wide and cuts it hard towards deep point for a run
angles a fuller one across off that's hoicked over the in-field. Not enough to go the distance. Lands in front and pulled back before the long-off boundary
makes room for a length ball and slaps it through the gap between gully and backward point
""
"short of a length, slower, waits and stabs it through backward point"
"fuller, angled into middle, pushed to mid-on..<b>no-ball called because only three fielders inside the circle</b>"
goes for a yorker and it's squeezed out wide of long-on
"slower short ball, waits and pulls to deep square leg"
"short, not enough room and he chops a slap towards the cover region"
"full, dipping on middle and leg, clipped behind square leg"
angled down leg
gets down for a big slog and mistimes to deep midwicket
tucked into the leg side
backs away and slaps through the off side
"short, rocks back and heaves a pull well over deep midwicket"
"width on offer, slapped to a diving point"
"pitched up outside off, slogged straight into the hands of deep midwicket"
tucked off the pads to deep midwicket
"floated up too far across off, crunched to sweeper cover"
"pushed across full, forward to defend"
presses forward and knocks it to short third man off the outside of the bat
"full and flat, stays back and nudges into the on side"
"short and angled into him, pulled over cow corner"
"full on middle and off, jabbed back"
"length, closes the face and inside-edges to the pad"
"shortish, pushes back and keeps it out"
"short, pitching outside leg, pulls without timing to deep backward square"
"short of length, pitching outside leg, defended"
"full outside off, slapped to the sweeper at cover"
"pitched up outside off, driven to extra cover"
"length on middle, defended back"
"slanted across, reverse-sweeps to the third man region"
miscued in the air. Slanted across and he swipes across the line to get a leading edge that cover runs back to settle under
""
shuffles across to a length ball and tucks to midwicket
"short of a length, spinning in from outside off, tucked to midwicket"
rocks back to a short one and muscles a pull over deep midwicket
nudged to midwicket
shuffles across and punches a length ball to mid-on
"drops it into the off side for a very quick one, but has there been a run out? TV umpire summoned. Oh, yes, he's gone! Dives forward with the left hand holding the bat stretched out but bat's in the air, though it's past the line. Gone! Mindless attempt at a single"
"pushed across outside off, slapped to deep cover"
"slides it full into leg stump, clipped to wide long-on"
"pitched up outside off, driven to deep cover"
"slanted across off, chops a cut"
