"and <b>he finds swing right away</b>! Back of a length and darts back in, finishes on leg, cramps Warner for room. Blocked off the back foot"
"full and swinging into the pads, Warner can't quite connect with a flick. He wears it on the pad"
"on a length and veering down leg, Bhuvneshwar is getting swing but the direction is wrong. Leg-side wide"
"shortish and wide outside off, Warner walks out. Bhuvneshwar dragged his length back seeing Warner shimmy out. The batsman reaches out and slices it in the air, to the right of a diving backward point"
"full, straight, accurate. Played back to the bowler off the front foot"
"gentle outswinger, starts outside off and moves away, no shot"
"Bhuvneshwar shifts wide of the crease, gets it to angle in at off stump, Finch presses forward and drives it to the left of short midwicket. The fielder throws himself to his left, takes some pace off the ball. He winds up deflecting it to mid-on"
"very full and angling in on middle, swings in, tickled away to long leg off an inside edge"
"just short of a good length and angling away outside off, Warner stands up tall and crisply punches it straight to extra cover"
"very full and slung very wide outside off, so much so it's past the guideline"
"full again, this is really close to off. Pitches on off and slants away outside off, floats through to the keeper after <strong>beating the outside edge</strong>"
"tighter on off, on a length, Warner presses forward and blocks it back to Bumrah"
"pitched up on off and off, Warner presses forward and push-drives a single to mid-off. Warner and Finch take on Kuldeep's arm and fetch a single"
"on a length and largely holds its line on a fifth-stump line, Finch opens his face and gently runs the ball to point"
"very full and ducks back in on middle, Warner eyes up the leg side but ends up poking the ball to the covers off an edge"
"Bhuvneshwar pulls his length back and gets it to angle away outside off, goes past the outside edge and <strong>creeps through to the keeper</strong>"
"really full and straight, 138ks, Warner shuffles forward and across as he defensively pushes the ball down to mid-on"
"full and angling in on middle, draws Warner forward. Driven to the right of Bhuvneshwar"
"on a length and holds its line outside off, Warner meets the ball with an open face and directs it down to deep third man"
"back of a length and outside off, Finch jabs with an open face to backward point"
"back of a length and slanted in on off, the result is a drop-and-run single to the covers"
"short and wide outside off, Finch throws his bat at the ball, slashes and misses"
"first boundary for Australia via a fortunate outside edge. Nice and full, angling in, then curls away. Finch is opened up, the edge falls on the ground and streaks away to the right of wide slip"
"back of a length and sliding outside leg, kisses the thigh pad on its way to Dhoni"
"just short of a good length and a hint of width outside off, Finch is at his best when he stands tall and hits through the line. Crisply punched in the gap at cover"
"back of a length and slanted down leg, past the glance, another leg-side wide"
"slower offcutter, 124ks, finishes on off, Finch spots the change-up and defends watchfully"
"Bhuvneshwar comes in from around the wicket and floats one into the pads of Warner, shovelled away with the bottom hand past the right of deep square leg"
"full and outside off, angling in, swinging in, foiling Warner's attempt to drive. He presses forward and only ekes out an inside edge onto the pad"
"on a length and outside off, Warner deploys a bigger stride and punches it on the up to backward point"
picks off the pads and flicked straight to midwicket
"Bhuvneshwar errs in line again, sliding into the leg stump, picked off the pads and glanced very fine to the boundary - the first for Warner"
"back of a length and slanted in on middle, Warner presses forward and pats it to cover-point"
"back of a length on a fifth-stump line, Finch moves forward and punchily drives it to short cover"
"on a length and on a fourth-stump line, Finch gets on top of it and defends to the off side"
"107ks slower ball wide outside off, Finch reaches out with his hands and stabs the offcutter to the left of backward point"
