"good length outside off, onto the backfoot and does a solid defense first up"
"good length outside off, lets it through to the keeper, a hint of away swing "
"drifting onto the pads, flicks it down to fine leg for a run"
"good length on middle, onto the backfoot and does a defense"
"good length on middle stump, onto the backfoot again and pushes it back to the bowler"
"full and straight, driven straight back towards the bowler and he manages to get a hand to it and slows it down as mid-on across to field it"
"quick outside off, looks to cut but not cleanly and it rolls to point fielder"
"tossed on middle, onto the frontfoot and gets right behind it to defend it"
"floated on the pads, lets it spin and nudges it to short square leg for a quick run"
"flighted on middle, onto the frontfoot carefully and does a defense"
"quicker on middle, goes for a defense but gets a inside edge to the short fine leg fielder, lucky him to not have that go onto the stumps"
tossed on middle onto the frontfoot and does a defense
"good length on the pads, pushes it past short mid-wicket for a couple as it is chased down before the boundary rope"
onto the backfoot and does a defense back to the bowler
"good length on middle, onto the backfoot and pushes it to mid-on nicely as it kept a bit low"
"full outside off, drives it on the rise to the left of cover who dives and gets a hand to it, a bit of confusion in between but the get across for a quick single"
"good length on middle, onto the frontfoot and drives it uppishly but safe on the bounce to mid-on"
"good length on middle, comes down the track and lofts it high and away from mid-on, didn't get it cleanly and gets just a couple for it"
"tossed on pads, nudges it fine but to the short fien leg fielder "
"tossed on middle, onto the frontfoot and does a defense"
"flighted outside off, sees the flight and opens his arms to loft it high and couples of bounce into the boundary at covers"
onto the frontfoot and does a defense back to the bowler
"quicker on middle, onto the backfoot and pushes it back to the bowler"
"quicker outside off, onto the backfoot and pushes it towards covers, fielder at covers dives and makes a good stop but they get through for a run"
"good lenght outside off, onto the backfoot and pushes it to cover point. no run there"
"good length outside off, looks to pull it towards mid-wicket but gets a top edge in the air, bowler calls for it and gets under it nicely to take an easy catch"
"good length on middle to the new batsman, onto the frontfoot and does a good defense back to the bowler"
"good lenght on off, pushes it carefully ont the frontfoot to the cover fielder"
"short on the pads, nudges it but to the short square leg fielder"
"full on off, drives it on the rise but to the short cover fielder, a successfull over comes to an end"
"tossed on middle-leg, nudges it to the on-side but to the fielder"
"tossed outside off, comes down the pitch and slaps it over covers for a huge six"
"flighted on middle, onto the frontfoot and does a defense"
"tossed on middle, onto the frontfoot and pushes it to mid-off"
"tossed on middle-leg, pushes it of the frontfoot down to mid-on for a run"
"tossed up, comes down and flicks it uppishly but away from the short mid-wicket fielder for a run"
"good length on midlde, onto the frontfoot and does a defensive push to mid-on"
"fuller length on leg, pushes it nicely but to the short catching fielder on the on-side just to the side of the pitch"
"full on middle, driven nicely along the ground to mid-off"
"short aimed into the batsman, comes down to drag it towards mid-wicket but misses it, a small shout for caught behind but not-out is the call"
"full on leg, pushes it to mid-on"
"good lenght just outside off, onto the frontfoot and pushes it to cover fielder"
"good lenght outside off, looks to drive but gets a outside edge and away from the first slip fielder down to thirdman for a run "
"full outside off, onto the frontfoot and drives it to short cover fielder"
"good length into the pads, pushes it nicely on the frontfoot but to the short mid-wicket fielder"
"full outside off, goes for a drive but gets a thick outside edge and away from the in coming point fielder down to thirdman for a run"
"good lenght outside off, goes for a backfoot push but edges it to the keeper for a soft dismissal"
"good length on off, gets some extra bounce out of the pitch, batsman nicely under it and blocks it"
"good lenght outside off, onto the frontfoot and pushes it to point"
"good length on middle-leg, takes a step down to pushes it to deep sqaure leg for a run"
onto the backfoot and tries to push it towards square leg but doesn't get much on it
"good lenght on middle, onto the backfoot and does a defense nicely, kept a bit low again"
