"slower one outside off, looks to hit across the line, misses"
"short of length outside off, goes for the upper cut, but doesn't get it from the middle of the bat, gets a couple to third man though"
"fuller on the stumps, Imad looks to work it on the leg side, cannot put the bat on the ball and the stumps are disturbed"
"slower length ball at the batsman, worked towards long-on"
fuller but angled down the leg side
"fuller on the off stump, Yamin digs it out but straight towards the bowler"
"fuller on the stumps, worked towards wide long-on for two"
"pitched up, digs it out towards deep square leg"
"length outside off, looks to pull it away but ends up slicing it towards point where Rumman takes it with fingers pointing upwards"
"dropped! A full toss on the off stump and smashed back towards the bowler, who gets both hands to it but fails to latch on to"
"short of length on the pads, goes for the flick but misses, gets a leg-bye though"
"short of length outside off, goes for the upper cut but misses"
"a slower one, full on the off stump, Yamin looks to slog it away, misses and the hits the off stump"
"slower one around off, Amir moves across and looks to scoop it fine, misses"
"slower one around off, Amir backs away a bit and smashes it over the bowler's head, clears the boundary"
"a wide yorker, Amir plays and misses, steps out a couple of metres trying to steal a bye but stops mid-way, the keeper effects a direct-hit"
"length outside off, stands in his crease and smashes it towards cover"
"length around off, pushed towards covers, will get a single this time"
"fuller outside off, drives it towards mid-off"
"Colin Ingram has pulled off a screamer. Fuller around off, Delport looks to go over mid-off, mistimes it and Ingram pedals backward to take it with his outstretched left hand"
"length on the stumps, punched towards mid-on"
"fuller on the stumps and hits past the bowler, hard. No chance for the mid-off fielder"
"length around off, Ronchi stays in the crease and defends it towards covers"
"short of length outside off, goes for the cut but under-edges it into the ground and to the keeper"
"length around off, hits it back towards the bowler, looked like a cutter from Amir"
"a bouncer outside off, Ronchi lets it go through to the keeper"
"fuller outside off, Ronchi gets down and goes over extra cover, one bounce and over the boundary"
"short of length outside off, smashes it towards point but straight towards the fielder"
"fuller on the stumps, digs it out back towards the bowler"
"length on the stumps, sweeps it towards short fine leg"
"length on the stumps, punches it towards long-on"
"quicker again, stays in the crease and pushes it towards covers"
"fuller on the stumps, driven towards long-on"
"flatter again, length on the stumps, comes down the track and chops it towards covers"
"length around off, pushes it towards mid-off"
"short of length around off, goes for the pull but top-edges it over the keeper's head, gets a lucky boundary"
"length around off, stays behind the line and defends"
"length outside off, driven on the up, opens the face a bit to send it between point and cover"
"a cutter around off, stays back and pushes it towards point"
"length ball, on the stumps, looks to flick but misses, an appeal for lbw but perhaps there was some bat involved"
"fuller around off, Ronchi gives himself a bit of room and lofts it over mid-off, carries all the way for a six"
"down the track, Imad follows the batsman this time, pushes it towards mid-on"
"length around off, punched back towards the bowler"
"fuller on the pads, goes for the flick but misses, collects a leg-bye though"
"fuller on the pads, goes down and sweeps, not from the middle of the bat but it races past the short fine leg"
"length outside off, hit it through covers for back to back fours, all hands from Ronchi"
"short of length angling across, goes for the wild swing and misses"
"fuller on the stumps, drives it towards the right of mid-on for a quick single"
"slower one but down the leg side, Ronchi looks to help it fine but misses"
"slower one, length on middle and leg, Ronchi was early into the pull, misses and gets hit on the body, collects a leg-bye as the ball rolls on the off side"
"fuller outside off, smashes but straight back towards the bowler"
tucked away behind square for a single
"slower length ball on the stumps, lobs it towards long-on for one"
"and gets Ronchi first-ball, length around off and Ronchi has hit it straight down the long-off fielder's throat. He was looking it to give himself room and hit it towards extra cover but doesn't get it right"
"length outside off, goes back and punches it towards extra cover"
"length on the stumps, flicked away towards square leg"
"fuller outside off, goes aerial but doesn't middle it, ends up slicing it towards deep extra cover"
"length around off, stays back and works it towards deep midwicket"
and he strikes again! Beats Hussain Talat in the flight who stepped down but Umer shortened the length and bowled an arm ball. The batsman pushes at it but misses as he is way inside the line. An easy stumping for Dunk
"fuller on the stumps, looks to flick, gets a leading edge that lobs over the bowler"
"length around off, steered towards point, a tumbling stop by Rizwan"
"fuller around off, comes forward but drives straight towards mid-off"
"short and down the leg side, Asif Ali swivels and pulls it over fine leg for a six"
"length on middle and leg, tucks it towards the right of long-on"
"length on the pads, nudges it towards square leg, scampers back for the second"
"length outside off, cuts it towards point"
"fuller on the stumps, comes forward and defends it back towards the bowler"
"three dots in a row. Length ball on the stumps, punched towards short midwicket off the back foot"
"fuller on the stumps, comes forward and chips it towards deep midwicket for a couple"
"down the track once again, Umer shortened his length but Asif Ali holds his shape and flat-bats it past the bowler"
"length ball on the stumps, punched towards short midwicket"
"short of length on middle and leg, flicks it towards square leg for one"
"length outside off, pushes it towards point"
"dropped by Rizwan! Slower length ball, looks to go over long-on but ends up skying it towards covers where Rizwan spills it"
"length ball on the stumps, drags it towards midwicket"
"length outside off, flat-bats it towards long-off"
"length ball, pushed back towards the bowler who makes a partial stop, extra cover tidies it up"
""
""
"short of length outside off, goes for the cut but the point fielder makes a partial diving stop to his right"
"short outside off, cuts hard but straight towards point"
"short but on the stumps, cuts it towards point and sets off, the fielder was quick to the ball and has a shy at the bowler's ends misses, a direct hit and Salt would have been run-out"
"length but room outside off, Asif Ali dabs it past the short third man who puts in the chase but cannot prevent the boundary"
"length outside off, goes for the cut and misses"
"right in the blockhole, Salt does well to jam his bat at it, sneaks in a single as the ball rolls down the wicket"
"short of length outside off, looks to steer it behind point, misses"
"fuller on the stumps, takes a step down and pushes it towards deep extra cover"
"short of length outside off, goes for the cut but cannot beat the man at point"
"length outside off, skips down and looks to work it on the leg side, misses and gets hit on the body"
"down the track and launches it over deep midwicket, not from the middle of the bat but enough on it to clear the fielder there easily"
"short of length outside off, goes for the cut but straight towards point"
"down the track but Umer shortens his length, punched towards cover"
"short of length outside off, goes and punches it towards sweeper cover for a couple"
"length on the stumps, goes back and works it towards mid-on"
"length outside off, stays in the crease and swipes it towards deep-backward square leg"
"length outside off, swats it between deep midwicket and long-on for four"
"fuller outside off, Salt steers it up and over backward point for four more"
"length outside off, tucks it towards midwicket, scampers back for the second. It could have been close but the bowler fails to collect the ball and breaks the stumps with his hands"
"fuller outside off, steers it straight towards the point fielder this time"
"short of length outside off, skips down and pulls it towards midwicket, Salt calls for two again but Asif Ali says no this time"
"in the blockhole, jams his bat at it to dig it out towards long-on"
"length around off, and Asif Ali has smashed it way over the deep midwicket boundary, pulled with disdain"
"fuller outside off, almost in the blockhole, Asif Ali fails to get bat on it"
"a high full toss outside off, called a no-ball, but Asif Ali has cut it over point for another six"
"a low full toss outside off, and that has been crunched through covers, the sweeper had no chance at all. And that's fifty as well for Asif Ali"
"short of length outside off, waits at the book foot but ends up steering it straight towards point"
"fuller outside off, looks to smash it on the leg side, loses his shape and ends up dragging it towards midwicket"
"a slower short ball, angling across the batsman who was looking to pull initially but bails out in the end"
"length around off, smashed towards wide long-on for four"
floated around off and that has been lofted over long-on for a six. For a moment the fielder at long-on thought he had a chance but it just sailed over him
"and again, another cutter, fuller around off and this time Asif Ali goes over the bowler's head, clears the sightscreen"
"fuller on the stumps, lofts it towards long-on for one"
"fuller on the stumps, pushes it towards midwicket for one"
"length on the stumps, works it towards deep midwicket"
"and he strikes straightaway. Slower length ball, angling away, Asif Ali looks to go aerial but ends up skying it towards mid-off where Imad takes a good tumbling catch moving to his right"
"fuller outside off, hits it towards extra cover where Imad has a shy at the bowler's end, misses and concedes a an overthrow"
"short of length outside off, cuts it towards sweeper cover, they charging back for the second, could be risky but the throw is not strong enough"
"length around off, looks to dab it towards third man but ends up hitting it on to his leg, looks to sneak in a single but Amir charges towards the ball and looks to kick it on to the stumps, misses"
"slower offcutter but wide of the batsman, the umpire stretches his arms"
"fuller around off, steers towards point, the fielder charges in but fails to collect the ball, the batsmen complete the second"
"length around middle and leg, Shadab misses the swipe and gets struck on the pad. A big appeal for lbw but given not out. Kings have reviewed it. Replays show there was no bat involved. The ball pitched around leg, the impact was in line as well but it was just missing the off stump"
"fuller around off, works it towards long-on and Shadab is coming back for the second, makes it safely in the end"
"fuller outside off, Salt has sliced it over the point fielder for four, 150 comes up with that four"
"fuller outside off, Salt goes aerial once again, this time over extra cover but ends up hitting it right down the throat of deep extra cover. Yamin completes a straightforward catch there"
"length ball on the stumps, drops it at his feet and sets off, Shinwari sprints in his followthrough, picks up the ball and underarms it to hit direct, acrobatic stuff but replays confirm Faheem was home"
fuller on the stumps and flicked away towards deep midwicket for four
"fuller around off, pushes it towards cover-point and sets off for a quick single"
"short of length outside off, punches it towards point but the fielder is quick to the ball"
"fuller but down the leg side, needs to be bowled again"
"length ball on the stumps, punched towards mid-on for one"
"length ball on the stumps, defended towards the bowler"
"a bouncer this time, goes for the pull, gets a top-edge towards fine leg. Wait, that has been given as a leg-bye, yes, it hit the batsman right on the helmet"
"length ball around off, pushed back towards the bowler"
"length on the stumps, looks to pull but gets an inside edge on to the body, sneaks in a single as the ball falls at his feet"
"flatter outside off, goes for the reverse sweep but Shinwari makes a tumbling stop at short third man to keep it to one"
and that's game over! Fuller on the stumps but Shadab manages to get under it and smashes it over long-on to seal the game
