"good length outside off, defended to cover point on the front foot"
"back of a length and pushed straight through outside off, whipped to deep midwicket off the back foot"
"back of a length arm ball outside off, drifts away from him and beats the outside edge on the cut"
"length and drifting away like an outswinger, defended on the front foot"
"good length outside off, no shape away this time, goes straight through. He plays for the spin on the front foot, beaten on the outside edge"
"back of a length, shaping away. Dropped to point with soft hands and a quick call for the run"
"good length at middle stump, he gets down quickly, not as circumspect as he was against Nabi because this is going to pitch outside leg. Hoicks it away with a sweep, wide of deep mdiwicket"
"<b>bowled him!</b> Backs away this time, exposes the stumps and goes for the sweep again. But he's missed this arm ball. It pitches leg and skids under his shot as it heads middle stump"
"back of a length outside off, no feet movement, tapped hurriedly to point"
"back of a length skidder in at middle stump, no feet again as he closes the face and gets this awkwardly to square leg"
"length outside off, lifts it inside-out over extra cover, very very high. It plonks into the surface a few yards inside the boundary"
"back of a length outside off, punched to mid-off"
"back of a length outside off, swings away from outside off. Nudged to cover on the up"
"good length at middle stump, flicked to deep midwicket's right"
"back of a length at off stump, doesn't quite get down for the sweep. It's a short-arm whip on the up, but it beats deep midwicket to the right"
"good length at off stump, floated away from off stump. Pushed to mid-on"
"short of a length outside off, watches it onto the bat and slices late to beat cover point's dive and backward point's chase"
"back of a length at middle stump, punched to long-on off the back foot"
"dug in short at off stump, pushed off his toes into the midwicket region"
"good length, hooping in at middle stump. Drags it to midwicket off the inside half of the bat"
"short of a length at off stump, and this time he hangs deep in the crease in order to get under it. Manages it well and slaps it over the bowler, on the rise"
"back of a length in the corridor, similar ball to the last one but this time he looks to go leg side. Misses the pull"
"<b>taken at extra cover.</b> Three different shots to similar deliveries. This time he looks to get the front leg out of the way and slash it over mid-on as it climbs at an off stump line. Cramped for room and he slices it for Finch at extra cover, who skips backwards and holds on"
"back of a length at leg stump, clipped off the hips to deep square's right"
"yorker first up, in at off stump. Jams it out into the off side"
"good length and in at the pads, neatly pushed to deep square's left"
"back of a length at off stump, looks to dab it into the off side for a quick single but times it too well"
"good length at off stump, punched to mid-off. Timed well again and looks like it'll be close as he sprints to halfway down the pitch. But Nabi doesn't gather the ball as he swoops down on it"
"back of a length in the corridor, looks to go too square with the pull shot, beaten"
"good length at off stump, punched to short extra on the front foot"
"full at off stump, driven crisply on the rise but straight to Finch at short extra, who swivels and shies at the non-striker's end. Has Labushagne diving to make his ground. That would've been close"
"<b>clean bowled.</b> Another whip across the line to an off stump ball, bat facing square leg. This is a fuller ball, angled in at off stump, and smashes it hard"
"full and in at middle stump, big backlift as he taps this to mid-on"
"short ball outside off, cut straight to point"
"back of a length at off stump, defended into the covers on the up"
"back of a length at leg stump, pushed out to deep square off the inside half of the bat"
"brings out the reverse sweep first up and executes well. Hogg tosses one up at middle stump, he swivels quickly and swats this to the deep point boundary"
"full at middle stump, pushed to long-off on the front foot"
"wrong'un, floated up at off stump. He doesn't reach the pitch of this as he looks to drive. Sliced uppishly to sweeper cover"
"full outside off, swept along the turf to deep midwicket"
"short ball outside off, punched to long-off off the back foot"
"floated up at middle stump, flicked forcefully off his toes to midwicket"
"74kph, back of a length floater outside off. Doesn't come on as he looks to punch off the back foot. Hits it straight back at the bowler"
"back of a length at middle stump, pushed through midwicket off the back foot"
"back of a length at leg stump, tickled to short fine off the back foot"
"loopy full ball at off stump, takes ages to come on. Defended on the front foot"
"106kph, pushes this through quickly at leg stump, it's stabbed to short fine's left"
"back of a length at off stump, chipped off the back foot towards long-off"
"slower ball, full and looping at leg stump. Flicked to deep square"
"full at middle stump, flicked to long-on's right"
slower full ball almost beats him. He picks it late and pushes this into the off side
"slower length ball at off stump, gets the front foot out of the way and slaps it to long-off"
"full and swinging in at off stump, driven to long-off"
waits on the slower ball and pummels it to the midwicket fence. It's an overpitched ball that he meets nicely at the pitch and whips over the infielder. Nicely timed
"back of a length outside off. Taps it into the covers, says 'yes' and takes off. Non-striker says no and sends him back after he covers nearly half the pitch"
"good length at leg stump, tapped to long-on on the rise"
<b>big outside edge</b> sails past the keeper. Back of a length ball in the corridor with no room for a cut. But he takes it on with a big slash
"back of a length in the corridor, bunted to long-on off the inside half"
"slower ball, full at off stump. Pushed to extra cover from the crease"
"back of a length at off stump, punched to long-off off the back foot"
"back of a length at middle stump, slices the reverse sweep towards backward point that spins away rapidly from Hodge backward point and forces him to lunge at it. He gets a hand and keeps it to two"
"full at middle stump, swept to deep square along the floor"
"good length at middle stump, leans into this and chips it over the umpire to come back for the second"
"wrong'un beats him and we have an <b>appeal for stumping</b> that's been sent upstairs. He looks to play a similar shot as the last ball, trying to chip it straight. But this one spins past the outside edge and drags his back toe up. It appears like he's brought it down in time though...yes. Not out."
"good length outside off, steps out and can't make it to the pitch. Taps it to extra cover"
"full at middle stump, shapes to sweep, adjusts rapidly to bring a straighter bat and jams it out to midwicket"
"good length at off stump, tapped to extra cover's right"
"back of a length outside off, dabbed straight to backward point to steal a single"
"full outside off, walks into the off side, big front leg across, and pokes it to deep midwicket"
"slower ball, short and wide outside off. Can't get a lot of bat on the cut. Finds point"
<b>late on the shot</b> and loses his leg stump. It's a length ball coming in at him. He shapes up to play an expansive shot and decides against it. Tries to bring down the full face but it's too late. Wildermuth skids through his defences and picks up his third
"good length in the corridor, defended solidly down the pitch"
"79kph, length ball at off that turns away from the right hander. He drags it out to the sweeper with a reverse sweep"
"full at middle stump, swept to square leg's left"
"<b>first six</b> of the evening. Gets one in the slot, tossed up generously at middle stump. It's too full for even the slow pitch to help him out once it lands there. The batsman gets the front leg out of the way and heaves it into the crowd at deep midwicket crowd"
"top edge as he looks to reverse sweep this full one at middle stump, finds backward point on the bounce and Cutting survives the run out attempt"
"full at middle stump, driven back to the bowler's right, towards long-on"
"full at off stump, half-sweep, straight to square leg"
"full outside off stump, gloriously driven to long-off for a single"
"short and wide outside off, third man is in, point is in - he chops this between those two"
"back of a length in the corridor, defended off the back foot"
"back of a length at off stump, whipped between deep midwicket and long-on. Bowler doesn't gather the throw as Cutting comes back. That would've been close if he's managed to take the bails off"
"short ball outside off, skids through from under the cut shot"
"slower ball, good length at leg stump. Checks his swipe across the line and pushes to short fine"
"low full toss outside off, a big echo as he drags this to long-on off the toe of the bat"
"good length in the corridor, defended on the front foot"
"yorker at off stump, squeezed out to long-on off the front foot"
"back of a length in the corridor, late cut to short third man's right. It seems to run away but old Hodgey dives to his right to cut it off"
"full and in at middle stump, flicked to deep midwicket"
"yorker at off stump, driven to long-off"
"full and in at leg stump, driven to long-on"
"short ball in at the chest, uses the pace and half-ramps, half-pulls this over the long leg fence"
"short ball outside off, lines up and swings hard with the pull but he can't get bat on it"
"back-of-the-hand slower ball, floated full at middle stump. He picks it and he hammers it flat over the long-on boundary, where the fielder is a few yards in. Might not have got to that even if he was fully back"
"slower ball, back of a length at off stump. Sets up for the slog but adjusts to tap it into the off side with soft hands"
"slower ball, length at leg stump. Tickled to short fine off the pads"
"wrong'un, back of a length outside off. Very very slow that one. 68kph. Pushed to extra cover's right"
yorker fired in at leg stump. He looks to sweep but falls over because he's squeezed for room. It deflects off the pad and runs away fine. Lbw appeal turned down
"<b>gets him with a juicy full toss!</b> Floated up nicely, thigh height, at middle stump. Cutting looks to slam it out of the stadium but with hard hands and a lot of elevation, he can only get it out as far as the deep midwicket fielder. What a big blow this is to the Heats' chances of a big finish"
"full toss at leg stump, backs away and drives to long-off"
"<b>gets him first ball</b> with a wrong'un. Superb bowling from Hogg. Back of a length, turning away from the right hander outside off. He's playing for the turn. Looks to flick this through midwicket but it climbs on him, comes off the leading edge and is taken at slip"
"back of a length in the corridor, pushed back to the bowler off the back foot"
"back of a length outside off, cut to sweeper cover"
"short slower ball in the corridor, waits for it arrive and ramps it off this throat to third man"
"full and wide outside off, looks to chop it square on the off side but he's late bringing the bat down"
"attempted yorker heads down leg side, but he stretches his bat out and bunts it over short fine on the full"
"slower full toss outside off, steps out and nearly takes his eyes off this as it appears to be a beamer. Then it dips on him. He adjusts to push it out to deep midwicket"
"low full toss at leg stump, whipped flat towards deep midwicket and lands short of Nabi there"
