Commentary,Runs,Wickets
"tossed up, he shuffles down to take the ball on the full and drives gently to mid-off",0,0
pitches it shorter now so the batsmen goes back and opens up to turn it to square leg for one,1,0
"outside off, he reverse paddles it towards short third man",0,0
"long appeal, finger goes up for lbw and Renshaw <strong>reviews </strong>straightaway! It was a good delivery, no doubt, turned in just a bit after pitching as Renshaw pushed forward. But there's a <strong>clear inside edge </strong> before it hits the pad and the decision is overturned. Some hope emerged for Pakistan but faded quickly",0,0
goes back and punched the ball after it turns to midwicket,0,0
"outside the leg stump now, easy for Renshaw as he foes back and tucks it to midwicket",0,0
"pretty flat on middle and leg, he blocks it back",0,0
takes a tiny step down for the delivery on leg stump and clips it easily to the leg side,1,0
"flat again, and well outside off, Renshaw hangs back to whip it to leg for one",1,0
"shuffles down, takes it on the full and drives to long-on easily",1,0
"tosses it up a bit now, Renshaw cashes in on the full ball and flicks it against the turn to leg. Amir chases it all the way to the boundary, manages to flick it in just in time? No, his right foot touches the rope as his hand touches the ball. Given four",4,0
"fullish again, driven straight down the now towards long-on for two more",2,0
"comes down the track and uses his wrists to flick it against the turn to mid-on, quick single there but mid-on fumbles to stop it",1,0
"it's short outside off, there's room too and Renshaw pounces on it by rocking on the back foot and slicing it past point for another four",4,0
"on the pads now, takes a tiny step down and flicks this one to square leg",0,0
"too short, pulled, but there's a deep backward square leg for that shot and it's just one",1,0
"shuffles down, drives on the full to cover where there's a misfield from Misbah but it doesn't go far from him",0,0
ends the over the way he started it - comes down to flick the ball against the turn to mid-on for a quick single,1,0
"good length around off, defended into the off side",0,0
"comes back in, 140 kph. It's a nice length to Handscomb. He defends off the back foot",0,0
some swing. Full and swingy but down leg. Sarfraz dives to collect,0,0
"full and straight, the ball coming back in. Handscomb defends.",0,0
"superb bowling. <strong>This one moves away and beats the bat</strong>. Handscomb is still on the back foot and as a result, the bat is well away from his body",0,0
"too full this time, Handscomb comes forward and drills a drive through mid-off",4,0
a floaty slow leg side delivery. 122 kph. Renshaw misses his flick,0,0
"125 kph, tighter line, outside off, defended towards short leg",0,0
"full delivery outside off, pushed to mid-off",0,0
"guided into the hands of gully, on the bounce though. Good length outside off from Imran, shaping away",0,0
flicks away to get to his 150. On the pads and Renshaw helps himself to four. Great batting,4,0
"too straight again, worked down to fine leg",1,0
"full outside off, 139 kph. Nice length, asking the batsman to drive. He doesn't want to",0,0
"beauty, full delivery outside off the ball moves away late and beats the bat",0,0
"full and wide, more away swing, no stroke offered",0,0
"full and wide again, no stroke",0,0
"nice line. Good length outside off, Renshaw watches the ball onto his bat as he defends",0,0
"140 kph, full and wide, the ball continuing to move away. Slashed down to third man for a run",1,0
"nice drive through mid-off for some runs. Full delivery outside off, calmly hit down the ground for two",2,0
hammered through to deep point for one with a square cut,1,0
"128 kph, on a length outside off, defended into the off side",0,0
"124 kph, full on a fifth-stump line, inside-edged to square leg",0,0
"around off and full, blocked back",0,0
"too straight this time, flicked away merrily through midwicket. Poor line and punished. Australia's 350 up",4,0
"full and straight, 138 kph, blocked",0,0
pushed through cover. Loud call of 'yeeahhh',1,0
"tight line in the channel around off, defended towards gully",0,0
"on the pads, clipped to square leg",0,0
left alone outside off,0,0
"back of a length outside off, sways out of the line. Another over ticks harmlessly by",0,0
"bouncer on off, Renshaw easily avoids that",1,0
"good length outside off, toe-ended towards gully",0,0
"nice channel just outside off, driven to mid-off",0,0
"on the pads, flicked through midwicket for a run",1,0
"fuller length on middle and leg, Handscomb stays back to defend",0,0
"143 kph, good delivery. Full and straight on leg, blocked",0,0
,0,0
"140 kph, overpitched on middle, pushed back to the bowler",0,0
driven up towards mid-off,0,0
"137 kph, around off, solidly defended",0,0
"140 kph, back of a length on off, nudged towards mid-on for another single",1,0
"137 kph, around off, defended",0,0
"phew that flew. Fullish delivery outside off, flies past the outside edge as Handscomb prods",0,0
"on the pads, worked to deep midwicket",1,0
shuffles out to the pitch and drives to mid-on. A loud call of no,0,0
"guided towards third man. Amir hunts it down from point. Played that well, a gentle steer",3,0
"what a shot. Gets some flight, Renshaw gets forward and drills a drive over mid-off. Fantastic timing. Lofted over the head of mid-off",4,0
"88 kph, driven to long-on for one",1,0
defended back and that <strong>will the end of day one</strong>,0,0
"134 kph, good start. Goes wide of the crease, bowls one full on off. A solid block, head over the ball",0,0
"leg side-ish and nudged through midwicket for the first run of the day. <b>Wahab jarred his knee into the turf</b> while diving, grimaces afterward",1,0
"136 kph, good length on off, Handscomb goes right back and defends. That wasn't even a movement on the merit of the ball. He just went back before the ball was delivered",0,0
"133 kph, good length around off, defended",0,0
"137 kph, on middle on a good length, Handscomb is perched on the back foot as he defends",0,0
"136 kph, good start. Tight on off and middle, skewed to point",0,0
"126 kph, in a channel outside off, left alone",0,0
steered past backward point for a couple to third man. Sharjeel chases after the ball,2,0
angled away and left alone,0,0
,0,0
"132 kph, lovely stroke from Renshaw. Just leans on his drive and laces it through cover, between mid-off and cover. Exquisite timing.",4,0
dabbed to point off the front foot.,0,0
"on a length but leg side-ish, nudged to square leg",0,0
"138 kph, that was not one to go back to. Fullish length outside off, Handscomb leaves.",0,0
"nice stroke. Gets forward this time and drives to Misbah at mid-off who labours after it, sticks out his right boot and parries towards mid-on. Wahab and Misbah chase after the ball, Misbah collects and feigns a throw with a tall fast bowler in the firing line. Wahab, afraid for his life, ducks. Smiles all around",1,0
"back of a length on middle, fended away towards midwicket",1,0
"slightly full outside off, a nice forward press to drive to mid-off",0,0
"141 kph, misread the length again? Full and wide, Handscomb stays back and leaves",0,0
"<strong>edged but falls short</strong> of second slip. Back of a length, the ball moving away. Renshaw pokes with a half open face. Dies in front of Younis",1,0
"good length outside off, defended into the off side",0,0
"good length outside off, Handscomb stays back to defend",0,0
"full and straight, pushed to mid-on",0,0
"too much width. Good length and wide, dabbed past backward point. Amir does well to cut it off, good effort",2,0
"full on off, defended to mid-off",0,0
"wide of the crease, full and wide outside off, thick outside edge down to third man",1,0
"too close to cut. Good length around off, dabbed towards second slip. Younis dives to his right and saves some runs.",1,0
"bouncer on off, 138 kph. Renshaw fends towards square leg for a run",1,0
driven sweetly to mid-off,0,0
"good length outside off, too close to cut again. Handscomb dabs to second slip off the glove",0,0
"140 kph, tight around off, defended towards point",0,0
"132 kph, Renshaw gets forward and defends to cover",0,0
"tight around off, defended into the off side",0,0
"delectable stroke-making. Full and wide outside off, Renshaw gets forward and creams his cover drive through extra cover. Superb timing",4,0
"fuller and wide outside off, left alone",0,0
"lovely bowling. Renshaw shuffles right across and Imran aims for middle and leg. The stumps are exposed. But Renshaw is in lovely touch, flicks down towards fine leg",2,0
"and Renshaw's innings ends. Superb knock from the 20-year-old. What were you doing when you were 20? A good length delivery outside off, Renshaw plants his front foot forward, slightly across like usual. Wanted to dab one down to third man but the holds its line, unlike the previous deliveries, takes the inside edge and knocks into the stumps. A loud ovation for Renshaw",0,1
a thick inside edge towards midwicket and the pair get two easily,2,0
"135 kph, back of a length on off, Handscomb gets on top of the bounce and pulls through midwicket for a couple",2,0
carved down to third man for one,1,0
"off the mark off his first ball. How easy is Test cricket? Full delivery outside off, Cartwright leans forward and sends the ball whistling away through cover. Shot.",4,0
"big inside edge into his paad. Full and straight, Cartwright presses forward",0,0
"140 kph, slightly leg side-ish, worked towards midwicket for a couple more. Sprightly beginning",2,0
"lovely length to Handsomb. Full and straight, some movement. Defended from the back foot",0,0
"131 kph, full and straight, blocked to mid-off",0,0
"fullish delivery a tad wide outside off, no stroke",0,0
"133 kph, fullish delivery outside off, inside-edged into the pad",0,0
"nice shot. Full delivery on off, whipped the ball towards square leg",0,0
"too straight and <b>Handscomb has another fifty</b>. Worked down to fine leg. Not a bad Test average, more than 99.",1,0
"136 kph, fullish around off, Handscomb defends",0,0
"140 kph, around off, Handscomb defends towards point",0,0
"slower delivery, 121 kph, defended to mid-off",0,0
"nicely driven. Full and wide outside off, crisply driven through extra cover for a couple to bring up Australia's 400",2,0
"138 kph, on a length around off, defended to mid-on",0,0
"slower ball on leg, 124 kph, another solid defensive block",0,0
"hung outside off at 132 kph, left alone",0,0
"fullish delivery outside off, defended towards cover",0,0
"tight around off, 135 kph, blocked",0,0
"full and wide outside off, 132 kph, left alone",0,0
"full and straight, 130 kph, defended back.",0,0
"wide outside off, left alone. Good stuff, maiden",0,0
"short and wide, slashed to point's right. a good diving stop",0,0
"drift, shorter outside off, punched to cover",0,0
"83 kph, clipped through midwicket for a run",1,0
"flat, pushed through on off, Cartwright goes back and punches to cover",0,0
gets right forward to defend,0,0
"84 kph, slow through the air but a tad short outside off, defended into the off side",0,0
"on the pads, flicked down to fine leg",1,0
"136 kph, around middle and leg, defended into the leg side",0,0
"on the pads, worked towards fine leg for another easy run. Wahab's line not too great",1,0
"141 kph, still a bit leg side. On a length around middle and leg, defended to mid-on",0,0
"137 kph, blocked into the off side, off the back foot",0,0
"140 kph, still a bit leg side-osh and Handscomb hurries into a nudge into the leg side",0,0
"87 kph, quick through the air, flat, defended into the leg side",0,0
"inside-edged but just wide of short leg, flat through the air. Good pace from Yasir",0,0
"a low full toss on middle and leg, driven to a deep-ish mid-off for one",1,0
shimmies down to the pitch and drives to long-off with the spin. Lovely cricket stroke,1,0
defended into the leg side,0,0
nice again. Decisiveness. Comes down and drives to a deep-ish mid-off for a run,1,0
"shortish length, 142 kph on the ribs, nudged towards square leg",1,0
"good length on off, 143 kph, defended",0,0
"pushed a tad fuller at 140 kph, defended off the back foot towards point",0,0
"139 kph, back of a length on off, Handscomb sways out of the line",0,0
"145 kph, tight on middle. Good length. Handscomb dabs to point",0,0
"144 kph, short on middle and leg, Handscomb hurries underneath.",0,0
"short delivery outside off, pulled towards midwicket for a run. Wahab runs to his right from mid-on to save three",1,0
driven back to the bowler after a forward shimmy,0,0
"smashed. Tossed up outside off, Handscomb gets low and nails his sweep through midwicket",4,0
"84 kph, Handscomb runs down to defend",0,0
"a quicker, flatter variation, on middle. Blocked",0,0
"84 kph, driven back to the bowler",0,0
"141 kph, on Cartwright's hips and flicked but straight to a deep bat-pad fielder",0,0
"141 kph, digs this in on leg, gets underneath",0,0
"140 kph, on a middle and leg line, clipped towards short leg",0,0
"139 kph, nice and straight, another defensive block",0,0
"139 kph, strays down leg, nudged down to fine leg",1,0
"bouncer down leg, Handscomb gets underneath that",0,0
"a misfield. Through the legs. Full delivery outside off, Cartwright nails his drive but straight to Azhar at cover. The ball deviates away and beats Azhar's dive",4,0
"flat on off, defended",0,0
"Handscomb sends Cartwright back. Probably was Cartwright's call, but Handscomb chooses the safer option. Driven to mid-on, lots of partner-watching, then Handscomb yells 'noooo'",0,0
,0,0
"86 kph, driven to short cover",0,0
"86 kph, defended into the leg side",0,0
"play and miss. 144 kph, but that's almost all because he chose to play a full ball from the back foot. Full delivery outside off, the ball leaves the outside edge.",0,0
"146 kph, left alone outside off. Nice length this",0,0
"full and wide outside off, skewed to point",0,0
"on middle and leg, played towards mid-on",0,0
well-directed bouncer. Gets underneath that,0,0
"full and wide, angling away, 129 kph. Left alone. Too wide and called",1,0
"138 kph, bouncer on middle and leg, another duck",0,0
"short and wide, hammered to cover point",0,0
driven to short cover,0,0
"84 kph, flat delivery on middle and leg, worked away towards midwicket",1,0
"wow, superb timing. Got low, into a good position and then times his sweep through square leg. A few metres more and that would be six.",4,0
nudged to midwicket,0,0
"runs down at the bowler, flat trajectory. Blocked back",0,0
"144 kph, full and wide outside off, dabbed away to point",0,0
"back of a length on off, Cartwright gets on top of the bounce to defend",0,0
"127 kph, off the shoulder of the bat. Fullish length on off, Cartwright plays the line, the ball bobbles behind point for a couple",2,0
"139 kph, a bouncer on leg, Cartwright eases underneath",0,0
"143 kph, around off, inside-edged to short leg",0,0
"142 kph, bouncer on off, Cartwright ducks",0,0
"powerfully swept. Tossed up outside off, Handscomb doesn't mind dragging his sweep from well outside off. Gets the ball whistling away through midwicket",4,0
"goes around the wicket, pitches well outside leg, padded away",0,0
"comes down this time, 86 kph, nudged to square leg",1,0
went right back to defend,0,0
"shimmies down, doesn't quite get to the pitch but plays it away well. Closed gaps between bat and pad",0,0
"on the legs this time, worked down to deep backward square leg",1,0
"135 kph, back of a length down leg, Cartwright leaves the ball, it pings him on the thigh pad. Sharjeel collects at short leg",0,0
"123 kph, slower delivery on off, defended to mid-off",0,0
"tight around off, a defensive push",0,0
"136 kph, down leg, Handscomb has no need to play that",0,0
"135 kph, back of a length down leg, ducks underneath",0,0
worked to short leg,0,0
gets to the pitch and on-drives to long-on for an easy run,1,0
"84 kph, flat delivery around off and middle, defended",0,0
"86 kph, played into the leg side off the straighter line",0,0
"shortish length outside off, punched to cover from the back foot.",0,0
"tossed up outside off, Cartwright goes after the ball with all he has. Misses the outside edge, Sarfraz fails to collect too. So does Younis. More byes. <strong>Cartwright was out of his crease too. </strong>",3,0
comes to the pitch and drives to long-off for one,1,0
"on off, 136 kph, nudged to short leg",0,0
"full and wide outside off, dabbed to point. Handscomb shuffles right across and opens up his stance",0,0
defended into the off side,0,0
"137 kph, good length outside off, dabbed towards point",0,0
a guided dab to third man for a run,1,0
"tight around off, 139 kph, a solid defensive block back",0,0
Handscomb comes down to defend,0,0
flicked through square leg for a run,1,0
"bat-pad, forward of short leg. Cartwright comes down and jams the ball into his pad",0,0
"82 kph, a big appeal from behind the wicket. Nowhere close. Flat delivery and straight, Cartwright gets forward an inside-edges into his pad",0,0
"defended back, 84 kph",0,0
"well bowled. Sees Cartwright coming and bowls it shorter, drags the length back. Defended",0,0
"126 kph, fullish around off, a slower ball. Bunted to cover. Way slightly early through the stroke",0,0
"drops short this time, Handscomb sees it early, stays in his crease and gives the ball a good cross-batted thwack through midwicket",4,0
"fullish delivery outside off, Handscomb gets right across to defend",0,0
"full and straight, 142 kph, pushed to mid-off",0,0
"full and straight, pushed towards mid-off",0,0
"goes full and straight with Handscomb shuffling across, nudged to deep square leg for one",1,0
"another sloppy effort Worked down to short fine leg with a neat nudge, the fielder dives over the ball, gets there late.",2,0
"short down leg, worked to deep backward square leg",1,0
"comes down again, gets one slightly wide and Cartwright nails his drive through cover. Lovely stroke",4,0
defended into the leg side,0,0
Cartwright gets forward to defend,0,0
"a wrong un on off, blocked into the leg side",0,0
"oh gosh. Drops one short outside off, hits a dead part of the pitch and rolls along the surface almost, Handscomb stretched out and hits to deep point",1,0
pushed out to deep cover,1,0
"flat and wide outside off, carved out to deep point",1,0
"86 kph, slow through the air but short, driven up towards cover",0,0
"<strong>edged and dropped</strong>! Another one. Flat outside off, Cartwright gets a thick outside edge which carries to Younis' right, he gets his right hand down late and the ball bursts through",0,0
dabbed towards point,0,0
Handscomb runs down and drives to long-on,1,0
"shortish on middle, blocked",0,0
"shortish delivery outside off, played away",0,0
"short delivery on off, defended back",0,0
"89 kph, another block into the off side",0,0
defended towards mid-on and that will <strong>be lunch</strong>,0,0
"full and straight to start, a fine tickle towards fine leg gets Handscomb two more",2,0
"128 kph, good length around off, solidly defended",0,0
,0,0
"full and straight from Imran, 127 kph, worked to midwicket",0,0
"128 kph, full and wide outside off, Handscomb opts to leave",0,0
"good start from Imran, tight around off, defended towards mid-off",0,0
starts with a rubbish full toss which is put away through midwicket with ease. Kept that along the ground,4,0
"nicely bowled. Flat delivery outside off, the ball rips past the outside edge. Cartwright plays the line",0,0
"84 kph, overpitched on off, driven to mid-off",0,0
"pushed through outside off, Cartwright stays back and defends",0,0
another solid defensive stroke,0,0
"uses his feet, gets to the pitch and drives to mid-off. No run. Tidy over save that first ball",0,0
"good length outside off, 126 kph, punched towards extra cover for a run. A good diving stop by Azhar to his left",1,0
"too straight from Imran, worked to square leg",1,0
"another good stop from Azhar. Overpitched delivery outside off, Handscomb times his cover drive to the right of Azhar at cover, who makes another diving stop",0,0
"127 kph, flicked into the gap at midwicket for one",1,0
"128 kph, good length outside off, punched to cover from the back foot",0,0
"short delivery outside off, pulled down to fine leg for a run",1,0
"the wrong un outside off, Cartwright goes back and works to midwicket",0,0
runs down to the pitch and drives towards mid-off,0,0
defended towards cover,0,0
"84 kph, punched towards cover point who stops one",0,0
runs down to the pitch and drives wide of cover for a couple. Wahab stops the ball with his boot,2,0
another full toss. Cartwright gets to the pitch and shovels the ball through midwicket with use of the bottom hand.,4,0
"short and wide outside off, too much width. Handscomb nails his cut through point. Handsomely hit",4,0
"too straight from Imran, worked towards midwicket",0,0
"good length delivery around off, dabbed towards third man for one",1,0
"nice line, close to off, pushed out to mid-on",0,0
"128 kph, full delivery outside off, skewed off the inside half towards midwicket",0,0
"129 kph, full delivery outside off, blocked out towards mid-off",0,0
"use of the feet, gets to the pitch and defends away",0,0
"nice line, close to off, defended",0,0
"short and wide this time, crashed to deep point for a run",1,0
"flat delivery outside off, pushed away towards cover",0,0
"use of the feet, doesn't quite get to the pitch, skewed to point",0,0
"worked away to midwicket. Just one off the over, tidy stuff",0,0
"good length outside off, carved down to third man for a run",1,0
"good length around off, 129 kph, nice line, defended to mid-on",0,0
"128 kph, full delivery outside off, Cartwright gets forward and drives to cover",0,0
"nice length, around off. Jammed to midwicket",0,0
"goes through Cartwright. Lovely delivery and Imran strikes. That's a gem of a delivery. Good length delivery outside off, the ball seams back in a touch. Takes the inside edge of Cartwright's bat and knocks into the top of middle and leg. Undone by just a hint of seam movement. Well bowled",0,1
"good length delivery outside off, left alone. Good over",0,0
"short and wide outside off, hammered out to deep cover",1,0
"full and straight, worked away towards midwicket",0,0
"drops short down leg, worked towards square leg",0,0
"too straight again, worked away to square leg for one",1,0
comes down and flicks to midwicket,0,0
runs to the pitch and drives to long-on for one,1,0
"full and wide outside off from Imran, Handscomb goes after a booming drive, misses by not much",0,0
"good length around off, defended into the off side, towards cover",0,0
,0,0
"full outside off, crisply driven through cover for a couple more. Played that nicely",2,0
"good length outside off, seaming back in. Dabbed but straight to Younis at gully",0,0
"seams away this time. Beautifully bowled. Full and wide outside off, the ball seams away and beats the bat. Lovely bowling.",0,0
"overpitched on off, driven to mid-off",0,0
"85 kph, the wrong un, short and wide from Azhar. Wade went back and slashed a cut in front of point.",4,0
"full and straight, worked away towards midwicket",0,0
defended off the front foot,0,0
"too short this time, clipped through backward square leg for a couple more",2,0
nudged into the hands at short leg,0,0
"full and wide outside off, carved down to third man for one",1,0
"yorker on off, jammed out towards square leg",0,0
shot! Wade gets down to the pitch and flicks the ball through midwicket with nonchalant ease. Lovely batting,4,0
"142 kph, rather full on off, driven to mid-off",0,0
"138 kph, good length outside off, sneaks past the outside edge of Wade's bat",0,0
"138 kph, full delivery outside off, left alone",0,0
"flight on off, Handscomb comes down and defends",0,0
"pad onto bat. Almost carries to short cover. Hit the pad, then hit the splice of the bat",0,0
"worked away towards midwicket and he'll get the run. <strong>Handscomb's second Test century</strong>. Off comes the helmet, loud applause from the SCG crowd.",1,0
gets low and paddle sweeps the ball towards fine leg for three. Well played by Wade. A very ODI stroke,3,0
"<strong>slog-swept between two fielders</strong>. Got low, looking to go over midwicket but got enough to clear midwicket running back, but not enough for deep square leg running in",1,0
"nice finish. Flat outside off, the ball beats the bat because of some drift",0,0
"full and wide outside off, 140 kph. Handscomb runs down and hits his drive towards point",0,0
"142 kph, walks across and guides to gully",0,0
a thick inside edge races away down to fine leg. A cross-batted swat that. <strong>There's Australia's 500 too</strong>,2,0
"short delivery on off, Handscomb walks across and swats one through square leg for one",1,0
"bouncer on off, 140 kph, gloved down ti fine leg for a run. Australia looking for some quick runs now",1,0
comes down the pitch and lofts the ball over mid-off for a couple,2,0
"short on middle, pummelled to deep square leg for one",2,0
driven out towards mid-off,0,0
"85 kph, clipped through square leg",1,0
"a fine paddle sweep down to fine leg for an easy three. Clever batting, just manipulating the field. No major boundary-striking",3,0
swept down to short fine leg,1,0
"86 kph, phew, <strong>that was close</strong>. Such fine margins. Flat delivery outside off, Handscomb misses his pull and the ball somehow doesn't hit off stump",0,0
"good length outside off, some nip back in. Chopped towards the keeper",0,0
"back of a length outside off, swatted down to mid-on for three. Nowhere near the middle but enough",3,0
"128 kph, clears his front leg, gets a bouncer and pulls down to fine leg",1,0
"144 kph, shortish delivery on off, hammered to deep square leg",1,0
"a wide yorker outside off, some reverse maybe? Moving away late. Guided to deep point. Oh wait, the leg bail is dislodged. The third umpire is being called for. Never seen that before. Sarfraz lets out a tired yelp of 'how's that.' Handscomb went really deep in the crease, and had to stretch out for that. In trying to get to the ball from his position outside leg, his bat swing just grazed the leg stump and the leg bail came off before he made contact. I actually couldn't see discernible contact, but it was so close it could have just been the air from the bat swing knocking the leg bail off? Either way, it was definitely out and Handscomb is given. End of a superb innings. Snicko has a spike.",0,1
"definite reverse swing. 146 kph, yorker outside off. Goes through bat and pad",0,0
"short outside off, another wrong 'un. Pulled to deep midwicket for a couple",2,0
"full and straight, kept out",0,0
"84 kph, clipped towards short fine leg",1,0
pulled to deep square leg,1,0
"short delivery on middle, another wrong 'un. Concerned not to bowl in the batsman's arc. Pulled to square leg",1,0
"whack. Another googly outside off, Starc gets down on one knee and slogs the ball way over long-on, typical Starc swing",6,0
"spears in a yorker outside off, beats the bat",0,0
"low full toss on middle, pushed down to long-on",1,0
"drifts down leg, 141 kph. Starc hurried out of the way. Wahab comes into his own in conditions like these",0,0
"back of a length on off, pulled down to deep square leg for a couple",2,0
"slower bouncer outside off, Starc is through the stroke, bails out",0,0
"147 kph, another spearing yorker but it isn't straight. Starc doesn't get his bat down in time",0,0
"flight down leg, Wade lofts the ball towards long-on. Mis-timed",1,0
"darted in on leg, 87 kph. Starc misses his heave",0,0
"the wrong un, muscled down to deep backward square leg",1,0
"and another one falls. Flat delivery from Azhar and full. Maybe a touch too full for Wade to be sweeping. Fails to get over the line. Takes a thick leading edge and carries to short fine leg. All eyes were on Azam considering Pakistan's fielding woes, but he settles safely underneath and takes the catcg",0,1
"eeks. Flat delivery on off, in Starc's arc and the heave sends the ball way over midwicket",6,0
"what a catch. Lovely take from Mohammad Rizwan. <strong>Australia have declared too</strong>. Wahab is injured in the process too. That was always Rizwan's catch, not sure what Wahab was doing. It was the full, flat dart on leg. Starc was through his stroke and the ball just lobbed up towards deep midwicket. Wahab, at deep square leg, and Rizwan, from deep midwicket, sprinted in. Rizwan's eyes were always on the ball, Wahab's too. Not sure if there was a call. Rizwan hangs on, while Wahab makes contact with Rizwan and falls over.",0,1
"a full toss on middle, swings in the air through, comes back in. Pushed to mid-on",0,0
"full and wide, 146 kph. Not a lot of swing, Azhar leaves",0,0
"another full toss, more inward movement in the air, 146 kph, pushed with the angle to mid-on",0,0
on the pads and Azhar flicks through square leg for a couple,2,0
"pushed wide outside off at 146 kph, left alone",0,0
"146.3 kph, full and wide outside off, jammed out towards Lyon at point",0,0
"a nice full length outside off, left alone",0,0
"full delivery on off, overpitched from Hazlewood, driven through mid-off for four. Lovely full face of the bat",4,0
"on the pads this time, 136 kph, Sharjeel beaten for pace. Hits the pad",0,0
"137 kph, excellent leave. Good length around off, Sharjeel leaves the ball on length. The ball bounces just over stump",0,0
"fullish delivery outside off, not much movement. Mis-timed towards mid-on",0,0
"fullish delivery outside off, left alone",0,0
"still a touch too wide, Azhar offers no stroke",0,0
"144 kph, another full delivery outside off, pushed out towards mid-off",0,0
"full and wide outside off, 143 kph, not much swing, another leabe",0,0
"144 kph, rather full and wide outside off, left alone",0,0
"145 kph, full and straight, driven out towards mid-on",0,0
"good length but a tad too wide outside off, another leave",0,0
"edged and gone! A poor stroke from Sharjeel. Nice catch from Renshaw too. A good length delivery a set of stumps outside off. Absolutely no need to play, but Sharjeel doesn't leave too many. Has a leaden-footed waft at that. Not nearly wide enough to be cutting. Gets a thick outside edge which carries at chest height to Renshaw, who takes a good reverse-cupped catch",0,1
"nice. 136 kph, close to middle with a fuller than good length, defended",0,0
"135 kph, close to off on a full length. Steered to point",0,0
"close to off on a good length, defended into the off side",0,0
"given immediately. Beaten for pace. Azam walks off. Australia have two early wickets. Hazlewood goes wide of the crease and bowls one full and straight, the ball seaming back in. Azam plays around his front foot, his bat makes contact with his boot. The ball has its sights set on Azam's front pad. Raps into it flush in front of middle. A saved review because that was plumb",0,1
"141 kph, full delivery outside off, defended towards point. A double-wicket maiden from Hazlewood",0,0
"full and wide outside off, driven through cover for a couple",2,0
worked into the gap at midwicket for a couple more,2,0
"on middle and leg, worked into the leg side. Persisting with a full length. Maybe worth changing up the length with one?",0,0
"lovely shot. Full and straight, driven to mid-on with the full face",0,0
"good length outside off, 142 kph, defended into the off side",0,0
"back of a length on off, 141 kph. Azhar gets one towards cover and sets off for one. A good single",1,0
"full and straight, 133 kph, pushed to mid-on",0,0
too straight from Hazlewood and flicked away merrily through midwicket for four,4,0
"nice forward movement. Full delivery outside off, some inward nip. Azhar gets forward and defends, closes a gap between pad and bat",0,0
"nice leave. Fullish outside off, a good leave outside off",0,0
"132 kph, on the pads, clipped down to fine leg",1,0
"137 kph, full delivery outside off, Younis leaves",0,0
defended off the front foot,0,0
"86 kph, Azhar gets forward and blocks",0,0
a firm push up to mid-off,0,0
pushed to silly point,0,0
"nice and straight, good pace, blocked",0,0
kept out and that will be tea,0,0
"strays down leg at 132 kph, Younis misses his flick",0,0
"135 kph, fullish delivery outside off, left alone",0,0
"full delivery outside off, Younis leans on his drive and finds one through cover",1,0
"on a length in the fourth-stump channel, shovelled to square leg",0,0
"136 kph outside off, Azhar saw a short length, thought of swaying, realised there wasn't much bounce, got back in line and pushed back to the bowler",0,0
"134 kph, driven back to the bowler",0,0
"on the pads, worked away through square leg for two",2,0
"overpitched on middle and leg, 142 kph, driven back",0,0
defended into the off side,0,0
"too straight again from Starc, 143 kph, worked away through square leg for two. Not much swing",2,0
"back of a length outside off, square-punched from the crease. Got on top of the bounce nicely there",0,0
"defended into the off side off the back foot, 146 kph",0,0
"tight around off from Hazlewood, pushed away towards mid-on",0,0
"full delivery outside off, pushed back to the bowler",0,0
"full delivery outside off, some inward seam movement. Quelled into the leg side",0,0
"back of a length outside off, 132 kph, slapped in front of point. Lyon fields",0,0
"full and wide, 134 kph, too wide from Hazelwood, Azhar happy to leave",0,0
"full delivery outside off, some inward movement. Azhar brings out his impeccable defensive technique to block",0,0
"147 kph, back of a length on the ribs. Younis gets on top of the bounce to fend",0,0
"good length outside off, 146 kph, left alone",0,0
"oh no. What happened there? Was there enough time for Warner to give the ball back to the bowler? Oh yes there was. Starc was running back too. Pushed towards cover, Younis comes forward, sends Azhar back late. Azhar is halfway through the run before he turns. Warner misses the stumps at the bowler's end. Misjudgement from Warner. <strong>A big opportunity</strong>",0,0
defended into the off side,0,0
"back of a length outside off, Younis gets on top of the bounce and outside-halves his square punch behind point for four.",4,0
"145 kph, good change-up. The bouncer, Younis gets underneath",0,0
worked to long-on with the spin,1,0
another drive to deep mid-on for one,1,0
"92 kph, flat down leg, nudged towards square leg",0,0
"wristily flicked to deep square leg. 'Nice Gaz,' says Wade. Not much spin so far",1,0
"'naaais Garry,' from Wade. Defended. Loud cheers from the crowd",0,0
"and again. Some flight outside off, blocked. 'Naaaais Garrry,' yells Wade this time. Louder. Louder cheer from the crowd too",0,0
"back of a length on leg, 147 kph, clipped through square leg for a couple. Fine leg has to clean up",2,0
"well bowled. 145 kph, short down leg with a leg gully in place. Azhar lifts his hands and lets that go",0,0
"148 kph, shorter length on middle and leg, clipped to short leg",0,0
"back of a length outside off, dabbed down to point. Got on top of the bounce",0,0
flicked away through square leg,1,0
"144 kph, dabbed towards Warner at cover who misses the stumps again at the bowler's end. No trouble though",1,0
"90 ks, slow and wide outside off, pushed back",0,0
"tossed up, Younis gets forward and blocks",0,0
"90 kph, another forward defensive dead-bat",0,0
"slower through the air but dragged that length back, allowed the ball to turn. Younis plays into the leg side",0,0
forward and defended,0,0
"Younis gets forward and defends. Good tidy over from Lyon, aided by Wade's persistent exclamations of appreciation",0,0
blocked to mid-off with the full face of the bat,0,0
