Commentary,Runs,Wickets
"135 kph, full outside off, blocked into the off side",0,0
worked into the leg side for one to midwicket,1,0
"defended into the off side, head over the ball nicely",0,0
defended away again,0,0
"131 kph, good length outside off, no stroke offered",0,0
"flight on off, defended into the off side",0,0
"four more. Easy. Overpitched outside off, Warner drills his drive in the gap at cover. Got forward sufficiently to play into the gap",4,0
"87 kph, defended into the leg side",0,0
worked down towards fine leg,1,0
"spins one into the pads, Warner flicks through square leg for a run",1,0
"more flight on off, 88 kph. Played to midwicket",0,0
"good length on off, Renshaw sees a big gap at midwicket and gets one through square leg",1,0
"full delivery outside off, 130 kph from around the wicket. Defended towards gully",0,0
"good length on off, swatted through square leg for one",1,0
"full outside off, 134 kph, left alone",0,0
"134 kph, full delivery outside off, Renshaw watches the ball onto his bat. Defensive block",0,0
"good length outside off, 130 kph, Renshaw keeps it down with a block",0,0
a simple nudge through square leg for one. Easy singles,1,0
"tossed up outside off, Renshaw gets forward with his ling reach and closes any gap between bat and pad",0,0
inside-edge into the pad,0,0
flicked through square leg for one,1,0
Warner runs down and defends to midwicket,0,0
"lots of flight outside off, hammered to cover",0,0
"nice line, around off, defended into the off side",0,0
"131 kph, around off, a solid defensive block",0,0
"a tad too wide outside off, driven wide of mid-off for one. Good single",1,0
"tight around off, defended into the off side",0,0
"134 kph, tip and run. How was there one there? Mid-on is up too. Full on off, pushed to that fielder and Warner sets off",1,0
"eeks. Thank you says Renshaw. A low full toss on the pads, flicked away merrily through midwicket for four. <b>100-run partnership too</b>",4,0
"86 kph, another easy single, pushed to mid-off",1,0
driven to a deep mid-on. Why is that man there? Too easy for Renshaw,1,0
"flat outside off, Warner closes a gap between bat and pad and pushed to cover",1,0
"87 kph, flight outside off, Renshaw gets forward and defends",0,0
"on the pads, poor ball, worked down towards deep square leg",1,0
"short and wide, Warner hurries back and slashes a cut in the big, gaping hole at extra cover. Moves to 86",4,0
"140 kph, full outside off, pushed to cover",0,0
"nice line. 138 kph, close to off, defended into the off side",0,0
"close to off on 138 kph, Renshaw can do nothing but defend",0,0
"138 kph, a tad wide outside off, guided to point which is followed by a loud call of 'no run'",0,0
"138 kph, left alone outside off",0,0
"140 kph, a maiden. Full and straight, Renshaw show off his defensive class with a block",0,0
"guided towards deep backward point. Loud clear call of 'yea, yea.' Two is made with ease",2,0
worked through square leg for one,1,0
"142 kph, full around off, defended into the off side",0,0
"139 kph, full around off, worked to square leg",0,0
"nicely bowled. Full on off, defended back",0,0
"nice line. 138 kph, around off and Renshaw defends into the off side",0,0
"four more. Poor ball. Short and wide from Wahab, hammered in front of point and that races away in front of point, Yasir can't do much",4,0
"145 kph, whew, what timing. Full outside off, Warner crisply connects with his drive. The cover fielder parries the ball away",1,0
"bouncer on off, Renshaw gets on top of the bounce to defend",0,0
"138 kph, Renshaw gets on top of the bounce and defends",0,0
"short and wide outside off, terrible ball. Cut to point",0,0
"140 kph, well bowled. Spears in the yorker on off, worked to mid-on",0,0
"good length on middle and leg, played towards midwicket for one",1,0
"138 kph, defended back. Nervous anticipation building around the ground",0,0
"good line. Goes wide of the crease and bowls one on a good length, defended",0,0
left alone outside off,0,0
nice bowling. Pace off the ball. 130 kph outside off. Renshaw offers no stroke,0,0
"nice finish. Full outside off, defended. Wild cheers from the crowd",0,0
"short delivery outside off, swatted through midwicket for two. There was probably three there, he decided against it. <b>Onto 97</b>",2,0
"wonderful batting. He'll get it. <b>A hundred before lunch on the first morning</b>. Just the fifth batsman to do so. The trademark Warner celebration, pumped. On his home ground too. Soaks in the applause, fist-pumps the air. Got a good length delivery, worked the ball in the gap at backward point, and a misfield helped him get there. What a knock",3,0
defended back,0,0
"back of a length delivery outside off, Warner lifts his hands and gets out of the way",0,0
too straight and Renshaw gets four to fine leg. Wahab's line not too great. A simple clip off the pads,4,0
left alone outside off and <b>that will be lunch</b>,0,0
"flat delivery on middle, worked into the leg side",0,0
"poor delivery. Flat down leg, pulled down to deep square leg for one",1,0
"lots of flight outside off, driven away towards mid-off",0,0
"strays on the pads, nudged to square leg",0,0
"shuffles down, gets a quick delivery. Outside-halved towards third man for three. Better line",3,0
"flat outside off, scythed away through cover point for a couple",2,0
"nice line. Close to off on a full length, left alone",0,0
"full around off at 140 kph, inside-edged towards square leg for one. Not in control",1,0
punched away to deep point for one,1,0
"138 kph, around off on a good length, played towards midwicket",0,0
"on the pads, clipped to square leg",0,0
"comes back in, way <b>too close to be cutting</b>. Good length outside off, Renshaw gets a thick inside edge which just misses the stumps. A half cut, half square-punch. A bit of miscommunication too, two to fine leg is made eventually. Renshaw realised he may be one short and went back to make it",2,0
nudged towards square leg. Warner hares back for two,2,0
worked to short leg,0,0
"flat delivery on middle, a half-pull to deep midwicket",1,0
driven through cover for one,1,0
"shorter and straighter, Warner wanted a cut through point but can only find cover",0,0
