Lemma,Frequency
slot,1637
fast,1635
circle,1633
check,1622
batting,1620
vacant,1616
lob,1606
may,1604
happy,1604
tickle,1594
extracover,1590
latham,1589
swipe,1580
broad,1580
faf,1580
fails,1575
bring,1574
morgan,1572
righthander,1572
burn,1557
brathwaite,1555
surface,1553
slider,1549
safe,1546
poked,1537
part,1528
sent,1521
uppishly,1517
sliced,1514
loop,1514
also,1513
squared,1505
decision,1495
perhaps,1493
charge,1489
forced,1489
azhar,1487
aim,1474
stabbed,1467
chest,1453
climb,1451
connection,1449
cramped,1449
replay,1448
change,1446
cramp,1443
cleanly,1437
smash,1432
day,1425
edged,1423
pollard,1417
zip,1417
curran,1408
cutting,1406
sits,1403
launch,1401
ring,1389
guided,1387
probably,1383
gather,1380
outswinger,1379
dipping,1379
stab,1379
sarfraz,1378
scoop,1378
straightening,1378
rabada,1374
mushfiqur,1371
wont,1365
eas,1357
completely,1357
fended,1355
bunted,1352
chandimal,1349
nail,1346
ooh,1344
maybe,1343
anderson,1335
swung,1332
wade,1329
fends,1329
stray,1328
dot,1328
khawaja,1326
float,1320
either,1314
lucky,1313
woakes,1313
gayle,1311
watson,1310
cordon,1309
nipping,1308
lofted,1305
loose,1304
huge,1303
know,1302
carves,1300
dont,1297
area,1295
malan,1295
spot,1292
pandya,1292
offbreak,1290
fumble,1288
deflects,1280
crowd,1280
neatly,1279
maiden,1278
speared,1266
making,1255
sneak,1253
perfect,1249
carved,1247
imam,1239
impact,1235
ramp,1233
pakistan,1231
simple,1230
australia,1228
beautifully,1228
skidding,1225
blockhole,1223
wrongun,1220
cook,1220
tailing,1217
squirt,1215
stuff,1210
thirdman,1201
lyon,1200
game,1194
cow,1185
hafeez,1181
stopped,1174
darted,1170
bad,1169
guptill,1168
silly,1168
saha,1168
wouldve,1157
ab,1155
yet,1153
mean,1152
fetch,1152
leap,1149
miller,1148
pushing,1145
nonstriker,1144
grip,1142
working,1141
advance,1140
hurry,1139
jammed,1133
misfield,1131
tad,1129
bumrah,1128
boot,1128
lobbed,1121
pop,1121
mind,1119
vijay,1116
read,1113
watling,1109
shout,1108
southee,1106
followthrough,1106
offered,1104
slanted,1097
jag,1096
perfectly,1094
nicholls,1094
defense,1093
sri,1093
markram,1092
raina,1092
starc,1090
bang,1090
chipped,1088
placed,1084
stoinis,1083
fourthstump,1082
best,1082
trouble,1080
use,1080
helmet,1078
inswinger,1073
plenty,1065
flash,1065
santner,1064
trickle,1063
slight,1063
finally,1057
today,1056
